DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,GLA,2019-01-01,€9.000000,356.890000 kg,35.300000 L,1246 km
GLA,ORY,2019-01-03,€7.000000,285.190000 kg,29.510000 L,965 km
ORY,CGN,2019-01-04,€5.000000,131.340000 kg,18.420000 L,467 km
CGN,TXL,2019-01-12,€5.000000,124.000000 kg,16.200000 L,513 km
TXL,AMS,2019-01-12,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-01-19,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,STR,2019-01-19,€5.000000,159.000000 kg,19.740000 L,565 km
STR,TXL,2019-01-25,€5.000000,159.000000 kg,19.740000 L,565 km
TXL,ZRH,2019-01-25,€5.000000,177.000000 kg,20.000000 L,710 km
ZRH,MAD,2019-01-26,€8.000000,309.000000 kg,30.370000 L,1286 km
MAD,TXL,2019-02-02,€11.000000,455.000000 kg,42.530000 L,1901 km
TXL,AMS,2019-02-02,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-02-08,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,KTW,2019-02-08,€5.000000,148.640000 kg,19.480000 L,512 km
KTW,VIC,2019-02-09,€6.000000,243.770000 kg,26.190000 L,834 km
VIC,TXL,2019-02-15,€6.000000,245.430000 kg,26.320000 L,839 km
TXL,ANR,2019-02-15,€5.000000,195.650000 kg,22.620000 L,675 km
ANR,TXL,2019-03-02,€5.000000,195.650000 kg,22.620000 L,675 km
TXL,ORY,2019-03-02,€5.000000,202.000000 kg,21.010000 L,927 km
ORY,TXL,2019-03-15,€5.000000,202.000000 kg,21.010000 L,927 km
TXL,BCN,2019-03-15,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,GNB,2019-03-16,€5.000000,165.600000 kg,20.610000 L,571 km
GNB,TXL,2019-03-22,€8.000000,306.440000 kg,31.220000 L,1042 km
TXL,PRG,2019-03-22,€5.000000,38.000000 kg,9.620000 L,330 km
PRG,WAW,2019-03-23,€5.000000,176.000000 kg,21.770000 L,570 km
