DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
AMS,CZM,2019-01-04,€61.000000,2641.600000 kg,227.710000 L,8390 km
CZM,AMS,2019-01-26,€61.000000,2641.600000 kg,227.710000 L,8390 km
AMS,LGA,2019-01-26,€40.000000,1698.650000 kg,147.790000 L,5901 km
LGA,AMS,2019-03-01,€40.000000,1698.650000 kg,147.790000 L,5901 km
AMS,LBG,2019-03-01,€5.000000,127.050000 kg,18.160000 L,457 km
LBG,OBF,2019-03-02,€5.000000,204.980000 kg,23.240000 L,708 km
OBF,AMS,2019-04-26,€5.000000,205.560000 kg,23.280000 L,710 km
AMS,AUH,2019-04-26,€35.000000,1519.000000 kg,132.650000 L,5240 km
AUH,MLH,2019-04-30,€31.000000,1342.040000 kg,117.530000 L,4908 km
MLH,AMS,2019-05-05,€5.000000,170.920000 kg,20.970000 L,590 km
AMS,LCY,2019-05-05,€5.000000,103.000000 kg,17.210000 L,383 km
LCY,AMS,2019-05-10,€5.000000,103.000000 kg,17.210000 L,383 km
AMS,TNT,2019-05-10,€6.000000,259.480000 kg,27.450000 L,884 km
TNT,LGA,2019-05-15,€45.000000,1953.210000 kg,169.400000 L,6610 km
LGA,YTZ,2019-05-18,€5.000000,175.710000 kg,21.290000 L,606 km
YTZ,VKO,2019-05-24,€54.000000,2307.630000 kg,199.430000 L,7543 km
VKO,AMS,2019-05-30,€14.000000,587.580000 kg,54.100000 L,2188 km
AMS,TXL,2019-05-30,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,ZRH,2019-05-31,€5.000000,177.000000 kg,20.000000 L,710 km
ZRH,AMS,2019-06-06,€5.000000,180.000000 kg,21.010000 L,652 km
AMS,IBZ,2019-06-06,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,VIE,2019-06-07,€8.000000,343.000000 kg,32.400000 L,1643 km
VIE,CDG,2019-06-08,€7.000000,262.000000 kg,26.580000 L,1085 km
CDG,AMS,2019-06-13,€5.000000,111.000000 kg,15.940000 L,448 km
AMS,IBZ,2019-06-13,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,AMS,2019-06-20,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,IBZ,2019-06-20,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,AMS,2019-06-27,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,IBZ,2019-06-27,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,IST,2019-06-29,€15.000000,634.310000 kg,58.000000 L,2386 km
IST,IBZ,2019-07-04,€15.000000,634.310000 kg,58.000000 L,2386 km
IBZ,AMS,2019-07-11,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,IBZ,2019-07-11,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,AMS,2019-07-18,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,IBZ,2019-07-18,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,LEJ,2019-07-20,€11.000000,466.360000 kg,44.170000 L,1689 km
LEJ,AMS,2019-07-25,€5.000000,169.300000 kg,20.860000 L,584 km
AMS,IBZ,2019-07-25,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,AMS,2019-08-01,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,IBZ,2019-08-01,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,AMS,2019-08-04,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,IBZ,2019-08-08,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,AMS,2019-08-13,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,KGS,2019-08-13,€16.000000,663.120000 kg,60.400000 L,2507 km
KGS,IBZ,2019-08-15,€15.000000,621.810000 kg,56.950000 L,2333 km
IBZ,AMS,2019-08-22,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,IBZ,2019-08-22,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,BCN,2019-08-23,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,IBZ,2019-08-25,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,AMS,2019-08-29,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,IBZ,2019-08-29,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,AMS,2019-09-05,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,IBZ,2019-09-05,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,AMS,2019-09-11,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,IBZ,2019-09-12,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,AMS,2019-09-19,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,IBZ,2019-09-19,€11.000000,436.920000 kg,41.780000 L,1570 km
IBZ,AMS,2019-09-26,€11.000000,436.920000 kg,41.780000 L,1570 km
AMS,IBZ,2019-09-26,€11.000000,436.920000 kg,41.780000 L,1570 km
