DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LTQ,TNT,2019-01-05,€7.000000,267.700000 kg,28.110000 L,910 km
TNT,LAS,2019-01-12,€71.000000,3071.890000 kg,264.140000 L,9480 km
LAS,LTQ,2019-02-01,€63.000000,2738.140000 kg,235.890000 L,8634 km
LTQ,LBA,2019-02-01,€5.000000,138.380000 kg,18.840000 L,484 km
LBA,MLA,2019-02-03,€15.000000,640.340000 kg,58.500000 L,2411 km
MLA,LTQ,2019-02-08,€13.000000,538.160000 kg,49.980000 L,1980 km
LTQ,GLA,2019-02-08,€6.000000,221.280000 kg,24.390000 L,763 km
GLA,ORK,2019-02-09,€5.000000,54.000000 kg,13.670000 L,570 km
ORK,LTQ,2019-02-15,€6.000000,223.110000 kg,24.530000 L,769 km
LTQ,WTN,2019-02-15,€5.000000,94.150000 kg,16.200000 L,379 km
WTN,LCY,2019-02-16,€5.000000,48.580000 kg,12.290000 L,238 km
LCY,LTQ,2019-02-22,€5.000000,41.910000 kg,10.610000 L,205 km
LTQ,SAN,2019-02-22,€67.000000,2900.640000 kg,249.650000 L,9046 km
SAN,CLT,2019-03-01,€17.000000,728.000000 kg,64.810000 L,3383 km
CLT,PHL,2019-03-02,€5.000000,195.000000 kg,21.510000 L,771 km
PHL,ORL,2019-03-07,€10.000000,402.800000 kg,39.020000 L,1432 km
ORL,MCF,2019-03-08,€5.000000,38.910000 kg,9.850000 L,190 km
MCF,NIP,2019-03-09,€5.000000,72.920000 kg,14.920000 L,329 km
NIP,FLL,2019-03-10,€5.000000,158.600000 kg,20.140000 L,547 km
FLL,BOS,2019-03-14,€13.000000,554.390000 kg,51.320000 L,2048 km
BOS,YTZ,2019-03-15,€5.000000,216.410000 kg,24.010000 L,747 km
YTZ,MSP,2019-03-16,€8.000000,335.280000 kg,33.550000 L,1159 km
MSP,DCA,2019-03-17,€10.000000,394.000000 kg,37.720000 L,1543 km
DCA,SLC,2019-03-21,€17.000000,710.000000 kg,63.790000 L,3019 km
SLC,AUS,2019-03-22,€12.000000,514.000000 kg,48.100000 L,1795 km
AUS,DAL,2019-03-23,€5.000000,79.510000 kg,15.320000 L,345 km
DAL,HOU,2019-03-24,€5.000000,117.820000 kg,17.610000 L,435 km
HOU,TNT,2019-03-25,€66.000000,2834.140000 kg,244.020000 L,8877 km
TNT,CVJ,2019-03-30,€76.000000,3299.890000 kg,283.450000 L,10045 km
CVJ,BUR,2019-04-06,€16.000000,684.620000 kg,62.200000 L,2598 km
BUR,BIF,2019-04-12,€27.000000,1133.860000 kg,99.870000 L,4328 km
BIF,SCL,2019-04-18,€45.000000,1918.210000 kg,166.430000 L,6513 km
SCL,LTQ,2019-05-08,€96.000000,4167.790000 kg,357.020000 L,11783 km
LTQ,BFL,2019-05-08,€66.000000,2840.120000 kg,244.520000 L,8893 km
BFL,LTQ,2019-05-23,€66.000000,2840.120000 kg,244.520000 L,8893 km
LTQ,IKK,2019-05-23,€46.000000,1965.360000 kg,170.430000 L,6644 km
IKK,SWF,2019-05-24,€8.000000,347.120000 kg,34.510000 L,1206 km
SWF,DET,2019-05-26,€6.000000,232.840000 kg,25.310000 L,800 km
DET,MCC,2019-05-30,€20.000000,849.870000 kg,75.990000 L,3297 km
MCC,SFO,2019-05-31,€5.000000,39.820000 kg,10.080000 L,195 km
SFO,AUS,2019-06-01,€18.000000,745.000000 kg,67.840000 L,2466 km
AUS,ZUN,2019-06-07,€0.000000,0.000000 kg,0.000000 L,0 km
ZUN,LAS,2019-06-09,€0.000000,0.000000 kg,0.000000 L,0 km
LAS,MWH,2019-06-14,€9.000000,375.510000 kg,36.810000 L,1321 km
MWH,TNT,2019-06-22,€64.000000,2742.300000 kg,236.240000 L,8645 km
TNT,HND,2019-06-28,€73.000000,3137.250000 kg,269.680000 L,9645 km
HND,ITM,2019-06-29,€5.000000,114.000000 kg,16.200000 L,452 km
ITM,SSN,2019-07-05,€6.000000,254.090000 kg,27.020000 L,867 km
SSN,TXL,2019-07-06,€59.000000,2563.580000 kg,221.110000 L,8192 km
TXL,LTQ,2019-07-13,€7.000000,261.060000 kg,27.570000 L,889 km
DPS,ABQ,2019-07-18,€133.000000,5740.930000 kg,490.360000 L,14933 km
ABQ,DEN,2019-07-19,€5.000000,187.000000 kg,22.270000 L,612 km
DEN,ATL,2019-07-20,€12.000000,501.000000 kg,46.580000 L,1975 km
ATL,IBZ,2019-07-26,€53.000000,2281.060000 kg,197.180000 L,7476 km
IBZ,LTQ,2019-08-03,€9.000000,381.730000 kg,37.320000 L,1347 km
LTQ,YYZ,2019-08-03,€40.000000,1712.580000 kg,148.980000 L,5940 km
YYZ,IBZ,2019-08-06,€45.000000,1938.150000 kg,168.120000 L,6568 km
IBZ,LTQ,2019-08-10,€9.000000,381.730000 kg,37.320000 L,1347 km
LTQ,BWI,2019-08-10,€41.000000,1756.680000 kg,152.720000 L,6063 km
BWI,IBZ,2019-08-16,€45.000000,1938.170000 kg,168.120000 L,6568 km
IBZ,LTQ,2019-08-22,€9.000000,381.730000 kg,37.320000 L,1347 km
LTQ,IND,2019-08-22,€46.000000,1965.950000 kg,170.480000 L,6646 km
IND,STL,2019-08-24,€5.000000,123.000000 kg,18.730000 L,417 km
STL,OBF,2019-08-30,€55.000000,2375.500000 kg,205.180000 L,7715 km
OBF,IBZ,2019-09-01,€9.000000,382.520000 kg,37.380000 L,1350 km
