DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
ELS,BLQ,2019-01-01,€65.000000,2822.130000 kg,243.000000 L,8847 km
BLQ,ELS,2019-01-18,€65.000000,2822.130000 kg,243.000000 L,8847 km
ELS,BCN,2019-01-18,€64.000000,2778.610000 kg,239.310000 L,8737 km
BCN,SXF,2019-01-19,€11.000000,435.820000 kg,41.700000 L,1566 km
SXF,LYN,2019-01-20,€7.000000,302.810000 kg,30.920000 L,1027 km
LYN,ELS,2019-01-26,€68.000000,2928.930000 kg,252.040000 L,9118 km
ELS,LED,2019-01-26,€81.000000,3479.330000 kg,298.660000 L,10405 km
LED,ELS,2019-03-01,€81.000000,3479.330000 kg,298.660000 L,10405 km
ELS,VIE,2019-03-01,€68.000000,2949.030000 kg,253.740000 L,9169 km
VIE,ELS,2019-03-09,€68.000000,2949.030000 kg,253.740000 L,9169 km
ELS,TXL,2019-03-09,€73.000000,3152.740000 kg,270.990000 L,9685 km
TXL,ELS,2019-03-16,€73.000000,3152.740000 kg,270.990000 L,9685 km
ELS,CPH,2019-03-16,€76.000000,3289.930000 kg,282.610000 L,10025 km
CPH,ELS,2019-03-23,€76.000000,3289.930000 kg,282.610000 L,10025 km
ELS,LCY,2019-03-23,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-03-30,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,MAD,2019-03-30,€65.000000,2821.930000 kg,242.980000 L,8846 km
MAD,ELS,2019-04-26,€65.000000,2821.930000 kg,242.980000 L,8846 km
ELS,TXL,2019-04-26,€73.000000,3152.740000 kg,270.990000 L,9685 km
TXL,ELS,2019-04-30,€73.000000,3152.740000 kg,270.990000 L,9685 km
ELS,ORY,2019-04-30,€71.000000,3078.410000 kg,264.700000 L,9496 km
ORY,ELS,2019-05-05,€71.000000,3078.410000 kg,264.700000 L,9496 km
ELS,LCY,2019-05-05,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-05-18,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,BOG,2019-05-18,€93.000000,4011.220000 kg,343.740000 L,11470 km
BOG,ELS,2019-06-19,€93.000000,4011.220000 kg,343.740000 L,11470 km
ELS,BUD,2019-06-19,€67.000000,2902.360000 kg,249.790000 L,9050 km
BUD,ELS,2019-06-29,€67.000000,2902.360000 kg,249.790000 L,9050 km
ELS,EDI,2019-06-29,€80.000000,3471.780000 kg,298.020000 L,10390 km
EDI,ELS,2019-07-05,€80.000000,3471.780000 kg,298.020000 L,10390 km
ELS,SXF,2019-07-05,€73.000000,3148.830000 kg,270.660000 L,9675 km
SXF,ELS,2019-07-17,€73.000000,3148.830000 kg,270.660000 L,9675 km
ELS,BCN,2019-07-17,€64.000000,2778.610000 kg,239.310000 L,8737 km
BCN,ELS,2019-07-20,€64.000000,2778.610000 kg,239.310000 L,8737 km
ELS,BCN,2019-07-20,€64.000000,2778.610000 kg,239.310000 L,8737 km
BCN,ELS,2019-07-26,€64.000000,2778.610000 kg,239.310000 L,8737 km
ELS,GVA,2019-07-26,€68.000000,2938.330000 kg,252.840000 L,9141 km
GVA,ELS,2019-07-31,€68.000000,2938.330000 kg,252.840000 L,9141 km
ELS,AMS,2019-07-31,€74.000000,3203.740000 kg,275.310000 L,9814 km
AMS,ELS,2019-08-03,€74.000000,3203.740000 kg,275.310000 L,9814 km
ELS,BMA,2019-08-03,€80.000000,3465.260000 kg,297.470000 L,10376 km
BMA,ELS,2019-08-11,€80.000000,3465.260000 kg,297.470000 L,10376 km
ELS,TXL,2019-08-11,€73.000000,3152.740000 kg,270.990000 L,9685 km
TXL,ELS,2019-08-22,€73.000000,3152.740000 kg,270.990000 L,9685 km
ELS,OPO,2019-08-22,€68.000000,2929.890000 kg,252.120000 L,9120 km
OPO,ELS,2019-09-06,€68.000000,2929.890000 kg,252.120000 L,9120 km
ELS,TLL,2019-09-06,€80.000000,3453.320000 kg,296.460000 L,10353 km
TLL,ELS,2019-09-21,€80.000000,3453.320000 kg,296.460000 L,10353 km
ELS,TLL,2019-09-21,€80.000000,3453.320000 kg,296.460000 L,10353 km
TLL,ELS,2019-10-05,€80.000000,3453.320000 kg,296.460000 L,10353 km
ELS,PSA,2019-10-05,€65.000000,2793.050000 kg,240.530000 L,8773 km
PSA,ELS,2019-10-13,€65.000000,2793.050000 kg,240.530000 L,8773 km
ELS,LCY,2019-10-13,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-10-18,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,PEK,2019-10-18,€102.000000,4406.810000 kg,377.280000 L,12262 km
PEK,TXL,2019-10-26,€54.000000,2338.000000 kg,202.270000 L,7405 km
TXL,ELS,2019-10-31,€73.000000,3152.740000 kg,270.990000 L,9685 km
ELS,LIS,2019-10-31,€66.000000,2846.630000 kg,245.070000 L,8909 km
LIS,ELS,2019-11-16,€66.000000,2846.630000 kg,245.070000 L,8909 km
ELS,LCY,2019-11-16,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-12-14,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,TXL,2019-12-14,€73.000000,3152.740000 kg,270.990000 L,9685 km
TXL,ELS,2019-12-21,€73.000000,3152.740000 kg,270.990000 L,9685 km
ELS,ELS,2019-12-21,€0.000000,0.000000 kg,0.000000 L,0 km
