DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
RKE,HAM,2019-01-01,€5.000000,66.820000 kg,14.360000 L,307 km
HAM,RKE,2019-01-12,€5.000000,66.820000 kg,14.360000 L,307 km
RKE,OBF,2019-01-12,€6.000000,260.270000 kg,27.510000 L,886 km
OBF,RKE,2019-01-19,€6.000000,260.270000 kg,27.510000 L,886 km
RKE,DRS,2019-01-19,€5.000000,161.440000 kg,20.330000 L,557 km
DRS,RKE,2019-02-01,€5.000000,161.440000 kg,20.330000 L,557 km
RKE,IEV,2019-02-01,€10.000000,395.250000 kg,38.410000 L,1401 km
IEV,LEJ,2019-02-02,€9.000000,374.770000 kg,36.750000 L,1318 km
LEJ,RKE,2019-02-08,€5.000000,149.630000 kg,19.540000 L,516 km
RKE,BCN,2019-02-08,€12.000000,493.740000 kg,46.380000 L,1800 km
BCN,RKE,2019-03-02,€12.000000,493.740000 kg,46.380000 L,1800 km
MAN,CPH,2019-03-09,€7.000000,300.000000 kg,30.630000 L,1040 km
CPH,RKE,2019-03-16,€5.000000,16.870000 kg,4.270000 L,82 km
RKE,PEG,2019-03-16,€10.000000,404.670000 kg,39.170000 L,1439 km
PEG,RKE,2019-03-22,€10.000000,404.670000 kg,39.170000 L,1439 km
RKE,SXF,2019-03-22,€5.000000,104.550000 kg,16.820000 L,404 km
SXF,LCY,2019-03-23,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,RKE,2019-03-29,€7.000000,285.180000 kg,29.510000 L,965 km
RKE,ORY,2019-03-29,€8.000000,311.300000 kg,31.610000 L,1061 km
ORY,RKE,2019-04-05,€8.000000,311.300000 kg,31.610000 L,1061 km
RKE,LYN,2019-04-05,€9.000000,359.530000 kg,35.520000 L,1257 km
LYN,RKE,2019-04-11,€9.000000,359.530000 kg,35.520000 L,1257 km
RKE,TXL,2019-04-11,€5.000000,100.250000 kg,16.560000 L,394 km
TXL,RKE,2019-04-20,€5.000000,100.250000 kg,16.560000 L,394 km
RKE,CPH,2019-04-20,€5.000000,16.870000 kg,4.270000 L,82 km
CPH,RKE,2019-05-04,€5.000000,16.870000 kg,4.270000 L,82 km
RKE,LPL,2019-05-04,€8.000000,308.410000 kg,31.380000 L,1050 km
LPL,RKE,2019-05-17,€8.000000,308.410000 kg,31.380000 L,1050 km
RKE,VIE,2019-05-17,€7.000000,270.380000 kg,28.320000 L,918 km
VIE,RKE,2019-05-25,€7.000000,270.380000 kg,28.320000 L,918 km
RKE,TLS,2019-05-25,€11.000000,441.110000 kg,42.120000 L,1587 km
TLS,RKE,2019-05-31,€11.000000,441.110000 kg,42.120000 L,1587 km
RKE,STR,2019-05-31,€6.000000,246.600000 kg,26.420000 L,843 km
STR,RKE,2019-06-14,€6.000000,246.600000 kg,26.420000 L,843 km
RKE,AMS,2019-06-14,€5.000000,189.030000 kg,22.180000 L,652 km
AMS,RKE,2019-06-21,€5.000000,189.030000 kg,22.180000 L,652 km
RKE,BOM,2019-06-21,€45.000000,1913.440000 kg,166.020000 L,6499 km
BOM,DEL,2019-06-23,€6.000000,256.000000 kg,25.560000 L,1186 km
DEL,HEM,2019-06-28,€34.000000,1473.000000 kg,128.650000 L,5273 km
HEM,RKE,2019-07-12,€7.000000,287.050000 kg,29.660000 L,971 km
RKE,LCY,2019-07-12,€7.000000,285.180000 kg,29.510000 L,965 km
LCY,RKE,2019-07-26,€7.000000,285.180000 kg,29.510000 L,965 km
RKE,AMS,2019-07-26,€5.000000,189.030000 kg,22.180000 L,652 km
AMS,CPH,2019-07-27,€5.000000,204.000000 kg,23.290000 L,687 km
CPH,RKE,2019-08-10,€5.000000,16.870000 kg,4.270000 L,82 km
RKE,ODS,2019-08-10,€11.000000,464.790000 kg,44.040000 L,1683 km
ODS,RKE,2019-08-28,€11.000000,464.790000 kg,44.040000 L,1683 km
RKE,TXL,2019-08-28,€5.000000,100.250000 kg,16.560000 L,394 km
TXL,PUY,2019-09-01,€7.000000,266.460000 kg,28.010000 L,906 km
PUY,RKE,2019-09-07,€9.000000,357.200000 kg,35.330000 L,1247 km
RKE,AMS,2019-09-07,€5.000000,189.030000 kg,22.180000 L,652 km
AMS,RKE,2019-09-13,€5.000000,189.030000 kg,22.180000 L,652 km
RKE,LBG,2019-09-13,€8.000000,305.120000 kg,31.110000 L,1036 km
