DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LEJ,BRU,2019-01-13,€5.000000,175.660000 kg,21.280000 L,606 km
BRU,LEJ,2019-01-18,€5.000000,175.660000 kg,21.280000 L,606 km
MEB,JAD,2019-01-20,€17.000000,722.190000 kg,65.340000 L,2757 km
JAD,AVV,2019-01-25,€17.000000,714.690000 kg,64.710000 L,2725 km
SMV,LEJ,2019-02-08,€5.000000,181.110000 kg,21.650000 L,625 km
LEJ,TXL,2019-02-08,€5.000000,39.430000 kg,9.980000 L,193 km
TXL,LEJ,2019-02-16,€5.000000,39.430000 kg,9.980000 L,193 km
LEJ,CGN,2019-02-16,€5.000000,112.210000 kg,17.270000 L,422 km
CGN,LEJ,2019-02-22,€5.000000,112.210000 kg,17.270000 L,422 km
LEJ,YTZ,2019-02-22,€45.000000,1929.280000 kg,167.370000 L,6543 km
YTZ,CIA,2019-02-23,€50.000000,2144.530000 kg,185.620000 L,7130 km
CIA,LEJ,2019-03-08,€8.000000,325.260000 kg,32.740000 L,1118 km
LEJ,PRG,2019-03-08,€5.000000,52.500000 kg,13.040000 L,255 km
PRG,LEJ,2019-03-23,€5.000000,52.500000 kg,13.040000 L,255 km
LEJ,TBS,2019-03-23,€17.000000,713.190000 kg,64.580000 L,2719 km
TBS,LEJ,2019-04-07,€17.000000,713.190000 kg,64.580000 L,2719 km
LEJ,MAD,2019-04-07,€12.000000,488.320000 kg,45.950000 L,1778 km
MAD,LEJ,2019-04-12,€12.000000,488.320000 kg,45.950000 L,1778 km
LEJ,SAN,2019-04-12,€71.000000,3082.300000 kg,265.030000 L,9506 km
SAN,TNT,2019-04-19,€75.000000,3234.930000 kg,277.950000 L,9893 km
TNT,OBF,2019-04-26,€5.000000,57.810000 kg,13.530000 L,274 km
OBF,HAM,2019-04-27,€5.000000,195.260000 kg,22.590000 L,674 km
HAM,LEJ,2019-05-03,€5.000000,80.730000 kg,15.390000 L,348 km
LEJ,KSF,2019-05-03,€5.000000,53.930000 kg,13.170000 L,260 km
KSF,DRS,2019-05-04,€5.000000,84.310000 kg,15.610000 L,356 km
DRS,LEJ,2019-05-09,€5.000000,25.000000 kg,6.320000 L,161 km
LEJ,EOH,2019-05-09,€70.000000,3036.250000 kg,261.130000 L,9390 km
EOH,AMS,2019-05-18,€66.000000,2829.750000 kg,243.640000 L,8866 km
AMS,LEJ,2019-05-23,€5.000000,169.300000 kg,20.860000 L,584 km
LEJ,SOF,2019-05-23,€9.000000,376.210000 kg,36.870000 L,1324 km
SOF,MLH,2019-05-24,€10.000000,401.240000 kg,38.900000 L,1426 km
MLH,LEJ,2019-05-29,€5.000000,173.000000 kg,21.110000 L,597 km
LEJ,TXL,2019-05-29,€5.000000,39.430000 kg,9.980000 L,193 km
TXL,LEJ,2019-06-14,€5.000000,39.430000 kg,9.980000 L,193 km
LEJ,TXL,2019-06-14,€5.000000,39.430000 kg,9.980000 L,193 km
TXL,LCY,2019-06-15,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,LEJ,2019-06-21,€7.000000,266.210000 kg,27.990000 L,905 km
LEJ,DEL,2019-06-21,€40.000000,1698.650000 kg,147.790000 L,5901 km
DEL,BOM,2019-06-22,€6.000000,256.000000 kg,25.560000 L,1186 km
BOM,HYD,2019-06-23,€5.000000,141.000000 kg,16.200000 L,670 km
HYD,PHX,2019-07-05,€126.000000,5435.330000 kg,464.450000 L,14321 km
PHX,MUC,2019-07-06,€71.000000,3044.460000 kg,261.820000 L,9410 km
MUC,BUR,2019-07-07,€73.000000,3138.760000 kg,269.810000 L,9649 km
BUR,TXL,2019-07-14,€70.000000,3021.180000 kg,259.850000 L,9351 km
TXL,LEJ,2019-07-19,€5.000000,39.430000 kg,9.980000 L,193 km
LEJ,IBZ,2019-07-19,€11.000000,466.360000 kg,44.170000 L,1689 km
IBZ,LEJ,2019-07-26,€11.000000,466.360000 kg,44.170000 L,1689 km
LEJ,TXL,2019-07-26,€5.000000,39.430000 kg,9.980000 L,193 km
TXL,NUE,2019-07-27,€5.000000,96.000000 kg,14.430000 L,423 km
NUE,LEJ,2019-08-02,€5.000000,37.000000 kg,9.360000 L,280 km
LEJ,YND,2019-08-02,€42.000000,1801.610000 kg,156.530000 L,6188 km
YND,LGA,2019-08-03,€5.000000,171.340000 kg,21.000000 L,591 km
LGA,TXL,2019-08-09,€44.000000,1885.170000 kg,163.630000 L,6421 km
TXL,LEJ,2019-08-15,€5.000000,39.430000 kg,9.980000 L,193 km
LEJ,BEV,2019-08-15,€18.000000,766.990000 kg,69.080000 L,2947 km
BEV,SUI,2019-08-17,€10.000000,409.280000 kg,39.550000 L,1458 km
SUI,LEJ,2019-09-20,€15.000000,638.180000 kg,58.320000 L,2402 km
LEJ,TXL,2019-09-20,€5.000000,39.430000 kg,9.980000 L,193 km
TXL,LEJ,2019-09-28,€5.000000,39.430000 kg,9.980000 L,193 km
HAJ,LEJ,2019-10-18,€5.000000,35.000000 kg,8.860000 L,258 km
LEJ,AMS,2019-10-18,€5.000000,169.300000 kg,20.860000 L,584 km
AMS,ZRH,2019-10-19,€5.000000,180.000000 kg,21.010000 L,652 km
ZRH,LEJ,2019-10-25,€5.000000,165.480000 kg,20.600000 L,571 km
LEJ,OBF,2019-10-25,€5.000000,114.550000 kg,17.420000 L,428 km
OBF,TXL,2019-10-26,€5.000000,164.930000 kg,20.570000 L,569 km
TXL,LEJ,2019-11-01,€5.000000,39.430000 kg,9.980000 L,193 km
LEJ,LCY,2019-11-01,€7.000000,266.210000 kg,27.990000 L,905 km
LCY,LEJ,2019-11-08,€7.000000,266.210000 kg,27.990000 L,905 km
AKL,MEB,2019-11-16,€17.000000,705.880000 kg,63.970000 L,2688 km
MEB,JAD,2019-11-17,€17.000000,722.190000 kg,65.340000 L,2757 km
JAD,CGN,2019-11-23,€122.000000,5297.060000 kg,452.730000 L,14044 km
CGN,LEJ,2019-11-29,€5.000000,112.210000 kg,17.270000 L,422 km
LEJ,GVA,2019-11-29,€6.000000,228.710000 kg,24.980000 L,787 km
GVA,LEJ,2019-12-07,€6.000000,228.710000 kg,24.980000 L,787 km
LEJ,DXB,2019-12-12,€30.000000,1264.580000 kg,110.960000 L,4692 km
DXB,AKT,2019-12-14,€15.000000,646.900000 kg,59.050000 L,2439 km
AKT,LEJ,2019-12-28,€16.000000,671.000000 kg,61.060000 L,2541 km
LEJ,AMS,2019-12-28,€5.000000,169.300000 kg,20.860000 L,584 km
AMS,LEJ,2019-12-31,€5.000000,169.300000 kg,20.860000 L,584 km
LEJ,LEJ,2019-12-31,€0.000000,0.000000 kg,0.000000 L,0 km
