DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,BKK,2019-01-18,€59.000000,2551.000000 kg,219.740000 L,8650 km
BKK,HKT,2019-01-23,€6.000000,235.000000 kg,26.320000 L,740 km
HKT,TXL,2019-02-09,€62.000000,2666.000000 kg,229.620000 L,9001 km
TXL,OBF,2019-02-09,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,TXL,2019-02-15,€5.000000,164.930000 kg,20.570000 L,569 km
TXL,MLH,2019-02-15,€5.000000,212.410000 kg,23.740000 L,734 km
MLH,GVA,2019-02-16,€5.000000,49.460000 kg,12.520000 L,242 km
GVA,TXL,2019-03-01,€7.000000,272.420000 kg,28.480000 L,925 km
TXL,ITM,2019-03-01,€66.000000,2829.600000 kg,243.630000 L,8866 km
ITM,HND,2019-03-02,€5.000000,114.000000 kg,16.200000 L,452 km
HND,VIY,2019-03-06,€74.000000,3199.820000 kg,274.980000 L,9804 km
VIY,TXL,2019-03-09,€7.000000,276.840000 kg,28.840000 L,939 km
SYD,MEB,2019-03-10,€6.000000,218.980000 kg,24.200000 L,756 km
LCY,TXL,2019-03-22,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,BCN,2019-03-22,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,BEY,2019-03-23,€19.000000,801.100000 kg,71.920000 L,3091 km
BEY,TNT,2019-03-28,€16.000000,665.690000 kg,60.620000 L,2518 km
TNT,LGA,2019-03-30,€45.000000,1953.210000 kg,169.400000 L,6610 km
LGA,MAD,2019-04-05,€39.000000,1669.270000 kg,145.300000 L,5819 km
MAD,MHG,2019-04-06,€10.000000,401.720000 kg,38.930000 L,1428 km
MHG,TXL,2019-04-11,€5.000000,215.000000 kg,27.590000 L,528 km
TXL,SIR,2019-04-11,€6.000000,256.730000 kg,27.230000 L,875 km
SIR,MXN,2019-04-12,€7.000000,274.040000 kg,28.620000 L,930 km
