DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
DPS,DNH,2019-03-08,€39.000000,1695.470000 kg,147.530000 L,5892 km
DNH,HLP,2019-03-08,€35.000000,1508.570000 kg,131.670000 L,5372 km
HLP,DNH,2019-03-29,€35.000000,1508.570000 kg,131.670000 L,5372 km
BKK,DNH,2019-04-27,€19.000000,791.100000 kg,71.090000 L,3049 km
DNH,LYN,2019-04-27,€49.000000,2088.490000 kg,180.880000 L,6987 km
LYN,DNH,2019-05-17,€49.000000,2088.490000 kg,180.880000 L,6987 km
DNH,VIE,2019-05-17,€41.000000,1766.570000 kg,153.560000 L,6090 km
VIE,LCY,2019-05-24,€9.000000,362.850000 kg,35.790000 L,1270 km
LCY,OPO,2019-05-25,€9.000000,389.900000 kg,37.980000 L,1380 km
OPO,SXF,2019-05-29,€14.000000,576.830000 kg,53.200000 L,2143 km
SXF,DNH,2019-06-14,€41.000000,1768.380000 kg,153.710000 L,6095 km
DNH,TSA,2019-06-29,€19.000000,793.100000 kg,71.260000 L,3057 km
TSA,DNH,2019-07-25,€19.000000,793.100000 kg,71.260000 L,3057 km
DNH,MHP,2019-07-25,€33.000000,1419.650000 kg,124.120000 L,5124 km
MHP,AMS,2019-07-31,€11.000000,445.160000 kg,42.450000 L,1603 km
AMS,BES,2019-08-02,€6.000000,242.670000 kg,26.100000 L,831 km
BES,DNH,2019-09-20,€52.000000,2260.330000 kg,195.430000 L,7423 km
DNH,HND,2019-09-20,€24.000000,1016.910000 kg,89.940000 L,4002 km
HND,DNH,2019-10-18,€24.000000,1016.910000 kg,89.940000 L,4002 km
DNH,TXL,2019-10-18,€41.000000,1772.150000 kg,154.030000 L,6106 km
TXL,SZX,2019-10-31,€65.000000,2794.600000 kg,240.670000 L,8777 km
SZX,DNH,2019-11-28,€17.000000,713.660000 kg,64.620000 L,2721 km
DNH,HND,2019-11-28,€24.000000,1016.910000 kg,89.940000 L,4002 km
HND,DNH,2019-12-20,€24.000000,1016.910000 kg,89.940000 L,4002 km
DNH,TSA,2019-12-20,€19.000000,793.100000 kg,71.260000 L,3057 km
TSA,DNH,2019-12-31,€19.000000,793.100000 kg,71.260000 L,3057 km
DNH,DNH,2019-12-31,€5.000000,10.190000 kg,2.570000 L,50 km
