DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
MRS,MAD,2019-01-06,€6.000000,248.000000 kg,26.580000 L,843 km
MAD,MRS,2019-01-12,€6.000000,248.000000 kg,26.580000 L,843 km
MRS,CTU,2019-01-12,€62.000000,2658.740000 kg,229.160000 L,8433 km
CTU,SSN,2019-01-18,€15.000000,611.710000 kg,56.110000 L,2290 km
SSN,QPG,2019-01-19,€30.000000,1274.830000 kg,111.830000 L,4720 km
QPG,MAN,2019-01-25,€87.000000,3782.310000 kg,324.340000 L,11011 km
MAN,WRO,2019-01-26,€9.000000,389.810000 kg,37.970000 L,1379 km
WRO,MRS,2019-02-01,€9.000000,365.400000 kg,35.990000 L,1280 km
MRS,RNS,2019-02-01,€7.000000,290.000000 kg,31.640000 L,792 km
RNS,MRS,2019-02-08,€7.000000,290.000000 kg,31.640000 L,792 km
MRS,PRG,2019-02-08,€9.000000,366.000000 kg,37.210000 L,1059 km
PRG,GVA,2019-02-09,€7.000000,275.000000 kg,30.120000 L,790 km
GVA,MRS,2019-03-08,€5.000000,89.810000 kg,15.930000 L,369 km
MRS,MLA,2019-03-08,€8.000000,307.000000 kg,30.370000 L,1206 km
MLA,MRS,2019-03-30,€8.000000,307.000000 kg,30.370000 L,1206 km
MRS,MAD,2019-03-30,€6.000000,248.000000 kg,26.580000 L,843 km
MAD,MRS,2019-04-05,€6.000000,248.000000 kg,26.580000 L,843 km
MRS,AMS,2019-04-05,€8.000000,326.000000 kg,33.160000 L,1035 km
AMS,TXL,2019-04-06,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,MRS,2019-04-13,€9.000000,352.810000 kg,34.970000 L,1230 km
MRS,KSF,2019-04-13,€7.000000,292.960000 kg,30.130000 L,990 km
KSF,MRS,2019-04-20,€7.000000,292.960000 kg,30.130000 L,990 km
MRS,AMS,2019-04-20,€8.000000,326.000000 kg,33.160000 L,1035 km
AMS,MRS,2019-04-27,€8.000000,326.000000 kg,33.160000 L,1035 km
MRS,LED,2019-04-27,€16.000000,669.320000 kg,60.920000 L,2534 km
LED,MRS,2019-05-10,€16.000000,669.320000 kg,60.920000 L,2534 km
ORY,MRS,2019-06-15,€5.000000,168.000000 kg,19.240000 L,676 km
MRS,LCY,2019-06-15,€7.000000,303.200000 kg,30.960000 L,1029 km
LCY,MRS,2019-06-22,€7.000000,303.200000 kg,30.960000 L,1029 km
MRS,TXL,2019-06-22,€9.000000,352.810000 kg,34.970000 L,1230 km
TXL,MRS,2019-06-28,€9.000000,352.810000 kg,34.970000 L,1230 km
MRS,MSP,2019-06-28,€52.000000,2241.220000 kg,193.810000 L,7375 km
MSP,SFO,2019-07-12,€15.000000,611.000000 kg,55.440000 L,2601 km
SFO,DET,2019-07-13,€21.000000,878.690000 kg,78.400000 L,3419 km
DET,NUE,2019-07-19,€48.000000,2052.070000 kg,177.790000 L,6886 km
NUE,MRS,2019-08-03,€6.000000,252.040000 kg,26.850000 L,860 km
MRS,MAD,2019-08-03,€6.000000,248.000000 kg,26.580000 L,843 km
MAD,MRS,2019-08-24,€6.000000,248.000000 kg,26.580000 L,843 km
MRS,OSL,2019-08-24,€13.000000,532.090000 kg,49.490000 L,1955 km
OSL,MRS,2019-09-14,€13.000000,532.090000 kg,49.490000 L,1955 km
MRS,LCY,2019-09-14,€7.000000,303.200000 kg,30.960000 L,1029 km
LCY,MRS,2019-09-21,€7.000000,303.200000 kg,30.960000 L,1029 km
MRS,VKO,2019-09-21,€17.000000,708.120000 kg,64.160000 L,2698 km
VKO,MRS,2019-09-28,€17.000000,708.120000 kg,64.160000 L,2698 km
MRS,BRU,2019-09-28,€9.000000,355.000000 kg,37.720000 L,880 km
BRU,MRS,2019-10-04,€9.000000,355.000000 kg,37.720000 L,880 km
MRS,SXB,2019-10-04,€5.000000,208.000000 kg,24.300000 L,647 km
SXB,SIR,2019-10-05,€5.000000,66.650000 kg,14.350000 L,306 km
SIR,MRS,2019-10-12,€5.000000,104.450000 kg,16.810000 L,404 km
MRS,DUB,2019-10-12,€10.000000,405.950000 kg,39.280000 L,1445 km
DUB,MRS,2019-10-19,€10.000000,405.950000 kg,39.280000 L,1445 km
MRS,TLS,2019-10-19,€5.000000,103.000000 kg,18.730000 L,359 km
TLS,MRS,2019-11-01,€5.000000,103.000000 kg,18.730000 L,359 km
MRS,OBF,2019-11-01,€5.000000,216.870000 kg,24.040000 L,749 km
OBF,MRS,2019-11-09,€5.000000,216.870000 kg,24.040000 L,749 km
MRS,RTM,2019-11-09,€7.000000,295.970000 kg,30.370000 L,999 km
RTM,MRS,2019-11-15,€7.000000,295.970000 kg,30.370000 L,999 km
MRS,ZRH,2019-11-15,€5.000000,164.380000 kg,20.530000 L,567 km
ZRH,MRS,2019-11-29,€5.000000,164.380000 kg,20.530000 L,567 km
MRS,EDI,2019-11-29,€11.000000,437.070000 kg,41.800000 L,1571 km
EDI,TXL,2019-11-30,€8.000000,343.660000 kg,34.230000 L,1192 km
TXL,MRS,2019-12-06,€9.000000,352.810000 kg,34.970000 L,1230 km
MRS,BOD,2019-12-06,€5.000000,199.000000 kg,25.060000 L,544 km
BOD,MRS,2019-12-14,€5.000000,199.000000 kg,25.060000 L,544 km
MRS,CPH,2019-12-14,€10.000000,421.170000 kg,40.510000 L,1506 km
CPH,MRS,2019-12-31,€10.000000,421.170000 kg,40.510000 L,1506 km
MRS,MRS,2019-12-31,€5.000000,10.190000 kg,2.570000 L,50 km
