DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
NYO,TBS,2019-01-11,€17.000000,721.790000 kg,65.300000 L,2756 km
TBS,BBU,2019-01-12,€11.000000,442.580000 kg,42.240000 L,1593 km
BBU,NYO,2019-01-19,€12.000000,483.340000 kg,45.540000 L,1758 km
NYO,TXL,2019-01-19,€6.000000,226.000000 kg,24.770000 L,778 km
TXL,NYO,2019-02-22,€6.000000,226.000000 kg,24.770000 L,778 km
NYO,WRO,2019-02-22,€7.000000,265.120000 kg,27.900000 L,902 km
WRO,NYO,2019-03-09,€7.000000,265.120000 kg,27.900000 L,902 km
NYO,MAD,2019-03-09,€16.000000,672.150000 kg,61.160000 L,2546 km
MAD,NYO,2019-03-15,€16.000000,672.150000 kg,61.160000 L,2546 km
NYO,OSL,2019-03-15,€5.000000,108.830000 kg,17.070000 L,414 km
OSL,NYO,2019-03-29,€5.000000,108.830000 kg,17.070000 L,414 km
NYO,ORY,2019-03-29,€10.000000,423.730000 kg,40.720000 L,1517 km
ORY,NYO,2019-04-05,€10.000000,423.730000 kg,40.720000 L,1517 km
NYO,LCY,2019-04-05,€10.000000,391.470000 kg,38.100000 L,1386 km
LCY,SVO,2019-04-06,€16.000000,667.500000 kg,60.770000 L,2526 km
SVO,NYO,2019-04-13,€9.000000,373.720000 kg,36.670000 L,1314 km
NYO,LIN,2019-04-13,€11.000000,449.470000 kg,42.800000 L,1621 km
LIN,NYO,2019-04-17,€11.000000,449.470000 kg,42.800000 L,1621 km
NYO,BRU,2019-04-17,€9.000000,353.200000 kg,35.010000 L,1231 km
BRU,MHP,2019-04-19,€11.000000,462.530000 kg,43.860000 L,1674 km
MHP,SXF,2019-04-21,€7.000000,302.830000 kg,30.930000 L,1027 km
SXF,NYO,2019-05-01,€6.000000,226.930000 kg,24.840000 L,781 km
NYO,LED,2019-05-01,€6.000000,234.460000 kg,25.440000 L,805 km
LED,NYO,2019-05-04,€6.000000,234.460000 kg,25.440000 L,805 km
NYO,RTM,2019-05-04,€8.000000,331.390000 kg,33.240000 L,1143 km
RTM,NYO,2019-05-23,€8.000000,331.390000 kg,33.240000 L,1143 km
NYO,CPH,2019-05-23,€5.000000,139.240000 kg,18.890000 L,486 km
CPH,NYO,2019-05-31,€5.000000,139.240000 kg,18.890000 L,486 km
NYO,EIN,2019-05-31,€8.000000,331.830000 kg,33.280000 L,1145 km
EIN,NYO,2019-06-07,€8.000000,331.830000 kg,33.280000 L,1145 km
NYO,WAW,2019-06-07,€6.000000,242.310000 kg,26.070000 L,830 km
WAW,KRK,2019-06-08,€5.000000,51.000000 kg,12.910000 L,295 km
KRK,NYO,2019-07-05,€7.000000,302.510000 kg,30.900000 L,1026 km
NYO,ZRH,2019-07-05,€10.000000,401.670000 kg,38.930000 L,1427 km
LED,NYO,2019-08-30,€6.000000,234.460000 kg,25.440000 L,805 km
NYO,KTW,2019-08-30,€7.000000,291.280000 kg,30.000000 L,985 km
KTW,TXL,2019-09-01,€5.000000,148.640000 kg,19.480000 L,512 km
TXL,NYO,2019-09-05,€6.000000,226.000000 kg,24.770000 L,778 km
NYO,LIN,2019-09-05,€11.000000,449.470000 kg,42.800000 L,1621 km
LIN,LBG,2019-09-06,€5.000000,201.990000 kg,23.040000 L,697 km
LBG,NYO,2019-09-14,€10.000000,417.410000 kg,40.210000 L,1491 km
NYO,BCN,2019-09-14,€14.000000,603.400000 kg,55.420000 L,2255 km
BCN,NYO,2019-09-28,€14.000000,603.400000 kg,55.420000 L,2255 km
NYO,LCY,2019-09-28,€10.000000,391.470000 kg,38.100000 L,1386 km
LCY,PRG,2019-09-30,€8.000000,313.800000 kg,31.820000 L,1072 km
PRG,NYO,2019-10-11,€8.000000,304.390000 kg,31.050000 L,1033 km
NYO,MEX,2019-10-11,€72.000000,3126.890000 kg,268.800000 L,9619 km
MEX,PEI,2019-10-13,€19.000000,793.670000 kg,71.300000 L,3059 km
PEI,NYO,2019-10-31,€74.000000,3184.340000 kg,273.670000 L,9765 km
NYO,WAW,2019-10-31,€6.000000,242.310000 kg,26.070000 L,830 km
WAW,HEM,2019-11-02,€7.000000,291.300000 kg,30.000000 L,985 km
HEM,NYO,2019-11-09,€5.000000,155.830000 kg,19.960000 L,537 km
NYO,VIE,2019-11-09,€9.000000,352.210000 kg,34.920000 L,1227 km
VIE,NYO,2019-11-15,€9.000000,352.210000 kg,34.920000 L,1227 km
NYO,SXF,2019-11-15,€6.000000,226.930000 kg,24.840000 L,781 km
SXF,NYO,2019-11-29,€6.000000,226.930000 kg,24.840000 L,781 km
NYO,AMS,2019-11-29,€8.000000,319.920000 kg,32.310000 L,1096 km
AMS,NYO,2019-12-06,€8.000000,319.920000 kg,32.310000 L,1096 km
NYO,TBS,2019-12-06,€17.000000,721.790000 kg,65.300000 L,2756 km
