DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
MAD,MHG,2019-01-12,€10.000000,401.720000 kg,38.930000 L,1428 km
MHG,MAD,2019-01-26,€10.000000,401.720000 kg,38.930000 L,1428 km
MAD,TLS,2019-01-26,€5.000000,169.000000 kg,20.500000 L,586 km
TLS,MAD,2019-03-14,€5.000000,169.000000 kg,20.500000 L,586 km
MAD,BFI,2019-03-14,€63.000000,2715.350000 kg,233.960000 L,8576 km
BFI,DEN,2019-03-15,€11.000000,467.000000 kg,44.220000 L,1692 km
DEN,TNT,2019-03-27,€63.000000,2728.530000 kg,235.070000 L,8610 km
TNT,LPL,2019-03-30,€9.000000,379.630000 kg,37.150000 L,1338 km
LPL,MAD,2019-04-20,€10.000000,415.380000 kg,40.040000 L,1483 km
MAD,TXL,2019-04-20,€11.000000,455.000000 kg,42.530000 L,1901 km
TXL,CMR,2019-04-21,€5.000000,203.450000 kg,23.140000 L,702 km
CMR,MAD,2019-04-26,€9.000000,361.120000 kg,35.650000 L,1263 km
MAD,ZRH,2019-04-26,€8.000000,309.000000 kg,30.370000 L,1286 km
ZRH,MAD,2019-04-30,€8.000000,309.000000 kg,30.370000 L,1286 km
MAD,DTM,2019-04-30,€10.000000,430.260000 kg,41.250000 L,1543 km
DTM,MAD,2019-05-11,€10.000000,430.260000 kg,41.250000 L,1543 km
MAD,SKU,2019-05-11,€15.000000,650.690000 kg,59.360000 L,2455 km
SKU,MAD,2019-05-25,€15.000000,650.690000 kg,59.360000 L,2455 km
MAD,HND,2019-05-25,€85.000000,3691.860000 kg,316.680000 L,10830 km
HND,JKH,2019-06-06,€70.000000,3033.720000 kg,260.910000 L,9383 km
JKH,MAD,2019-07-06,€16.000000,680.960000 kg,61.890000 L,2583 km
SYD,MEB,2019-07-07,€6.000000,218.980000 kg,24.200000 L,756 km
MEB,AKL,2019-07-12,€17.000000,705.880000 kg,63.970000 L,2688 km
BCN,MAD,2019-08-04,€5.000000,126.000000 kg,16.200000 L,531 km
MAD,LGA,2019-08-04,€39.000000,1669.270000 kg,145.300000 L,5819 km
LGA,BOG,2019-08-09,€24.000000,1039.390000 kg,91.850000 L,4065 km
BOG,CGH,2019-08-17,€27.000000,1156.990000 kg,101.830000 L,4392 km
CGH,AMS,2019-08-24,€75.000000,3224.030000 kg,277.030000 L,9865 km
AMS,MAD,2019-08-31,€10.000000,398.000000 kg,38.220000 L,1506 km
MAD,BOJ,2019-08-31,€16.000000,693.300000 kg,62.920000 L,2635 km
BOJ,MAD,2019-09-28,€16.000000,693.300000 kg,62.920000 L,2635 km
MAD,BRS,2019-09-28,€9.000000,361.950000 kg,35.710000 L,1267 km
BRS,MAD,2019-10-12,€9.000000,361.950000 kg,35.710000 L,1267 km
MAD,DPS,2019-10-12,€112.000000,4834.860000 kg,413.560000 L,13119 km
DPS,MAN,2019-10-19,€106.000000,4601.050000 kg,393.740000 L,12651 km
MAN,MAD,2019-10-26,€10.000000,416.420000 kg,40.120000 L,1487 km
MAD,LCY,2019-10-26,€11.000000,437.000000 kg,42.780000 L,1305 km
LCY,MAD,2019-11-02,€11.000000,437.000000 kg,42.780000 L,1305 km
MAD,BCN,2019-11-02,€5.000000,126.000000 kg,16.200000 L,531 km
BCN,MAD,2019-11-16,€5.000000,126.000000 kg,16.200000 L,531 km
MAD,HAJ,2019-11-16,€11.000000,474.360000 kg,44.820000 L,1722 km
HAJ,MAD,2019-11-22,€11.000000,474.360000 kg,44.820000 L,1722 km
MAD,BUR,2019-11-22,€71.000000,3049.520000 kg,262.250000 L,9423 km
BUR,SAN,2019-11-23,€5.000000,50.170000 kg,12.700000 L,245 km
SAN,GVA,2019-11-29,€72.000000,3125.320000 kg,268.670000 L,9615 km
GVA,MAD,2019-12-07,€6.000000,250.000000 kg,25.310000 L,1057 km
MAD,MEX,2019-12-07,€62.000000,2661.000000 kg,229.110000 L,9111 km
MEX,LIS,2019-12-13,€64.000000,2774.340000 kg,238.950000 L,8726 km
LIS,SDU,2019-12-14,€56.000000,2398.910000 kg,207.160000 L,7775 km
SDU,GYN,2019-12-20,€7.000000,289.100000 kg,29.820000 L,978 km
GYN,MAD,2019-12-21,€0.000000,0.000000 kg,0.000000 L,0 km
