DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
ELS,IBZ,2019-01-01,€62.000000,2688.980000 kg,231.720000 L,8510 km
IBZ,ELS,2019-01-19,€62.000000,2688.980000 kg,231.720000 L,8510 km
ELS,DUB,2019-01-19,€78.000000,3389.130000 kg,291.020000 L,10224 km
DUB,ELS,2019-01-25,€78.000000,3389.130000 kg,291.020000 L,10224 km
BRS,ELS,2019-02-01,€75.000000,3242.690000 kg,278.610000 L,9913 km
ELS,LBA,2019-02-01,€77.000000,3343.850000 kg,287.180000 L,10133 km
LBA,OBF,2019-02-02,€8.000000,335.330000 kg,33.560000 L,1159 km
OBF,ELS,2019-02-15,€69.000000,2973.600000 kg,255.820000 L,9231 km
ELS,MAN,2019-02-15,€77.000000,3326.200000 kg,285.680000 L,10098 km
MAN,LCY,2019-02-16,€5.000000,67.030000 kg,14.380000 L,308 km
LCY,ELS,2019-02-22,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,BHX,2019-02-22,€76.000000,3274.230000 kg,281.280000 L,9992 km
BHX,ELS,2019-03-01,€76.000000,3274.230000 kg,281.280000 L,9992 km
ELS,GLA,2019-03-01,€81.000000,3480.790000 kg,298.780000 L,10408 km
GLA,ELS,2019-03-14,€81.000000,3480.790000 kg,298.780000 L,10408 km
ELS,DEL,2019-03-14,€64.000000,2747.940000 kg,236.720000 L,8659 km
DEL,BOM,2019-03-15,€6.000000,256.000000 kg,25.560000 L,1186 km
BOM,BLR,2019-03-16,€5.000000,194.000000 kg,20.500000 L,892 km
BLR,LPL,2019-03-30,€60.000000,2599.410000 kg,224.140000 L,8283 km
LPL,ELS,2019-04-05,€77.000000,3333.810000 kg,286.330000 L,10113 km
SXF,EMA,2019-04-20,€8.000000,308.290000 kg,31.370000 L,1049 km
EMA,ELS,2019-04-26,€76.000000,3286.920000 kg,282.350000 L,10019 km
ELS,HEM,2019-04-26,€81.000000,3497.000000 kg,300.160000 L,10440 km
HEM,BGO,2019-04-27,€8.000000,330.700000 kg,33.180000 L,1140 km
BGO,BCN,2019-04-28,€14.000000,584.630000 kg,53.850000 L,2176 km
BCN,OBF,2019-04-30,€8.000000,320.090000 kg,32.320000 L,1097 km
OBF,ELS,2019-05-04,€69.000000,2973.600000 kg,255.820000 L,9231 km
ELS,LCY,2019-05-04,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-05-25,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,GLA,2019-05-25,€81.000000,3480.790000 kg,298.780000 L,10408 km
GLA,ELS,2019-05-31,€81.000000,3480.790000 kg,298.780000 L,10408 km
ELS,MAN,2019-05-31,€77.000000,3326.200000 kg,285.680000 L,10098 km
MAN,ELS,2019-06-08,€77.000000,3326.200000 kg,285.680000 L,10098 km
ELS,MAN,2019-06-08,€77.000000,3326.200000 kg,285.680000 L,10098 km
MAN,ELS,2019-06-19,€77.000000,3326.200000 kg,285.680000 L,10098 km
ELS,EDI,2019-06-19,€80.000000,3471.780000 kg,298.020000 L,10390 km
EDI,ELS,2019-06-29,€80.000000,3471.780000 kg,298.020000 L,10390 km
ELS,TXL,2019-06-29,€73.000000,3152.740000 kg,270.990000 L,9685 km
TXL,BRU,2019-06-30,€6.000000,243.000000 kg,27.840000 L,682 km
BRU,ELS,2019-07-03,€73.000000,3147.810000 kg,270.570000 L,9672 km
ELS,ZAD,2019-07-03,€64.000000,2776.160000 kg,239.110000 L,8730 km
ZAD,ELS,2019-07-13,€64.000000,2776.160000 kg,239.110000 L,8730 km
ELS,SYD,2019-07-13,€82.000000,3559.850000 kg,305.490000 L,10566 km
IBZ,ELS,2019-07-26,€62.000000,2688.980000 kg,231.720000 L,8510 km
ELS,NTE,2019-07-26,€71.000000,3060.440000 kg,263.180000 L,9451 km
NTE,ELS,2019-08-08,€71.000000,3060.440000 kg,263.180000 L,9451 km
ELS,KNF,2019-08-08,€74.000000,3214.630000 kg,276.230000 L,9841 km
KNF,ELS,2019-08-22,€74.000000,3214.630000 kg,276.230000 L,9841 km
ELS,WTN,2019-08-22,€76.000000,3293.320000 kg,282.900000 L,10032 km
WTN,LCY,2019-08-24,€5.000000,48.580000 kg,12.290000 L,238 km
LCY,ELS,2019-09-01,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,LCY,2019-09-01,€74.000000,3216.920000 kg,276.430000 L,9847 km
