DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CDG,ORY,2019-01-11,€5.000000,17.450000 kg,4.410000 L,85 km
ORY,CDG,2019-01-20,€5.000000,17.450000 kg,4.410000 L,85 km
CDG,LCY,2019-01-20,€5.000000,94.010000 kg,16.190000 L,379 km
LCY,CDG,2019-01-25,€5.000000,94.010000 kg,16.190000 L,379 km
CDG,CIA,2019-01-25,€8.000000,333.480000 kg,33.410000 L,1151 km
CIA,MAD,2019-01-26,€9.000000,390.140000 kg,38.000000 L,1381 km
MAD,CDG,2019-02-09,€7.000000,278.000000 kg,28.100000 L,1111 km
CDG,LED,2019-02-09,€13.000000,559.000000 kg,51.390000 L,2182 km
LED,CDG,2019-03-01,€13.000000,559.000000 kg,51.390000 L,2182 km
CDG,AMS,2019-03-01,€5.000000,111.000000 kg,15.940000 L,448 km
AMS,CAS,2019-03-02,€15.000000,627.150000 kg,57.400000 L,2355 km
CAS,TBS,2019-03-08,€29.000000,1256.900000 kg,110.310000 L,4671 km
TBS,TXL,2019-03-16,€17.000000,705.980000 kg,63.980000 L,2689 km
TXL,CDG,2019-03-22,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,BOG,2019-03-22,€67.000000,2885.000000 kg,248.600000 L,8687 km
BOG,CLO,2019-03-29,€5.000000,57.000000 kg,14.430000 L,328 km
CLO,PEI,2019-03-31,€5.000000,46.740000 kg,11.830000 L,229 km
PEI,HAJ,2019-04-06,€70.000000,3015.370000 kg,259.360000 L,9337 km
HAJ,CDG,2019-04-19,€6.000000,246.000000 kg,28.350000 L,681 km
CDG,WRO,2019-04-19,€8.000000,321.870000 kg,32.470000 L,1104 km
WRO,CDG,2019-04-26,€8.000000,321.870000 kg,32.470000 L,1104 km
CDG,STR,2019-04-26,€5.000000,146.000000 kg,18.480000 L,539 km
STR,SVQ,2019-04-27,€12.000000,493.090000 kg,46.330000 L,1797 km
SVQ,CDG,2019-05-04,€10.000000,421.520000 kg,40.540000 L,1508 km
CDG,BIQ,2019-05-04,€5.000000,214.970000 kg,23.910000 L,742 km
BIQ,CDG,2019-05-07,€5.000000,214.970000 kg,23.910000 L,742 km
CDG,ORY,2019-05-07,€5.000000,17.450000 kg,4.410000 L,85 km
ORY,CDG,2019-05-18,€5.000000,17.450000 kg,4.410000 L,85 km
DUS,CDG,2019-06-21,€5.000000,115.000000 kg,16.450000 L,443 km
CDG,WAW,2019-06-21,€10.000000,400.000000 kg,38.730000 L,1392 km
WAW,CDG,2019-06-29,€10.000000,400.000000 kg,38.730000 L,1392 km
CDG,OVD,2019-06-29,€8.000000,342.000000 kg,35.690000 L,943 km
OVD,CDG,2019-07-12,€8.000000,342.000000 kg,35.690000 L,943 km
SZX,HND,2019-07-14,€18.000000,765.040000 kg,68.910000 L,2938 km
HND,RTM,2019-07-20,€71.000000,3048.980000 kg,262.210000 L,9422 km
RTM,CDG,2019-07-26,€5.000000,103.790000 kg,16.770000 L,402 km
CDG,TXL,2019-07-26,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,CDG,2019-08-07,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,OPO,2019-08-07,€10.000000,419.000000 kg,41.010000 L,1278 km
OPO,CDG,2019-09-14,€10.000000,419.000000 kg,41.010000 L,1278 km
CDG,BCN,2019-09-14,€6.000000,219.000000 kg,23.030000 L,908 km
BCN,CDG,2019-09-20,€6.000000,219.000000 kg,23.030000 L,908 km
CDG,LBG,2019-09-20,€5.000000,12.070000 kg,3.050000 L,59 km
LBG,CDG,2019-10-11,€5.000000,12.070000 kg,3.050000 L,59 km
CDG,LIS,2019-10-11,€9.000000,362.000000 kg,34.680000 L,1518 km
LIS,CDG,2019-10-18,€9.000000,362.000000 kg,34.680000 L,1518 km
CDG,AMS,2019-10-18,€5.000000,111.000000 kg,15.940000 L,448 km
AMS,CDG,2019-10-26,€5.000000,111.000000 kg,15.940000 L,448 km
CDG,ORY,2019-10-26,€5.000000,17.450000 kg,4.410000 L,85 km
ORY,CDG,2019-10-31,€5.000000,17.450000 kg,4.410000 L,85 km
CDG,BES,2019-10-31,€5.000000,181.000000 kg,22.530000 L,562 km
BES,CDG,2019-11-15,€5.000000,181.000000 kg,22.530000 L,562 km
CDG,COR,2019-11-15,€89.000000,3860.050000 kg,330.930000 L,11167 km
COR,IGU,2019-11-16,€8.000000,343.440000 kg,34.220000 L,1192 km
IGU,AEP,2019-11-17,€8.000000,322.940000 kg,32.550000 L,1109 km
AEP,ASU,2019-11-23,€7.000000,262.000000 kg,26.580000 L,1088 km
ASU,IEV,2019-12-06,€100.000000,4315.880000 kg,369.570000 L,12080 km
IEV,CDG,2019-12-28,€13.000000,555.710000 kg,51.440000 L,2053 km
CDG,CDG,2019-12-28,€0.000000,0.000000 kg,0.000000 L,0 km
