DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
MUC,YHU,2019-01-26,€42.000000,1815.540000 kg,157.720000 L,6227 km
YHU,OBF,2019-02-02,€42.000000,1810.030000 kg,157.250000 L,6211 km
OBF,MUC,2019-02-08,€5.000000,19.890000 kg,5.030000 L,97 km
MUC,LBA,2019-02-08,€8.000000,337.770000 kg,33.760000 L,1169 km
LBA,MUC,2019-02-16,€8.000000,337.770000 kg,33.760000 L,1169 km
MUC,LCY,2019-02-16,€10.000000,402.000000 kg,41.770000 L,958 km
LCY,MUC,2019-02-21,€10.000000,402.000000 kg,41.770000 L,958 km
MUC,LPL,2019-02-21,€9.000000,349.520000 kg,34.710000 L,1216 km
LPL,TXL,2019-02-23,€8.000000,329.430000 kg,33.080000 L,1135 km
TXL,MUC,2019-02-28,€5.000000,123.000000 kg,15.690000 L,528 km
MUC,OSL,2019-02-28,€9.000000,361.000000 kg,35.180000 L,1365 km
OSL,MUC,2019-03-09,€9.000000,361.000000 kg,35.180000 L,1365 km
MUC,SSN,2019-03-09,€63.000000,2718.270000 kg,234.210000 L,8584 km
SSN,MAN,2019-03-21,€65.000000,2825.190000 kg,243.260000 L,8855 km
MAN,BRS,2019-03-22,€5.000000,62.000000 kg,15.690000 L,272 km
BRS,MUC,2019-03-30,€8.000000,331.000000 kg,33.210000 L,1141 km
MUC,OBF,2019-03-30,€5.000000,19.890000 kg,5.030000 L,97 km
OBF,MUC,2019-04-12,€5.000000,19.890000 kg,5.030000 L,97 km
MUC,TRN,2019-04-12,€5.000000,103.000000 kg,13.410000 L,520 km
TRN,MUC,2019-04-19,€5.000000,103.000000 kg,13.410000 L,520 km
MUC,BCN,2019-04-19,€7.000000,283.000000 kg,28.350000 L,1144 km
BCN,OBF,2019-04-20,€8.000000,320.090000 kg,32.320000 L,1097 km
OBF,MUC,2019-04-26,€5.000000,19.890000 kg,5.030000 L,97 km
