DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,IEV,2019-01-12,€9.000000,356.900000 kg,35.300000 L,1246 km
IEV,SXF,2019-02-01,€9.000000,356.900000 kg,35.300000 L,1246 km
SXF,TXL,2019-02-01,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-02-22,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,VIE,2019-02-22,€5.000000,164.440000 kg,20.530000 L,567 km
VIE,LBA,2019-02-24,€10.000000,407.590000 kg,39.410000 L,1451 km
LBA,SXF,2019-03-10,€8.000000,313.420000 kg,31.780000 L,1070 km
SXF,TXL,2019-03-10,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-04-05,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-04-05,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-04-20,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,LIN,2019-04-20,€7.000000,262.280000 kg,27.670000 L,893 km
LIN,SXF,2019-05-18,€7.000000,262.280000 kg,27.670000 L,893 km
SXF,TXL,2019-05-18,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-05-24,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,ORY,2019-05-24,€7.000000,277.190000 kg,28.870000 L,940 km
ORY,GRQ,2019-05-25,€5.000000,180.420000 kg,21.600000 L,623 km
GRQ,SXF,2019-05-31,€5.000000,151.040000 kg,19.640000 L,520 km
SXF,FRA,2019-05-31,€5.000000,140.910000 kg,18.990000 L,490 km
FRA,SXF,2019-06-07,€5.000000,140.910000 kg,18.990000 L,490 km
SXF,TXL,2019-06-07,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-06-14,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TBS,2019-06-14,€17.000000,702.320000 kg,63.680000 L,2673 km
TBS,VKO,2019-06-15,€11.000000,464.710000 kg,44.030000 L,1683 km
VKO,SXF,2019-07-13,€11.000000,452.110000 kg,43.020000 L,1632 km
SXF,TXL,2019-07-13,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-07-19,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,DCA,2019-07-19,€47.000000,2013.820000 kg,174.540000 L,6779 km
DCA,HEM,2019-07-26,€49.000000,2090.540000 kg,181.050000 L,6993 km
HEM,SXF,2019-08-02,€8.000000,336.870000 kg,33.680000 L,1165 km
SXF,TXL,2019-08-02,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-08-18,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,ZAD,2019-08-18,€7.000000,294.590000 kg,30.260000 L,995 km
ZAD,SXF,2019-08-21,€7.000000,294.590000 kg,30.260000 L,995 km
SXF,TXL,2019-08-21,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-08-28,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,PUY,2019-08-28,€7.000000,264.000000 kg,27.810000 L,898 km
PUY,SXF,2019-09-06,€7.000000,264.000000 kg,27.810000 L,898 km
SXF,MLH,2019-09-06,€5.000000,213.570000 kg,23.820000 L,738 km
MLH,SXF,2019-09-14,€5.000000,213.570000 kg,23.820000 L,738 km
SXF,IEV,2019-09-14,€9.000000,356.900000 kg,35.300000 L,1246 km
IEV,SXF,2019-10-04,€9.000000,356.900000 kg,35.300000 L,1246 km
SXF,TXL,2019-10-04,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-10-18,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,LCY,2019-10-18,€7.000000,288.480000 kg,29.770000 L,976 km
LCY,AMS,2019-10-20,€5.000000,103.000000 kg,17.210000 L,383 km
AMS,SXF,2019-10-26,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,BBU,2019-10-26,€9.000000,378.150000 kg,37.030000 L,1332 km
BBU,SXF,2019-12-06,€9.000000,378.150000 kg,37.030000 L,1332 km
SXF,SXF,2019-12-06,€5.000000,10.190000 kg,2.570000 L,50 km
