DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LIS,HND,2019-01-11,€90.000000,3885.110000 kg,333.060000 L,11217 km
HND,SSN,2019-01-12,€9.000000,348.350000 kg,34.610000 L,1211 km
SSN,SOF,2019-01-25,€60.000000,2600.070000 kg,224.200000 L,8284 km
SOF,VIE,2019-01-26,€7.000000,263.000000 kg,28.100000 L,853 km
VIE,LIS,2019-02-01,€15.000000,624.650000 kg,57.190000 L,2345 km
LIS,VLC,2019-02-01,€6.000000,244.000000 kg,26.580000 L,800 km
VLC,LIS,2019-02-10,€6.000000,244.000000 kg,26.580000 L,800 km
LIS,MAD,2019-02-10,€5.000000,149.000000 kg,18.480000 L,562 km
MAD,LIS,2019-02-22,€5.000000,149.000000 kg,18.480000 L,562 km
LIS,FRA,2019-02-22,€11.000000,462.000000 kg,43.030000 L,1922 km
FRA,LBA,2019-02-24,€6.000000,254.770000 kg,27.070000 L,869 km
LBA,LIS,2019-03-02,€12.000000,499.610000 kg,46.860000 L,1824 km
LIS,LIN,2019-03-02,€10.000000,434.000000 kg,41.010000 L,1732 km
LIN,LIS,2019-03-09,€10.000000,434.000000 kg,41.010000 L,1732 km
LIS,TNT,2019-03-27,€12.000000,517.350000 kg,48.300000 L,1896 km
TNT,LBG,2019-04-05,€6.000000,225.750000 kg,24.750000 L,777 km
LBG,MHG,2019-04-06,€5.000000,141.730000 kg,19.040000 L,492 km
MHG,LIS,2019-04-12,€12.000000,515.140000 kg,48.120000 L,1887 km
LIS,BCN,2019-04-12,€7.000000,298.000000 kg,30.370000 L,1041 km
BCN,DUB,2019-04-13,€10.000000,428.720000 kg,41.120000 L,1537 km
DUB,LIS,2019-04-20,€11.000000,468.280000 kg,44.320000 L,1697 km
LIS,CGN,2019-04-20,€12.000000,519.330000 kg,48.460000 L,1904 km
CGN,MAN,2019-04-21,€5.000000,216.990000 kg,24.040000 L,749 km
MAN,LIS,2019-04-25,€12.000000,482.730000 kg,45.490000 L,1755 km
LIS,CND,2019-04-25,€20.000000,832.890000 kg,74.580000 L,3225 km
CND,LIS,2019-04-30,€20.000000,832.890000 kg,74.580000 L,3225 km
LIS,MAD,2019-04-30,€5.000000,149.000000 kg,18.480000 L,562 km
MAD,LIS,2019-05-24,€5.000000,149.000000 kg,18.480000 L,562 km
LIS,VLC,2019-05-24,€6.000000,244.000000 kg,26.580000 L,800 km
VLC,LCY,2019-05-25,€10.000000,392.200000 kg,38.160000 L,1389 km
LCY,TXL,2019-05-26,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,LIS,2019-05-29,€15.000000,627.560000 kg,57.430000 L,2357 km
LIS,FRA,2019-05-29,€11.000000,462.000000 kg,43.030000 L,1922 km
IBZ,LIS,2019-06-07,€7.000000,296.000000 kg,30.880000 L,958 km
LIS,BBU,2019-06-07,€19.000000,785.360000 kg,70.610000 L,3024 km
BBU,LIS,2019-06-13,€19.000000,785.360000 kg,70.610000 L,3024 km
LIS,BCN,2019-06-13,€7.000000,298.000000 kg,30.370000 L,1041 km
