DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
AMS,FRA,2019-01-26,€5.000000,118.000000 kg,17.970000 L,417 km
FRA,AMS,2019-02-02,€5.000000,118.000000 kg,17.970000 L,417 km
AMS,MAN,2019-02-02,€5.000000,157.000000 kg,20.000000 L,534 km
MAN,AMS,2019-02-09,€5.000000,157.000000 kg,20.000000 L,534 km
AMS,TXL,2019-02-15,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,LEJ,2019-02-16,€5.000000,39.430000 kg,9.980000 L,193 km
LEJ,AMS,2019-02-23,€5.000000,169.300000 kg,20.860000 L,584 km
AMS,EDI,2019-03-15,€6.000000,223.000000 kg,25.060000 L,715 km
EDI,AMS,2019-03-22,€6.000000,223.000000 kg,25.060000 L,715 km
AMS,LYN,2019-03-22,€6.000000,227.540000 kg,24.890000 L,783 km
LYN,ORY,2019-03-23,€5.000000,117.270000 kg,17.580000 L,434 km
ORY,AMS,2019-03-31,€5.000000,138.740000 kg,18.860000 L,485 km
AMS,BCN,2019-03-31,€9.000000,381.000000 kg,37.460000 L,1291 km
BCN,AMS,2019-04-05,€9.000000,381.000000 kg,37.460000 L,1291 km
HEM,AMS,2019-04-20,€11.000000,437.480000 kg,41.830000 L,1572 km
AMS,TXL,2019-04-21,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,AMS,2019-04-25,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,RKV,2019-04-25,€13.000000,559.260000 kg,51.730000 L,2068 km
RKV,AMS,2019-05-03,€13.000000,559.260000 kg,51.730000 L,2068 km
ESH,AMS,2019-05-17,€5.000000,118.470000 kg,17.650000 L,437 km
AMS,BRU,2019-05-17,€5.000000,49.000000 kg,12.400000 L,206 km
BRU,GLA,2019-05-18,€6.000000,248.940000 kg,26.610000 L,851 km
GLA,AMS,2019-05-25,€6.000000,236.000000 kg,26.070000 L,766 km
AMS,BCN,2019-05-30,€9.000000,381.000000 kg,37.460000 L,1291 km
CGN,EIN,2019-06-09,€5.000000,38.630000 kg,9.770000 L,189 km
EIN,AMS,2019-06-14,€5.000000,31.600000 kg,8.000000 L,154 km
AMS,SXF,2019-06-15,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,AMS,2019-06-21,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,RTM,2019-06-21,€5.000000,19.850000 kg,5.020000 L,97 km
RTM,AMS,2019-08-02,€5.000000,19.850000 kg,5.020000 L,97 km
GSE,DRS,2019-08-10,€6.000000,232.330000 kg,25.270000 L,798 km
DRS,AMS,2019-08-29,€5.000000,197.660000 kg,22.750000 L,682 km
AMS,RTM,2019-08-31,€5.000000,19.850000 kg,5.020000 L,97 km
RTM,AMS,2019-09-07,€5.000000,19.850000 kg,5.020000 L,97 km
AMS,EIN,2019-09-13,€5.000000,31.600000 kg,8.000000 L,154 km
EIN,AMS,2019-09-19,€5.000000,31.600000 kg,8.000000 L,154 km
AMS,RTM,2019-09-19,€5.000000,19.850000 kg,5.020000 L,97 km
RTM,DUB,2019-09-20,€6.000000,229.240000 kg,25.030000 L,788 km
DUB,AMS,2019-09-21,€6.000000,233.080000 kg,25.330000 L,800 km
AMS,PRG,2019-09-27,€6.000000,229.000000 kg,25.310000 L,753 km
PRG,AMS,2019-10-04,€6.000000,229.000000 kg,25.310000 L,753 km
AMS,RNS,2019-10-04,€5.000000,206.190000 kg,23.320000 L,712 km
RNS,LBA,2019-10-05,€5.000000,201.360000 kg,23.000000 L,695 km
LBA,AMS,2019-10-10,€5.000000,181.000000 kg,23.540000 L,510 km
AMS,KRK,2019-10-10,€8.000000,328.760000 kg,33.030000 L,1132 km
KRK,AMS,2019-10-13,€8.000000,328.760000 kg,33.030000 L,1132 km
AMS,LYN,2019-10-13,€6.000000,227.540000 kg,24.890000 L,783 km
LYN,AMS,2019-10-18,€6.000000,227.540000 kg,24.890000 L,783 km
BRS,AMS,2019-11-01,€5.000000,206.000000 kg,25.310000 L,571 km
AMS,LCY,2019-11-01,€5.000000,103.000000 kg,17.210000 L,383 km
LCY,OBF,2019-11-02,€7.000000,277.280000 kg,28.870000 L,940 km
OBF,AMS,2019-11-15,€5.000000,205.560000 kg,23.280000 L,710 km
AMS,LJU,2019-11-15,€8.000000,320.000000 kg,32.650000 L,1024 km
LJU,AMS,2019-11-21,€8.000000,320.000000 kg,32.650000 L,1024 km
AMS,LNZ,2019-11-21,€6.000000,251.010000 kg,26.770000 L,857 km
LNZ,AMS,2019-12-07,€6.000000,251.010000 kg,26.770000 L,857 km
TSA,SSN,2019-12-14,€10.000000,425.190000 kg,40.840000 L,1523 km
