DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CDG,CVJ,2019-02-15,€70.000000,3009.950000 kg,258.900000 L,9323 km
CVJ,TXL,2019-02-22,€74.000000,3214.570000 kg,276.230000 L,9841 km
TXL,CDG,2019-03-01,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,NTE,2019-03-01,€5.000000,99.000000 kg,15.180000 L,419 km
NTE,CDG,2019-03-22,€5.000000,99.000000 kg,15.180000 L,419 km
CDG,LHR,2019-03-22,€5.000000,87.000000 kg,13.920000 L,396 km
LHR,LPL,2019-03-23,€5.000000,68.570000 kg,14.520000 L,313 km
LPL,CDG,2019-03-29,€5.000000,191.380000 kg,22.330000 L,661 km
CDG,SKP,2019-03-29,€11.000000,472.460000 kg,44.660000 L,1714 km
SKP,CDG,2019-04-04,€11.000000,472.460000 kg,44.660000 L,1714 km
CDG,PRG,2019-04-04,€6.000000,226.000000 kg,23.790000 L,901 km
PRG,CDG,2019-04-11,€6.000000,226.000000 kg,23.790000 L,901 km
CDG,DXB,2019-04-11,€37.000000,1570.000000 kg,137.210000 L,5285 km
DXB,IST,2019-04-12,€18.000000,771.000000 kg,69.110000 L,3056 km
IST,BCN,2019-04-13,€13.000000,534.000000 kg,48.860000 L,2279 km
BCN,CDG,2019-04-27,€6.000000,219.000000 kg,23.030000 L,908 km
CDG,ARN,2019-04-27,€10.000000,416.000000 kg,39.490000 L,1589 km
ARN,CDG,2019-05-25,€10.000000,416.000000 kg,39.490000 L,1589 km
CDG,LYN,2019-05-30,€5.000000,127.120000 kg,18.170000 L,457 km
LYN,CDG,2019-05-31,€5.000000,127.120000 kg,18.170000 L,457 km
CDG,LGA,2019-06-01,€39.000000,1693.720000 kg,147.380000 L,5887 km
LGA,LHR,2019-06-07,€37.000000,1587.960000 kg,138.400000 L,5593 km
LHR,CDG,2019-06-21,€5.000000,87.000000 kg,13.920000 L,396 km
CDG,TXL,2019-06-21,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,CDG,2019-07-04,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,GLA,2019-07-04,€7.000000,277.640000 kg,28.900000 L,941 km
GLA,CDG,2019-07-11,€7.000000,277.640000 kg,28.900000 L,941 km
CDG,GDN,2019-07-13,€10.000000,403.000000 kg,39.490000 L,1294 km
GDN,CDG,2019-07-17,€10.000000,403.000000 kg,39.490000 L,1294 km
CDG,BCN,2019-07-17,€6.000000,219.000000 kg,23.030000 L,908 km
BCN,CDG,2019-09-14,€6.000000,219.000000 kg,23.030000 L,908 km
CDG,TXL,2019-09-14,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,CDG,2019-09-28,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,OTP,2019-09-28,€12.000000,505.000000 kg,47.080000 L,1901 km
OTP,CDG,2019-10-10,€12.000000,505.000000 kg,47.080000 L,1901 km
CDG,BRN,2019-10-10,€5.000000,139.340000 kg,18.900000 L,486 km
BRN,CDG,2019-10-31,€5.000000,139.340000 kg,18.900000 L,486 km
CDG,LIS,2019-10-31,€9.000000,362.000000 kg,34.680000 L,1518 km
LIS,BCN,2019-11-02,€7.000000,298.000000 kg,30.370000 L,1041 km
BCN,CDG,2019-11-08,€6.000000,219.000000 kg,23.030000 L,908 km
CDG,LHR,2019-11-08,€5.000000,87.000000 kg,13.920000 L,396 km
LHR,CDG,2019-11-15,€5.000000,87.000000 kg,13.920000 L,396 km
CDG,TXL,2019-11-15,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,CDG,2019-11-23,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,BOM,2019-11-23,€51.000000,2214.000000 kg,191.640000 L,7041 km
BOM,RBA,2019-11-30,€57.000000,2473.180000 kg,213.450000 L,7963 km
RBA,CDG,2019-12-14,€11.000000,467.000000 kg,43.540000 L,1878 km
