DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LGA,IEV,2019-03-01,€54.000000,2313.190000 kg,199.900000 L,7557 km
IEV,VIE,2019-03-02,€8.000000,321.300000 kg,32.420000 L,1102 km
VIE,TXL,2019-03-22,€5.000000,147.000000 kg,17.720000 L,596 km
TXL,BEV,2019-03-22,€18.000000,777.850000 kg,69.980000 L,2993 km
BEV,SKU,2019-03-23,€9.000000,372.840000 kg,36.590000 L,1311 km
SKU,TXL,2019-04-12,€12.000000,494.010000 kg,46.410000 L,1801 km
TXL,IST,2019-04-12,€10.000000,428.000000 kg,40.250000 L,1790 km
IST,GRX,2019-04-18,€18.000000,746.270000 kg,67.350000 L,2859 km
GRX,LHR,2019-04-20,€11.000000,460.410000 kg,43.690000 L,1665 km
LHR,TXL,2019-04-26,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,LYN,2019-04-26,€7.000000,301.750000 kg,30.840000 L,1023 km
LYN,PSA,2019-04-28,€5.000000,156.020000 kg,19.970000 L,538 km
PSA,TXL,2019-05-03,€8.000000,311.290000 kg,31.610000 L,1061 km
TXL,BCN,2019-05-03,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,TXL,2019-05-10,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,YHU,2019-05-10,€41.000000,1759.980000 kg,153.000000 L,6072 km
YHU,LGA,2019-05-11,€5.000000,179.030000 kg,21.510000 L,618 km
LGA,IBZ,2019-05-20,€43.000000,1833.160000 kg,159.210000 L,6276 km
IBZ,TXL,2019-05-25,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,LEJ,2019-05-25,€5.000000,39.430000 kg,9.980000 L,193 km
LEJ,TXL,2019-05-26,€5.000000,39.430000 kg,9.980000 L,193 km
CEQ,TXL,2019-06-14,€8.000000,334.600000 kg,33.500000 L,1156 km
TXL,BCN,2019-06-14,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,IBZ,2019-06-16,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,TXL,2019-07-05,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,IBZ,2019-07-05,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,TRN,2019-07-06,€7.000000,268.770000 kg,28.190000 L,913 km
TRN,TXL,2019-07-13,€7.000000,277.000000 kg,28.860000 L,964 km
TXL,IBZ,2019-07-13,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,TXL,2019-07-18,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,BCN,2019-07-18,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,TXL,2019-08-03,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,AMS,2019-08-03,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-08-10,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,RTM,2019-08-10,€5.000000,190.410000 kg,22.270000 L,657 km
RTM,TXL,2019-08-25,€5.000000,190.410000 kg,22.270000 L,657 km
TXL,NHT,2019-08-25,€7.000000,293.460000 kg,30.170000 L,991 km
NHT,IBZ,2019-08-26,€10.000000,411.680000 kg,39.740000 L,1468 km
IBZ,TXL,2019-09-14,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,TLV,2019-09-14,€16.000000,674.000000 kg,60.500000 L,2919 km
TLV,VIY,2019-09-20,€20.000000,863.320000 kg,77.120000 L,3354 km
VIY,TXL,2019-09-28,€7.000000,276.840000 kg,28.840000 L,939 km
TXL,MLH,2019-09-28,€5.000000,212.410000 kg,23.740000 L,734 km
MLH,TXL,2019-10-02,€5.000000,212.410000 kg,23.740000 L,734 km
TXL,HAM,2019-10-02,€5.000000,58.000000 kg,14.680000 L,299 km
HAM,TXL,2019-10-05,€5.000000,58.000000 kg,14.680000 L,299 km
TXL,FLR,2019-10-05,€8.000000,305.430000 kg,31.140000 L,1038 km
FLR,TXL,2019-10-18,€8.000000,305.430000 kg,31.140000 L,1038 km
TXL,AMS,2019-10-18,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-10-25,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,SKG,2019-10-26,€9.000000,353.000000 kg,33.670000 L,1574 km
SKG,AKT,2019-10-27,€8.000000,332.830000 kg,33.350000 L,1149 km
AKT,TXL,2019-11-08,€16.000000,681.180000 kg,61.910000 L,2584 km
TXL,OPO,2019-11-08,€14.000000,574.690000 kg,53.020000 L,2134 km
OPO,TXL,2019-11-23,€14.000000,574.690000 kg,53.020000 L,2134 km
TXL,AUH,2019-11-29,€30.000000,1266.710000 kg,111.140000 L,4698 km
AUH,CPH,2019-11-30,€31.000000,1336.070000 kg,117.030000 L,4891 km
CPH,TXL,2019-12-13,€5.000000,94.000000 kg,14.680000 L,406 km
TXL,CIA,2019-12-13,€9.000000,357.980000 kg,35.390000 L,1250 km
CIA,TXL,2019-12-14,€9.000000,357.980000 kg,35.390000 L,1250 km
