DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CDG,LIL,2019-03-01,€5.000000,40.000000 kg,10.120000 L,225 km
LIL,LBG,2019-03-02,€5.000000,47.760000 kg,12.090000 L,234 km
LBG,CDG,2019-03-14,€5.000000,12.070000 kg,3.050000 L,59 km
CDG,DXB,2019-03-14,€37.000000,1570.000000 kg,137.210000 L,5285 km
DXB,NTE,2019-03-22,€37.000000,1579.550000 kg,137.690000 L,5569 km
NTE,CDG,2019-03-29,€5.000000,99.000000 kg,15.180000 L,419 km
CDG,LEU,2019-03-29,€6.000000,231.820000 kg,25.230000 L,796 km
LEU,CDG,2019-04-02,€6.000000,231.820000 kg,25.230000 L,796 km
CDG,SIR,2019-04-02,€5.000000,152.170000 kg,19.710000 L,524 km
SIR,CDG,2019-04-15,€5.000000,152.170000 kg,19.710000 L,524 km
CDG,BUR,2019-04-15,€68.000000,2936.060000 kg,252.650000 L,9136 km
BUR,LYN,2019-04-20,€72.000000,3088.540000 kg,265.550000 L,9522 km
LYN,CDG,2019-05-22,€5.000000,127.120000 kg,18.170000 L,457 km
CDG,IBZ,2019-05-22,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,SWF,2019-05-25,€42.000000,1825.130000 kg,158.530000 L,6253 km
SWF,BCN,2019-05-30,€42.000000,1799.050000 kg,156.320000 L,6181 km
BCN,IBZ,2019-05-31,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,LBG,2019-06-01,€8.000000,339.910000 kg,33.930000 L,1177 km
LBG,IBZ,2019-06-03,€8.000000,339.910000 kg,33.930000 L,1177 km
IBZ,CDG,2019-06-07,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,IBZ,2019-06-07,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,CDG,2019-06-14,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,IBZ,2019-06-14,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,CDG,2019-06-21,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,IBZ,2019-06-21,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,VIY,2019-06-22,€8.000000,334.260000 kg,33.470000 L,1154 km
VIY,CDG,2019-06-28,€5.000000,17.960000 kg,4.540000 L,88 km
CDG,IBZ,2019-06-28,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,CDG,2019-07-05,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,IBZ,2019-07-05,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,CDG,2019-07-12,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,IBZ,2019-07-12,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,IST,2019-07-13,€15.000000,634.310000 kg,58.000000 L,2386 km
IST,BCN,2019-07-18,€13.000000,534.000000 kg,48.860000 L,2279 km
BCN,IBZ,2019-07-19,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,BCN,2019-07-21,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,CDG,2019-07-26,€6.000000,219.000000 kg,23.030000 L,908 km
CDG,IBZ,2019-07-26,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,CDG,2019-08-02,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,IBZ,2019-08-02,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,MPL,2019-08-03,€5.000000,179.230000 kg,21.520000 L,618 km
MPL,CDG,2019-08-07,€5.000000,166.000000 kg,19.240000 L,662 km
CDG,LEI,2019-08-07,€10.000000,410.950000 kg,39.680000 L,1465 km
LEI,IBZ,2019-08-09,€5.000000,125.280000 kg,18.060000 L,453 km
IBZ,CDG,2019-08-16,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,AMS,2019-08-16,€5.000000,111.000000 kg,15.940000 L,448 km
AMS,CDG,2019-08-19,€5.000000,111.000000 kg,15.940000 L,448 km
CDG,SUI,2019-08-19,€19.000000,798.000000 kg,71.670000 L,3078 km
SUI,IBZ,2019-08-23,€21.000000,873.120000 kg,77.940000 L,3395 km
IBZ,LCY,2019-08-25,€11.000000,452.000000 kg,43.540000 L,1457 km
LCY,CDG,2019-08-30,€5.000000,94.010000 kg,16.190000 L,379 km
CDG,IBZ,2019-08-30,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,BCN,2019-08-31,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,CDG,2019-09-13,€6.000000,219.000000 kg,23.030000 L,908 km
CDG,IBZ,2019-09-13,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,CDG,2019-09-16,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,IBZ,2019-09-16,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,CDG,2019-09-19,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,SKG,2019-09-19,€12.000000,503.000000 kg,46.830000 L,1909 km
SKG,IBZ,2019-09-20,€12.000000,519.810000 kg,48.500000 L,1906 km
IBZ,CDG,2019-09-25,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,LBG,2019-09-25,€5.000000,12.070000 kg,3.050000 L,59 km
LBG,IBZ,2019-09-27,€8.000000,339.910000 kg,33.930000 L,1177 km
IBZ,DUB,2019-09-28,€12.000000,486.660000 kg,45.810000 L,1771 km
DUB,CDG,2019-10-11,€8.000000,338.000000 kg,36.450000 L,834 km
CDG,LCY,2019-10-11,€5.000000,94.010000 kg,16.190000 L,379 km
LCY,GVA,2019-10-12,€7.000000,266.000000 kg,29.110000 L,782 km
GVA,CDG,2019-10-19,€5.000000,105.000000 kg,14.930000 L,457 km
CDG,AMS,2019-10-19,€5.000000,111.000000 kg,15.940000 L,448 km
AMS,CDG,2019-11-09,€5.000000,111.000000 kg,15.940000 L,448 km
CDG,ZRH,2019-11-09,€5.000000,161.000000 kg,20.750000 L,525 km
ZRH,CDG,2019-11-16,€5.000000,161.000000 kg,20.750000 L,525 km
CDG,LBG,2019-11-16,€5.000000,12.070000 kg,3.050000 L,59 km
LBG,CDG,2019-11-22,€5.000000,12.070000 kg,3.050000 L,59 km
CDG,BRU,2019-11-22,€5.000000,53.000000 kg,13.410000 L,303 km
BRU,GVA,2019-11-23,€5.000000,187.000000 kg,22.780000 L,581 km
GVA,CDG,2019-11-29,€5.000000,105.000000 kg,14.930000 L,457 km
CDG,PMI,2019-11-29,€8.000000,321.670000 kg,32.450000 L,1103 km
PMI,BCN,2019-11-30,€5.000000,43.000000 kg,10.880000 L,250 km
BCN,CDG,2019-12-12,€6.000000,219.000000 kg,23.030000 L,908 km
CDG,SDV,2019-12-12,€20.000000,855.890000 kg,76.500000 L,3323 km
SDV,CDG,2019-12-27,€20.000000,855.890000 kg,76.500000 L,3323 km
CDG,PNH,2019-12-27,€76.000000,3268.380000 kg,280.780000 L,9978 km
PNH,CDG,2019-12-31,€76.000000,3268.380000 kg,280.780000 L,9978 km
