DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LTQ,OBF,2019-01-18,€6.000000,233.270000 kg,25.350000 L,801 km
OBF,LGG,2019-01-19,€5.000000,160.020000 kg,20.240000 L,552 km
LGG,LTQ,2019-02-06,€5.000000,72.860000 kg,14.920000 L,329 km
LTQ,CGN,2019-02-06,€5.000000,120.460000 kg,17.770000 L,442 km
CGN,OPO,2019-02-08,€9.000000,390.000000 kg,36.960000 L,1664 km
OPO,LTQ,2019-02-15,€9.000000,384.340000 kg,37.530000 L,1357 km
LTQ,LYN,2019-02-15,€5.000000,184.500000 kg,21.870000 L,637 km
LYN,LPL,2019-02-16,€8.000000,312.260000 kg,31.690000 L,1065 km
LPL,LTQ,2019-02-23,€5.000000,140.430000 kg,18.960000 L,489 km
LTQ,TBS,2019-02-23,€21.000000,889.300000 kg,79.290000 L,3464 km
TBS,NAP,2019-03-02,€16.000000,681.550000 kg,61.940000 L,2585 km
NAP,LTQ,2019-03-09,€10.000000,420.000000 kg,40.420000 L,1502 km
LTQ,TAR,2019-03-09,€11.000000,468.010000 kg,44.300000 L,1696 km
TAR,LTQ,2019-03-30,€11.000000,468.010000 kg,44.300000 L,1696 km
LTQ,STR,2019-03-30,€5.000000,183.480000 kg,21.810000 L,633 km
STR,LTQ,2019-04-12,€5.000000,183.480000 kg,21.810000 L,633 km
LTQ,GDN,2019-04-12,€9.000000,364.350000 kg,35.910000 L,1276 km
GDN,LTQ,2019-04-26,€9.000000,364.350000 kg,35.910000 L,1276 km
LTQ,AMS,2019-04-26,€5.000000,80.370000 kg,15.370000 L,347 km
AMS,LTQ,2019-04-30,€5.000000,80.370000 kg,15.370000 L,347 km
LTQ,DUS,2019-04-30,€5.000000,111.240000 kg,17.220000 L,420 km
DUS,LTQ,2019-05-10,€5.000000,111.240000 kg,17.220000 L,420 km
LTQ,VIE,2019-05-10,€8.000000,331.860000 kg,33.280000 L,1145 km
VIE,DUB,2019-05-11,€11.000000,476.870000 kg,45.020000 L,1732 km
DUB,LTQ,2019-05-17,€5.000000,196.580000 kg,22.680000 L,679 km
LTQ,ENC,2019-05-17,€5.000000,193.900000 kg,22.500000 L,669 km
ENC,CMR,2019-05-18,€5.000000,60.840000 kg,13.810000 L,285 km
CMR,LTQ,2019-05-24,€5.000000,158.640000 kg,20.150000 L,547 km
LTQ,TXL,2019-05-24,€7.000000,261.060000 kg,27.570000 L,889 km
TXL,LTQ,2019-06-07,€7.000000,261.060000 kg,27.570000 L,889 km
LTQ,ZAG,2019-06-07,€9.000000,356.710000 kg,35.290000 L,1245 km
ZAG,MST,2019-06-08,€7.000000,296.910000 kg,30.450000 L,1003 km
MST,LTQ,2019-06-14,€5.000000,80.200000 kg,15.360000 L,347 km
LTQ,TLS,2019-06-14,€6.000000,238.590000 kg,25.770000 L,818 km
TLS,LTQ,2019-06-21,€6.000000,238.590000 kg,25.770000 L,818 km
LTQ,IST,2019-06-21,€15.000000,630.580000 kg,57.690000 L,2370 km
IST,SOF,2019-06-28,€5.000000,132.000000 kg,16.700000 L,536 km
SOF,LTQ,2019-07-04,€13.000000,523.180000 kg,48.770000 L,1919 km
LTQ,ORY,2019-07-04,€5.000000,53.160000 kg,13.100000 L,257 km
ORY,LTQ,2019-07-13,€5.000000,53.160000 kg,13.100000 L,257 km
LTQ,NTE,2019-07-13,€5.000000,141.880000 kg,19.050000 L,492 km
NTE,LTQ,2019-07-18,€5.000000,141.880000 kg,19.050000 L,492 km
LTQ,BCN,2019-07-18,€8.000000,314.930000 kg,31.910000 L,1076 km
BCN,LTQ,2019-07-21,€8.000000,314.930000 kg,31.910000 L,1076 km
LTQ,BCN,2019-07-21,€8.000000,314.930000 kg,31.910000 L,1076 km
BCN,LTQ,2019-07-27,€8.000000,314.930000 kg,31.910000 L,1076 km
LTQ,GLA,2019-07-27,€6.000000,221.280000 kg,24.390000 L,763 km
GLA,LTQ,2019-08-09,€6.000000,221.280000 kg,24.390000 L,763 km
LTQ,SVO,2019-08-09,€16.000000,656.760000 kg,59.870000 L,2481 km
SVO,LTQ,2019-08-16,€16.000000,656.760000 kg,59.870000 L,2481 km
LTQ,TXL,2019-08-16,€7.000000,261.060000 kg,27.570000 L,889 km
TXL,LTQ,2019-08-30,€7.000000,261.060000 kg,27.570000 L,889 km
LTQ,YHU,2019-08-30,€36.000000,1542.870000 kg,134.580000 L,5467 km
YHU,LBG,2019-09-06,€37.000000,1589.870000 kg,138.560000 L,5598 km
LBG,LTQ,2019-09-13,€5.000000,47.460000 kg,12.010000 L,232 km
LTQ,RTM,2019-09-13,€5.000000,65.560000 kg,14.250000 L,302 km
RTM,MLA,2019-09-14,€13.000000,545.170000 kg,50.550000 L,2009 km
MLA,LTQ,2019-09-22,€13.000000,538.160000 kg,49.980000 L,1980 km
LTQ,LIS,2019-09-22,€11.000000,445.980000 kg,42.520000 L,1607 km
LIS,LTQ,2019-10-05,€11.000000,445.980000 kg,42.520000 L,1607 km
LTQ,CLO,2019-10-05,€66.000000,2858.370000 kg,246.070000 L,8939 km
CLO,BOD,2019-10-12,€64.000000,2757.600000 kg,237.530000 L,8683 km
BOD,LTQ,2019-10-17,€5.000000,204.420000 kg,23.210000 L,706 km
LTQ,AMS,2019-10-17,€5.000000,80.370000 kg,15.370000 L,347 km
AMS,LTQ,2019-10-25,€5.000000,80.370000 kg,15.370000 L,347 km
LTQ,MRS,2019-10-25,€6.000000,259.450000 kg,27.450000 L,884 km
MRS,BCN,2019-10-26,€5.000000,101.000000 kg,15.940000 L,401 km
BCN,LTQ,2019-11-01,€8.000000,314.930000 kg,31.910000 L,1076 km
LTQ,TXL,2019-11-01,€7.000000,261.060000 kg,27.570000 L,889 km
TXL,OBF,2019-11-02,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,LTQ,2019-11-08,€6.000000,233.270000 kg,25.350000 L,801 km
LTQ,CPH,2019-11-08,€7.000000,289.470000 kg,29.850000 L,979 km
CPH,ENS,2019-11-09,€5.000000,167.810000 kg,20.760000 L,579 km
ENS,LTQ,2019-11-23,€5.000000,130.240000 kg,18.350000 L,465 km
LTQ,LIN,2019-11-23,€6.000000,249.230000 kg,26.630000 L,852 km
LIN,LTQ,2019-11-30,€6.000000,249.230000 kg,26.630000 L,852 km
LTQ,LCY,2019-11-30,€5.000000,41.910000 kg,10.610000 L,205 km
LCY,LTQ,2019-12-05,€5.000000,41.910000 kg,10.610000 L,205 km
LTQ,MAD,2019-12-05,€9.000000,355.010000 kg,35.150000 L,1238 km
MAD,HAM,2019-12-06,€15.000000,609.000000 kg,56.960000 L,1827 km
HAM,LTQ,2019-12-13,€5.000000,208.000000 kg,23.440000 L,718 km
LTQ,SKU,2019-12-13,€14.000000,605.540000 kg,55.600000 L,2264 km
SKU,LTQ,2019-12-26,€14.000000,605.540000 kg,55.600000 L,2264 km
