DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
EIL,LGA,2019-01-15,€34.000000,1470.090000 kg,128.400000 L,5264 km
LGA,EIL,2019-02-15,€34.000000,1470.090000 kg,128.400000 L,5264 km
EIL,LGA,2019-02-15,€34.000000,1470.090000 kg,128.400000 L,5264 km
LGA,EIL,2019-03-01,€34.000000,1470.090000 kg,128.400000 L,5264 km
EIL,LGA,2019-03-01,€34.000000,1470.090000 kg,128.400000 L,5264 km
LGA,YHU,2019-03-02,€5.000000,179.030000 kg,21.510000 L,618 km
YHU,EIL,2019-03-08,€30.000000,1293.930000 kg,113.450000 L,4774 km
EIL,LGA,2019-03-08,€34.000000,1470.090000 kg,128.400000 L,5264 km
LGA,EIL,2019-03-16,€34.000000,1470.090000 kg,128.400000 L,5264 km
EIL,LGA,2019-03-16,€34.000000,1470.090000 kg,128.400000 L,5264 km
LGA,EIL,2019-03-19,€34.000000,1470.090000 kg,128.400000 L,5264 km
EIL,LGA,2019-03-19,€34.000000,1470.090000 kg,128.400000 L,5264 km
LGA,EIL,2019-03-30,€34.000000,1470.090000 kg,128.400000 L,5264 km
EIL,TXL,2019-03-30,€48.000000,2051.450000 kg,177.730000 L,6884 km
TXL,LGA,2019-04-13,€44.000000,1885.170000 kg,163.630000 L,6421 km
LGA,EIL,2019-04-19,€34.000000,1470.090000 kg,128.400000 L,5264 km
EIL,LGA,2019-04-19,€34.000000,1470.090000 kg,128.400000 L,5264 km
LGA,EIL,2019-04-30,€34.000000,1470.090000 kg,128.400000 L,5264 km
EIL,LGA,2019-04-30,€34.000000,1470.090000 kg,128.400000 L,5264 km
LGA,EIL,2019-05-17,€34.000000,1470.090000 kg,128.400000 L,5264 km
EIL,NKX,2019-05-17,€25.000000,1082.300000 kg,95.490000 L,4184 km
NKX,EIL,2019-06-09,€25.000000,1082.300000 kg,95.490000 L,4184 km
EIL,DCA,2019-06-09,€35.000000,1481.040000 kg,129.330000 L,5295 km
DCA,EIL,2019-06-21,€35.000000,1481.040000 kg,129.330000 L,5295 km
EIL,LGA,2019-06-21,€34.000000,1470.090000 kg,128.400000 L,5264 km
LGA,EIL,2019-06-29,€34.000000,1470.090000 kg,128.400000 L,5264 km
EIL,SFO,2019-06-29,€21.000000,899.700000 kg,80.160000 L,3508 km
SFO,EIL,2019-07-23,€21.000000,899.700000 kg,80.160000 L,3508 km
EIL,LGA,2019-07-23,€34.000000,1470.090000 kg,128.400000 L,5264 km
LGA,EIL,2019-08-02,€34.000000,1470.090000 kg,128.400000 L,5264 km
EIL,LGA,2019-08-02,€34.000000,1470.090000 kg,128.400000 L,5264 km
LGA,EIL,2019-08-09,€34.000000,1470.090000 kg,128.400000 L,5264 km
EIL,LGA,2019-08-09,€34.000000,1470.090000 kg,128.400000 L,5264 km
LGA,PIT,2019-08-10,€5.000000,173.000000 kg,21.010000 L,586 km
PIT,EIL,2019-08-17,€32.000000,1378.410000 kg,120.620000 L,5009 km
EIL,LGA,2019-08-17,€34.000000,1470.090000 kg,128.400000 L,5264 km
LGA,EIL,2019-08-31,€34.000000,1470.090000 kg,128.400000 L,5264 km
EIL,LGA,2019-08-31,€34.000000,1470.090000 kg,128.400000 L,5264 km
LGA,EIL,2019-09-05,€34.000000,1470.090000 kg,128.400000 L,5264 km
EIL,LGA,2019-09-05,€34.000000,1470.090000 kg,128.400000 L,5264 km
LGA,EIL,2019-09-27,€34.000000,1470.090000 kg,128.400000 L,5264 km
EIL,LGA,2019-09-27,€34.000000,1470.090000 kg,128.400000 L,5264 km
LGA,EIL,2019-10-18,€34.000000,1470.090000 kg,128.400000 L,5264 km
EIL,LGA,2019-10-18,€34.000000,1470.090000 kg,128.400000 L,5264 km
LGA,SAN,2019-10-19,€24.000000,1009.930000 kg,89.360000 L,3974 km
SAN,EIL,2019-10-31,€25.000000,1081.290000 kg,95.410000 L,4181 km
EIL,BOS,2019-10-31,€34.000000,1464.810000 kg,127.950000 L,5250 km
BOS,EIL,2019-11-19,€34.000000,1464.810000 kg,127.950000 L,5250 km
EIL,LGA,2019-11-19,€34.000000,1470.090000 kg,128.400000 L,5264 km
LGA,EIL,2019-11-29,€34.000000,1470.090000 kg,128.400000 L,5264 km
EIL,NAP,2019-11-29,€59.000000,2559.260000 kg,220.740000 L,8181 km
NAP,GRQ,2019-11-30,€10.000000,427.310000 kg,41.010000 L,1531 km
GRQ,LGA,2019-12-13,€40.000000,1727.610000 kg,150.250000 L,5982 km
LGA,EIL,2019-12-31,€34.000000,1470.090000 kg,128.400000 L,5264 km
