DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,BLQ,2019-01-01,€7.000000,282.180000 kg,29.270000 L,956 km
BLQ,TXL,2019-01-05,€7.000000,282.180000 kg,29.270000 L,956 km
TBS,ORY,2019-01-19,€21.000000,877.550000 kg,78.310000 L,3414 km
ORY,TXL,2019-01-25,€5.000000,202.000000 kg,21.010000 L,927 km
TXL,MHP,2019-01-25,€8.000000,305.730000 kg,31.160000 L,1039 km
MHP,BRI,2019-01-26,€11.000000,470.690000 kg,44.520000 L,1707 km
BRI,TXL,2019-02-01,€8.000000,312.000000 kg,30.370000 L,1346 km
BRU,TXL,2019-03-01,€6.000000,243.000000 kg,27.840000 L,682 km
TXL,SKU,2019-03-08,€12.000000,494.010000 kg,46.410000 L,1801 km
SKU,AMS,2019-03-09,€14.000000,586.280000 kg,53.990000 L,2183 km
AMS,TXL,2019-03-15,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,MRS,2019-03-15,€9.000000,352.810000 kg,34.970000 L,1230 km
MRS,SAY,2019-03-16,€5.000000,156.170000 kg,19.980000 L,538 km
SAY,TXL,2019-03-22,€8.000000,320.270000 kg,32.340000 L,1098 km
TXL,WRO,2019-03-22,€5.000000,80.760000 kg,15.400000 L,348 km
WRO,BEY,2019-03-23,€16.000000,658.650000 kg,60.030000 L,2489 km
BEY,TXL,2019-04-10,€17.000000,727.990000 kg,65.820000 L,2782 km
TXL,BOD,2019-04-13,€10.000000,391.890000 kg,38.140000 L,1388 km
BOD,LYN,2019-04-14,€5.000000,146.160000 kg,19.310000 L,504 km
LYN,TXL,2019-04-20,€7.000000,301.750000 kg,30.840000 L,1023 km
TXL,LHR,2019-04-27,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-04-30,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,MAD,2019-04-30,€11.000000,455.000000 kg,42.530000 L,1901 km
MAD,LED,2019-05-01,€19.000000,818.000000 kg,73.160000 L,3214 km
LED,AMS,2019-05-03,€13.000000,525.000000 kg,49.110000 L,1822 km
AMS,TXL,2019-05-11,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,MAN,2019-05-11,€8.000000,319.570000 kg,32.280000 L,1095 km
MAN,TXL,2019-06-14,€8.000000,319.570000 kg,32.280000 L,1095 km
TXL,OHD,2019-06-14,€10.000000,403.810000 kg,39.100000 L,1436 km
TXL,BCN,2019-06-21,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,TXL,2019-06-29,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,LHR,2019-06-29,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-07-05,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,CDG,2019-07-05,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,TXL,2019-07-12,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,TBS,2019-07-12,€17.000000,705.980000 kg,63.980000 L,2689 km
TBS,TXL,2019-08-03,€17.000000,705.980000 kg,63.980000 L,2689 km
TXL,BES,2019-09-07,€9.000000,390.160000 kg,38.000000 L,1381 km
BES,TXL,2019-09-13,€9.000000,390.160000 kg,38.000000 L,1381 km
TXL,LED,2019-09-13,€8.000000,316.000000 kg,30.880000 L,1366 km
LED,TXL,2019-09-20,€8.000000,316.000000 kg,30.880000 L,1366 km
TXL,TBS,2019-09-20,€17.000000,705.980000 kg,63.980000 L,2689 km
TBS,SXB,2019-09-28,€19.000000,786.310000 kg,70.690000 L,3028 km
SXB,TXL,2019-10-04,€5.000000,188.640000 kg,22.150000 L,651 km
TXL,VIY,2019-10-04,€7.000000,276.840000 kg,28.840000 L,939 km
VIY,SKG,2019-10-05,€13.000000,524.840000 kg,48.900000 L,1926 km
SKG,TXL,2019-10-11,€9.000000,353.000000 kg,33.670000 L,1574 km
TXL,LGA,2019-10-11,€44.000000,1885.170000 kg,163.630000 L,6421 km
LGA,POZ,2019-10-18,€46.000000,1964.480000 kg,170.350000 L,6642 km
POZ,AMS,2019-10-20,€6.000000,254.350000 kg,27.040000 L,868 km
AMS,TXL,2019-10-25,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,OVD,2019-10-25,€12.000000,495.920000 kg,46.560000 L,1809 km
OVD,TXL,2019-10-30,€12.000000,495.920000 kg,46.560000 L,1809 km
TXL,LEJ,2019-10-30,€5.000000,39.430000 kg,9.980000 L,193 km
LEJ,BEG,2019-11-01,€7.000000,294.430000 kg,30.250000 L,995 km
BEG,CIA,2019-11-02,€6.000000,232.560000 kg,25.290000 L,799 km
CIA,TXL,2019-11-09,€9.000000,357.980000 kg,35.390000 L,1250 km
TXL,AMS,2019-11-09,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-11-22,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,LHR,2019-11-22,€7.000000,263.000000 kg,27.080000 L,995 km
AMS,TXL,2019-11-30,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,VIE,2019-12-07,€5.000000,147.000000 kg,17.720000 L,596 km
VIE,TXL,2019-12-13,€5.000000,147.000000 kg,17.720000 L,596 km
TXL,GVA,2019-12-13,€7.000000,272.420000 kg,28.480000 L,925 km
GVA,TXL,2019-12-28,€7.000000,272.420000 kg,28.480000 L,925 km
