DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LDY,MAN,2019-01-26,€5.000000,111.080000 kg,17.210000 L,419 km
MAN,LDY,2019-03-29,€5.000000,111.080000 kg,17.210000 L,419 km
LDY,LCY,2019-03-29,€5.000000,194.040000 kg,22.510000 L,670 km
LCY,LDY,2019-04-21,€5.000000,194.040000 kg,22.510000 L,670 km
LDY,NQY,2019-04-21,€5.000000,169.850000 kg,20.890000 L,586 km
NQY,LDY,2019-05-18,€5.000000,169.850000 kg,20.890000 L,586 km
LDY,SEN,2019-05-18,€5.000000,202.470000 kg,23.070000 L,699 km
SEN,LDY,2019-06-08,€5.000000,202.470000 kg,23.070000 L,699 km
LDY,MAN,2019-06-08,€5.000000,111.080000 kg,17.210000 L,419 km
MAN,LDY,2019-07-12,€5.000000,111.080000 kg,17.210000 L,419 km
LDY,NHT,2019-07-12,€5.000000,186.730000 kg,22.020000 L,644 km
NHT,LDY,2019-07-27,€5.000000,186.730000 kg,22.020000 L,644 km
LDY,BHX,2019-07-27,€5.000000,147.350000 kg,19.390000 L,508 km
BHX,LDY,2019-08-22,€5.000000,147.350000 kg,19.390000 L,508 km
LDY,LPL,2019-08-22,€5.000000,97.590000 kg,16.400000 L,388 km
LPL,LDY,2019-08-31,€5.000000,97.590000 kg,16.400000 L,388 km
LDY,LGA,2019-08-31,€33.000000,1397.650000 kg,122.250000 L,5063 km
LGA,LDY,2019-09-21,€33.000000,1397.650000 kg,122.250000 L,5063 km
LDY,MAN,2019-09-21,€5.000000,111.080000 kg,17.210000 L,419 km
MAN,LDY,2019-09-28,€5.000000,111.080000 kg,17.210000 L,419 km
LDY,DUB,2019-09-28,€5.000000,48.800000 kg,12.350000 L,239 km
DUB,LDY,2019-10-26,€5.000000,48.800000 kg,12.350000 L,239 km
LDY,EDI,2019-10-26,€5.000000,67.400000 kg,14.420000 L,309 km
EDI,LDY,2019-11-01,€5.000000,67.400000 kg,14.420000 L,309 km
LDY,BRS,2019-11-01,€5.000000,160.470000 kg,20.270000 L,553 km
BRS,MAN,2019-11-02,€5.000000,62.000000 kg,15.690000 L,272 km
MAN,LDY,2019-11-16,€5.000000,111.080000 kg,17.210000 L,419 km
LDY,LPL,2019-11-16,€5.000000,97.590000 kg,16.400000 L,388 km
LPL,LDY,2019-12-14,€5.000000,97.590000 kg,16.400000 L,388 km
LDY,LBA,2019-12-14,€5.000000,115.090000 kg,17.450000 L,429 km
LBA,LDY,2019-12-31,€5.000000,115.090000 kg,17.450000 L,429 km
