DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
BRS,TXL,2019-01-04,€8.000000,334.010000 kg,33.450000 L,1153 km
TXL,CIA,2019-01-05,€9.000000,357.980000 kg,35.390000 L,1250 km
CIA,BRS,2019-01-11,€11.000000,446.240000 kg,42.540000 L,1608 km
BRS,WRO,2019-01-11,€10.000000,399.110000 kg,38.720000 L,1417 km
WRO,AMS,2019-01-12,€7.000000,264.190000 kg,27.830000 L,899 km
AMS,BRS,2019-01-19,€5.000000,206.000000 kg,25.310000 L,571 km
BRS,BES,2019-01-19,€5.000000,102.020000 kg,16.670000 L,398 km
BES,BRS,2019-01-25,€5.000000,102.020000 kg,16.670000 L,398 km
BRS,SVO,2019-01-25,€17.000000,709.920000 kg,64.310000 L,2705 km
SVO,SKG,2019-01-26,€13.000000,558.960000 kg,51.710000 L,2067 km
SKG,BRS,2019-02-02,€15.000000,627.880000 kg,57.460000 L,2358 km
BRS,ANR,2019-02-02,€5.000000,159.530000 kg,20.210000 L,550 km
ANR,BRS,2019-02-09,€5.000000,159.530000 kg,20.210000 L,550 km
BRS,LED,2019-02-09,€15.000000,610.920000 kg,56.050000 L,2287 km
LED,BRS,2019-02-15,€15.000000,610.920000 kg,56.050000 L,2287 km
BRS,ORK,2019-02-15,€5.000000,44.000000 kg,11.130000 L,451 km
ORK,RTM,2019-02-16,€7.000000,275.880000 kg,28.760000 L,936 km
RTM,BRS,2019-03-08,€5.000000,158.670000 kg,20.150000 L,547 km
BRS,KWL,2019-03-08,€70.000000,3019.210000 kg,259.690000 L,9346 km
TLS,BRS,2019-03-23,€7.000000,285.750000 kg,29.550000 L,967 km
BRS,AMS,2019-03-23,€5.000000,206.000000 kg,25.310000 L,571 km
AMS,BRS,2019-03-30,€5.000000,206.000000 kg,25.310000 L,571 km
BRS,MAD,2019-03-30,€9.000000,361.950000 kg,35.710000 L,1267 km
MAD,BRS,2019-04-05,€9.000000,361.950000 kg,35.710000 L,1267 km
BRS,AMS,2019-04-05,€5.000000,206.000000 kg,25.310000 L,571 km
AMS,MXP,2019-04-06,€6.000000,249.000000 kg,26.830000 L,847 km
MXP,BRS,2019-04-13,€8.000000,322.590000 kg,32.530000 L,1107 km
LHR,BRS,2019-04-30,€5.000000,42.240000 kg,10.690000 L,207 km
BRS,TXL,2019-04-30,€8.000000,334.010000 kg,33.450000 L,1153 km
TXL,BRS,2019-05-03,€8.000000,334.010000 kg,33.450000 L,1153 km
BRS,PRN,2019-05-03,€13.000000,564.690000 kg,52.180000 L,2091 km
PRN,CIA,2019-05-04,€6.000000,227.070000 kg,24.850000 L,781 km
CIA,BRS,2019-05-10,€11.000000,446.240000 kg,42.540000 L,1608 km
BRS,GVA,2019-05-10,€7.000000,268.770000 kg,28.190000 L,913 km
GVA,BRS,2019-05-17,€7.000000,268.770000 kg,28.190000 L,913 km
BRS,CIA,2019-05-17,€11.000000,446.240000 kg,42.540000 L,1608 km
CIA,BRS,2019-05-24,€11.000000,446.240000 kg,42.540000 L,1608 km
BRS,LGA,2019-05-24,€36.000000,1535.350000 kg,133.940000 L,5446 km
LGA,ORY,2019-05-29,€39.000000,1694.110000 kg,147.410000 L,5888 km
ORY,BRS,2019-06-08,€5.000000,150.740000 kg,19.620000 L,519 km
BRS,TAR,2019-06-08,€13.000000,543.710000 kg,50.430000 L,2003 km
TAR,BRS,2019-06-15,€13.000000,543.710000 kg,50.430000 L,2003 km
BRS,LHR,2019-06-15,€5.000000,42.240000 kg,10.690000 L,207 km
LHR,BRS,2019-06-22,€5.000000,42.240000 kg,10.690000 L,207 km
BRS,TXL,2019-06-22,€8.000000,334.010000 kg,33.450000 L,1153 km
TXL,BRS,2019-06-28,€8.000000,334.010000 kg,33.450000 L,1153 km
BRS,LYN,2019-06-28,€7.000000,262.590000 kg,27.700000 L,894 km
LYN,AMS,2019-06-30,€6.000000,227.540000 kg,24.890000 L,783 km
AMS,BRS,2019-07-13,€5.000000,206.000000 kg,25.310000 L,571 km
BRS,CRL,2019-07-13,€5.000000,163.190000 kg,20.450000 L,563 km
CRL,BRS,2019-07-19,€5.000000,163.190000 kg,20.450000 L,563 km
BRS,BCN,2019-07-19,€9.000000,353.030000 kg,34.990000 L,1230 km
BCN,BRS,2019-07-27,€9.000000,353.030000 kg,34.990000 L,1230 km
BRS,MAD,2019-07-27,€9.000000,361.950000 kg,35.710000 L,1267 km
MAD,BRS,2019-08-02,€9.000000,361.950000 kg,35.710000 L,1267 km
BRS,SFO,2019-08-02,€63.000000,2714.310000 kg,233.870000 L,8574 km
SFO,PHX,2019-08-09,€7.000000,267.000000 kg,27.080000 L,1096 km
PHX,YHU,2019-08-16,€21.000000,901.490000 kg,80.310000 L,3515 km
YHU,BOS,2019-08-17,€5.000000,152.480000 kg,19.730000 L,525 km
BOS,BRS,2019-09-06,€33.000000,1428.420000 kg,124.870000 L,5148 km
BRS,TXL,2019-09-06,€8.000000,334.010000 kg,33.450000 L,1153 km
TXL,BRS,2019-09-20,€8.000000,334.010000 kg,33.450000 L,1153 km
IST,BRU,2019-09-28,€13.000000,549.000000 kg,50.370000 L,2215 km
BRU,BRS,2019-10-05,€5.000000,174.000000 kg,21.770000 L,554 km
BRS,BEG,2019-10-05,€12.000000,521.590000 kg,48.640000 L,1913 km
BEG,BRS,2019-10-09,€12.000000,521.590000 kg,48.640000 L,1913 km
BRS,BRU,2019-10-09,€5.000000,174.000000 kg,21.770000 L,554 km
BRU,CDG,2019-10-11,€5.000000,53.000000 kg,13.410000 L,303 km
CDG,GNB,2019-10-12,€5.000000,156.840000 kg,20.030000 L,541 km
GNB,BRS,2019-10-17,€7.000000,290.060000 kg,29.900000 L,981 km
BRS,AMS,2019-10-17,€5.000000,206.000000 kg,25.310000 L,571 km
AMS,BRS,2019-10-25,€5.000000,206.000000 kg,25.310000 L,571 km
BRS,EOH,2019-10-25,€61.000000,2622.890000 kg,226.130000 L,8342 km
EOH,PEI,2019-11-03,€5.000000,42.590000 kg,10.780000 L,208 km
PEI,GLA,2019-11-08,€62.000000,2676.980000 kg,230.710000 L,8479 km
GLA,BRS,2019-11-16,€5.000000,162.580000 kg,20.410000 L,561 km
BRS,LHR,2019-11-16,€5.000000,42.240000 kg,10.690000 L,207 km
LHR,BRS,2019-11-29,€5.000000,42.240000 kg,10.690000 L,207 km
BRS,EDI,2019-11-29,€5.000000,162.300000 kg,20.390000 L,560 km
EDI,BRS,2019-12-07,€5.000000,162.300000 kg,20.390000 L,560 km
BRS,VIC,2019-12-07,€9.000000,365.360000 kg,35.990000 L,1280 km
VIC,BRS,2019-12-13,€9.000000,365.360000 kg,35.990000 L,1280 km
BRS,MAD,2019-12-13,€9.000000,361.950000 kg,35.710000 L,1267 km
MAD,NAP,2019-12-14,€10.000000,432.000000 kg,41.260000 L,1552 km
NAP,BRS,2019-12-20,€12.000000,493.370000 kg,46.350000 L,1799 km
BRS,OBF,2019-12-20,€8.000000,325.680000 kg,32.780000 L,1120 km
OBF,LYN,2019-12-21,€5.000000,173.450000 kg,21.130000 L,598 km
LYN,BRS,2019-12-27,€7.000000,262.590000 kg,27.700000 L,894 km
BRS,LEJ,2019-12-27,€8.000000,320.540000 kg,32.360000 L,1099 km
LEJ,BRS,2019-12-30,€8.000000,320.540000 kg,32.360000 L,1099 km
BRS,TXL,2019-12-30,€8.000000,334.010000 kg,33.450000 L,1153 km
TXL,BRS,2019-12-31,€8.000000,334.010000 kg,33.450000 L,1153 km
