DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
NYO,TBS,2019-01-11,€17.000000,721.790000 kg,65.300000 L,2756 km
TBS,OTP,2019-01-12,€11.000000,442.630000 kg,42.250000 L,1593 km
OTP,NYO,2019-01-19,€12.000000,483.390000 kg,45.550000 L,1758 km
NYO,TXL,2019-01-19,€6.000000,226.000000 kg,24.770000 L,778 km
TXL,NYO,2019-02-02,€6.000000,226.000000 kg,24.770000 L,778 km
NYO,BCN,2019-02-02,€14.000000,603.400000 kg,55.420000 L,2255 km
BCN,NYO,2019-02-09,€14.000000,603.400000 kg,55.420000 L,2255 km
MAD,NYO,2019-02-22,€16.000000,672.150000 kg,61.160000 L,2546 km
NYO,ARN,2019-02-22,€5.000000,33.080000 kg,8.370000 L,162 km
ARN,NYO,2019-03-01,€5.000000,33.080000 kg,8.370000 L,162 km
NYO,SXF,2019-03-01,€6.000000,226.930000 kg,24.840000 L,781 km
SXF,BRU,2019-03-02,€5.000000,201.770000 kg,23.030000 L,697 km
BRU,NYO,2019-04-05,€9.000000,353.200000 kg,35.010000 L,1231 km
NYO,LHR,2019-04-05,€10.000000,398.810000 kg,38.700000 L,1416 km
LHR,NYO,2019-04-11,€10.000000,398.810000 kg,38.700000 L,1416 km
NYO,ARN,2019-04-11,€5.000000,33.080000 kg,8.370000 L,162 km
ARN,NYO,2019-04-26,€5.000000,33.080000 kg,8.370000 L,162 km
NYO,TXL,2019-04-26,€6.000000,226.000000 kg,24.770000 L,778 km
TXL,MLH,2019-04-27,€5.000000,212.410000 kg,23.740000 L,734 km
MLH,NYO,2019-05-04,€10.000000,402.510000 kg,39.000000 L,1431 km
NYO,RTM,2019-05-04,€8.000000,331.390000 kg,33.240000 L,1143 km
RTM,NYO,2019-05-08,€8.000000,331.390000 kg,33.240000 L,1143 km
NYO,PRN,2019-05-08,€12.000000,513.010000 kg,47.940000 L,1878 km
PRN,NYO,2019-05-14,€12.000000,513.010000 kg,47.940000 L,1878 km
NYO,MAD,2019-05-14,€16.000000,672.150000 kg,61.160000 L,2546 km
MAD,NYO,2019-05-25,€16.000000,672.150000 kg,61.160000 L,2546 km
NYO,ORY,2019-05-25,€10.000000,423.730000 kg,40.720000 L,1517 km
ORY,NYO,2019-06-15,€10.000000,423.730000 kg,40.720000 L,1517 km
NYO,ARN,2019-06-15,€5.000000,33.080000 kg,8.370000 L,162 km
ARN,TXL,2019-06-16,€6.000000,233.000000 kg,24.810000 L,888 km
TXL,NYO,2019-06-28,€6.000000,226.000000 kg,24.770000 L,778 km
NYO,KRW,2019-06-28,€20.000000,857.310000 kg,76.620000 L,3329 km
KRW,ARN,2019-07-04,€20.000000,854.430000 kg,76.380000 L,3316 km
ARN,NYO,2019-07-13,€5.000000,33.080000 kg,8.370000 L,162 km
NYO,CIA,2019-07-13,€13.000000,535.300000 kg,49.750000 L,1968 km
CIA,NYO,2019-08-14,€13.000000,535.300000 kg,49.750000 L,1968 km
NYO,MLA,2019-08-14,€16.000000,686.780000 kg,62.380000 L,2607 km
MLA,NYO,2019-08-22,€16.000000,686.780000 kg,62.380000 L,2607 km
NYO,OPO,2019-08-22,€17.000000,708.580000 kg,64.200000 L,2700 km
OPO,NYO,2019-09-05,€17.000000,708.580000 kg,64.200000 L,2700 km
NYO,WAW,2019-09-05,€6.000000,242.310000 kg,26.070000 L,830 km
WAW,NYO,2019-09-21,€6.000000,242.310000 kg,26.070000 L,830 km
NYO,CPH,2019-09-21,€5.000000,139.240000 kg,18.890000 L,486 km
CPH,NYO,2019-09-25,€5.000000,139.240000 kg,18.890000 L,486 km
NYO,CDG,2019-09-25,€10.000000,415.250000 kg,40.030000 L,1482 km
CDG,ARN,2019-09-27,€10.000000,416.000000 kg,39.490000 L,1589 km
ARN,IEV,2019-09-28,€9.000000,382.450000 kg,37.370000 L,1350 km
IEV,NYO,2019-10-05,€9.000000,376.230000 kg,36.870000 L,1324 km
NYO,LED,2019-10-05,€6.000000,234.460000 kg,25.440000 L,805 km
LED,NYO,2019-10-18,€6.000000,234.460000 kg,25.440000 L,805 km
NYO,PRG,2019-10-18,€8.000000,304.390000 kg,31.050000 L,1033 km
PRG,VKO,2019-10-19,€11.000000,467.590000 kg,44.270000 L,1694 km
VKO,NYO,2019-10-25,€9.000000,375.870000 kg,36.840000 L,1323 km
NYO,MHP,2019-10-25,€7.000000,269.140000 kg,28.220000 L,915 km
MHP,NYO,2019-10-31,€7.000000,269.140000 kg,28.220000 L,915 km
NYO,WAW,2019-10-31,€6.000000,242.310000 kg,26.070000 L,830 km
WAW,NYO,2019-11-15,€6.000000,242.310000 kg,26.070000 L,830 km
NYO,ARN,2019-11-15,€5.000000,33.080000 kg,8.370000 L,162 km
ARN,NTE,2019-11-16,€13.000000,527.560000 kg,49.120000 L,1937 km
NTE,NYO,2019-11-21,€12.000000,501.580000 kg,47.020000 L,1832 km
NYO,BOG,2019-11-21,€73.000000,3151.760000 kg,270.910000 L,9682 km
BOG,CLO,2019-11-22,€5.000000,57.000000 kg,14.430000 L,328 km
CLO,AMS,2019-11-29,€68.000000,2952.900000 kg,254.070000 L,9178 km
