DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
JFK,YHU,2019-01-25,€5.000000,183.460000 kg,21.800000 L,633 km
YHU,JFK,2019-02-09,€5.000000,183.460000 kg,21.800000 L,633 km
JFK,LCY,2019-02-09,€37.000000,1601.180000 kg,139.520000 L,5630 km
LCY,YTZ,2019-02-15,€39.000000,1656.220000 kg,144.200000 L,5783 km
YTZ,JFK,2019-03-22,€5.000000,179.910000 kg,21.570000 L,621 km
JFK,LGA,2019-03-22,€5.000000,13.550000 kg,3.430000 L,66 km
LGA,JFK,2019-04-06,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,TAR,2019-04-06,€52.000000,2233.860000 kg,193.190000 L,7356 km
TAR,ORY,2019-04-12,€10.000000,428.680000 kg,41.120000 L,1537 km
ORY,TXL,2019-04-13,€5.000000,202.000000 kg,21.010000 L,927 km
TXL,LCY,2019-04-26,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,ESS,2019-05-04,€5.000000,153.860000 kg,19.830000 L,530 km
ESS,AMS,2019-05-18,€5.000000,47.400000 kg,12.000000 L,232 km
AMS,DET,2019-05-25,€43.000000,1858.270000 kg,161.340000 L,6346 km
DET,JFK,2019-06-15,€6.000000,246.250000 kg,26.390000 L,842 km
JFK,LGA,2019-06-15,€5.000000,13.550000 kg,3.430000 L,66 km
LGA,JFK,2019-06-26,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,YEO,2019-06-26,€36.000000,1542.860000 kg,134.580000 L,5467 km
YEO,TXL,2019-06-29,€8.000000,335.080000 kg,33.540000 L,1158 km
TXL,LWR,2019-07-12,€5.000000,162.810000 kg,20.430000 L,561 km
LWR,AMS,2019-07-14,€5.000000,34.780000 kg,8.800000 L,170 km
AMS,MEX,2019-07-17,€90.000000,3910.000000 kg,336.450000 L,9251 km
MEX,JFK,2019-08-04,€18.000000,773.000000 kg,68.860000 L,3414 km
JFK,LGA,2019-08-04,€5.000000,13.550000 kg,3.430000 L,66 km
LGA,JFK,2019-08-17,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,MEX,2019-08-17,€18.000000,773.000000 kg,68.860000 L,3414 km
MEX,JFK,2019-08-30,€18.000000,773.000000 kg,68.860000 L,3414 km
JFK,GCJ,2019-08-30,€110.000000,4743.590000 kg,405.820000 L,12936 km
GCJ,RTM,2019-09-06,€67.000000,2912.680000 kg,250.670000 L,9076 km
RTM,JFK,2019-10-03,€40.000000,1697.360000 kg,147.690000 L,5897 km
JFK,CGH,2019-10-03,€55.000000,2383.520000 kg,205.860000 L,7736 km
LGA,JFK,2019-10-19,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,YHU,2019-10-19,€5.000000,183.460000 kg,21.800000 L,633 km
YHU,JFK,2019-10-25,€5.000000,183.460000 kg,21.800000 L,633 km
JFK,SSN,2019-10-25,€89.000000,3842.450000 kg,329.440000 L,11132 km
SSN,QPG,2019-10-26,€30.000000,1274.830000 kg,111.830000 L,4720 km
QPG,SHA,2019-11-02,€23.000000,984.460000 kg,87.240000 L,3866 km
SHA,HAN,2019-11-08,€13.000000,538.490000 kg,50.010000 L,1981 km
HAN,DPS,2019-11-09,€21.000000,901.920000 kg,80.340000 L,3517 km
JFK,DCA,2019-12-13,€5.000000,112.000000 kg,18.220000 L,391 km
DCA,JFK,2019-12-14,€5.000000,112.000000 kg,18.220000 L,391 km
