DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
BOS,SAN,2019-03-02,€26.000000,1091.600000 kg,96.280000 L,4210 km
SAN,BOS,2019-04-19,€26.000000,1091.600000 kg,96.280000 L,4210 km
BOS,LGA,2019-04-19,€5.000000,78.000000 kg,14.680000 L,346 km
LGA,BOS,2019-06-07,€5.000000,78.000000 kg,14.680000 L,346 km
BOS,PSP,2019-06-07,€25.000000,1050.850000 kg,92.830000 L,4097 km
PSP,BOS,2019-07-19,€25.000000,1050.850000 kg,92.830000 L,4097 km
BOS,ANR,2019-07-19,€37.000000,1600.740000 kg,139.490000 L,5628 km
ANR,BOS,2019-08-11,€37.000000,1600.740000 kg,139.490000 L,5628 km
BOS,IBZ,2019-08-11,€40.000000,1729.060000 kg,150.380000 L,5986 km
IBZ,BOS,2019-09-08,€40.000000,1729.060000 kg,150.380000 L,5986 km
BOS,IBZ,2019-09-08,€40.000000,1729.060000 kg,150.380000 L,5986 km
IBZ,BOS,2019-10-25,€40.000000,1729.060000 kg,150.380000 L,5986 km
BOS,DXB,2019-10-25,€85.000000,3657.740000 kg,313.780000 L,10762 km
DXB,BOS,2019-10-27,€85.000000,3657.740000 kg,313.780000 L,10762 km
