DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
KBP,DUS,2019-01-12,€14.000000,579.000000 kg,54.430000 L,1738 km
DUS,KBP,2019-01-17,€14.000000,579.000000 kg,54.430000 L,1738 km
KBP,BCN,2019-01-17,€18.000000,746.000000 kg,67.840000 L,2478 km
BCN,KBP,2019-02-01,€18.000000,746.000000 kg,67.840000 L,2478 km
KBP,LHR,2019-02-01,€12.000000,521.000000 kg,47.840000 L,2232 km
LHR,LAS,2019-02-05,€59.000000,2534.000000 kg,218.480000 L,8443 km
LAS,SFO,2019-02-07,€5.000000,184.000000 kg,20.750000 L,715 km
SFO,GOI,2019-02-21,€121.000000,5242.640000 kg,448.120000 L,13936 km
GOI,KBP,2019-03-16,€36.000000,1556.390000 kg,135.720000 L,5505 km
KBP,VIE,2019-03-16,€9.000000,351.000000 kg,35.180000 L,1115 km
VIE,KBP,2019-03-22,€9.000000,351.000000 kg,35.180000 L,1115 km
KBP,ZRH,2019-03-22,€12.000000,512.000000 kg,48.350000 L,1708 km
ZRH,LCA,2019-03-23,€14.000000,602.000000 kg,54.680000 L,2554 km
LCA,KBP,2019-04-05,€13.000000,529.000000 kg,49.620000 L,1782 km
KBP,TXL,2019-04-05,€9.000000,387.000000 kg,37.970000 L,1289 km
TXL,KBP,2019-04-12,€9.000000,387.000000 kg,37.970000 L,1289 km
KBP,DXB,2019-04-12,€24.000000,1014.000000 kg,90.120000 L,3536 km
GSE,KBP,2019-04-27,€10.000000,427.100000 kg,40.990000 L,1530 km
KBP,LHR,2019-04-27,€12.000000,521.000000 kg,47.840000 L,2232 km
LHR,KBP,2019-04-30,€12.000000,521.000000 kg,47.840000 L,2232 km
KBP,BCN,2019-04-30,€18.000000,746.000000 kg,67.840000 L,2478 km
BCN,KBP,2019-05-03,€18.000000,746.000000 kg,67.840000 L,2478 km
KBP,TBS,2019-05-03,€12.000000,491.000000 kg,47.080000 L,1497 km
TBS,HND,2019-05-11,€57.000000,2446.750000 kg,211.210000 L,7896 km
HND,IEV,2019-05-25,€60.000000,2598.760000 kg,224.080000 L,8281 km
IEV,KBP,2019-05-31,€5.000000,16.810000 kg,4.250000 L,82 km
KBP,SKU,2019-05-31,€10.000000,400.060000 kg,38.800000 L,1421 km
SKU,AMS,2019-06-01,€14.000000,586.280000 kg,53.990000 L,2183 km
AMS,KBP,2019-06-08,€13.000000,560.000000 kg,52.400000 L,1867 km
KBP,GVA,2019-06-08,€14.000000,579.000000 kg,53.920000 L,1928 km
GVA,TXL,2019-06-09,€7.000000,272.420000 kg,28.480000 L,925 km
TXL,KBP,2019-06-13,€9.000000,387.000000 kg,37.970000 L,1289 km
KBP,CDG,2019-06-13,€13.000000,562.000000 kg,51.890000 L,2081 km
CDG,KBP,2019-06-16,€13.000000,562.000000 kg,51.890000 L,2081 km
KBP,BRU,2019-06-16,€14.000000,571.000000 kg,53.160000 L,1902 km
BRU,KBP,2019-06-21,€14.000000,571.000000 kg,53.160000 L,1902 km
KBP,FRA,2019-06-21,€11.000000,437.000000 kg,41.510000 L,1632 km
FRA,KBP,2019-06-30,€11.000000,437.000000 kg,41.510000 L,1632 km
KBP,AMS,2019-06-30,€13.000000,560.000000 kg,52.400000 L,1867 km
AMS,KBP,2019-07-03,€13.000000,560.000000 kg,52.400000 L,1867 km
KBP,LGA,2019-07-03,€54.000000,2324.530000 kg,200.860000 L,7586 km
LGA,BUR,2019-07-04,€24.000000,1017.390000 kg,89.980000 L,4003 km
BUR,DBV,2019-07-10,€81.000000,3510.700000 kg,301.320000 L,10467 km
DBV,KBP,2019-07-13,€10.000000,411.000000 kg,40.000000 L,1342 km
KBP,BEY,2019-07-13,€13.000000,524.740000 kg,48.900000 L,1926 km
BEY,BCN,2019-07-20,€19.000000,801.100000 kg,71.920000 L,3091 km
BCN,KBP,2019-07-26,€18.000000,746.000000 kg,67.840000 L,2478 km
KBP,OHD,2019-07-26,€9.000000,379.420000 kg,37.130000 L,1337 km
OHD,NUE,2019-07-27,€9.000000,356.150000 kg,35.240000 L,1243 km
NUE,KBP,2019-07-30,€10.000000,412.170000 kg,39.780000 L,1470 km
KBP,IBZ,2019-07-30,€17.000000,707.200000 kg,64.080000 L,2694 km
IBZ,OHD,2019-08-01,€11.000000,473.880000 kg,44.780000 L,1720 km
OHD,KBP,2019-08-09,€9.000000,379.420000 kg,37.130000 L,1337 km
KBP,RHO,2019-08-09,€11.000000,449.370000 kg,42.790000 L,1620 km
RHO,AMS,2019-08-10,€16.000000,684.160000 kg,62.160000 L,2596 km
AMS,KBP,2019-08-22,€13.000000,560.000000 kg,52.400000 L,1867 km
KBP,RLG,2019-08-22,€9.000000,389.620000 kg,37.950000 L,1379 km
RLG,KBP,2019-08-30,€9.000000,389.620000 kg,37.950000 L,1379 km
KBP,HND,2019-08-30,€60.000000,2589.980000 kg,223.340000 L,8259 km
HND,BCN,2019-09-06,€82.000000,3528.920000 kg,302.870000 L,10504 km
BCN,LYN,2019-09-07,€5.000000,172.150000 kg,21.050000 L,594 km
LYN,KBP,2019-09-13,€13.000000,552.330000 kg,51.150000 L,2039 km
KBP,AUH,2019-09-13,€25.000000,1049.000000 kg,93.160000 L,3581 km
AUH,IBZ,2019-09-15,€34.000000,1463.030000 kg,127.800000 L,5245 km
IBZ,KBP,2019-09-21,€17.000000,707.200000 kg,64.080000 L,2694 km
KBP,CWB,2019-09-21,€94.000000,4056.740000 kg,347.600000 L,11561 km
CWB,SAN,2019-09-28,€73.000000,3169.450000 kg,272.410000 L,9727 km
SAN,PRG,2019-10-04,€73.000000,3163.200000 kg,271.880000 L,9711 km
PRG,VIY,2019-10-05,€7.000000,279.430000 kg,29.050000 L,947 km
VIY,IBZ,2019-10-06,€8.000000,334.260000 kg,33.470000 L,1154 km
IBZ,KBP,2019-10-14,€17.000000,707.200000 kg,64.080000 L,2694 km
KBP,SDV,2019-10-14,€14.000000,567.770000 kg,52.440000 L,2104 km
SDV,AMS,2019-10-18,€20.000000,862.250000 kg,77.030000 L,3349 km
AMS,KBP,2019-11-01,€13.000000,560.000000 kg,52.400000 L,1867 km
KBP,NVT,2019-11-01,€95.000000,4099.540000 kg,351.230000 L,11647 km
NVT,HHR,2019-11-09,€76.000000,3300.980000 kg,283.550000 L,10048 km
HHR,PHX,2019-11-13,€5.000000,184.620000 kg,21.880000 L,637 km
PHX,UIO,2019-11-15,€34.000000,1437.760000 kg,125.660000 L,5174 km
UIO,ANS,2019-11-16,€11.000000,457.800000 kg,43.480000 L,1655 km
ANS,MLA,2019-11-23,€85.000000,3660.740000 kg,314.040000 L,10768 km
MLA,KBP,2019-11-29,€14.000000,574.690000 kg,53.020000 L,2134 km
KBP,AMS,2019-11-29,€13.000000,560.000000 kg,52.400000 L,1867 km
AMS,MUC,2019-11-30,€6.000000,226.000000 kg,25.560000 L,713 km
MUC,KBP,2019-12-06,€9.000000,380.000000 kg,36.700000 L,1445 km
KBP,ABQ,2019-12-06,€73.000000,3160.870000 kg,271.680000 L,9705 km
ABQ,STR,2019-12-14,€65.000000,2807.430000 kg,241.750000 L,8810 km
STR,KBP,2019-12-21,€11.000000,450.320000 kg,42.870000 L,1624 km
KBP,IST,2019-12-21,€7.000000,300.000000 kg,30.370000 L,1103 km
IST,LCA,2019-12-23,€6.000000,258.440000 kg,27.360000 L,881 km
LCA,KBP,2019-12-26,€13.000000,529.000000 kg,49.620000 L,1782 km
KBP,BTS,2019-12-26,€8.000000,314.030000 kg,31.830000 L,1073 km
BTS,WAW,2019-12-27,€5.000000,79.000000 kg,20.000000 L,567 km
WAW,ANR,2019-12-28,€8.000000,343.370000 kg,34.210000 L,1191 km
ANR,BEG,2019-12-29,€10.000000,403.030000 kg,39.040000 L,1433 km
BEG,KBP,2019-12-31,€9.000000,353.000000 kg,35.940000 L,1051 km
