DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
ARN,BOS,2019-01-31,€41.000000,1753.880000 kg,152.480000 L,6055 km
BOS,LGA,2019-02-01,€5.000000,78.000000 kg,14.680000 L,346 km
LGA,YHU,2019-02-02,€5.000000,179.030000 kg,21.510000 L,618 km
YHU,DCA,2019-02-06,€6.000000,251.090000 kg,26.780000 L,857 km
DCA,PDX,2019-02-09,€23.000000,975.380000 kg,86.480000 L,3828 km
PDX,DEN,2019-02-13,€11.000000,442.000000 kg,41.770000 L,1640 km
DEN,LHR,2019-02-16,€49.000000,2102.000000 kg,181.770000 L,7543 km
LHR,HHR,2019-02-22,€65.000000,2810.980000 kg,242.050000 L,8819 km
HHR,MEL,2019-03-01,€117.000000,5046.510000 kg,431.500000 L,13543 km
MEL,SYD,2019-03-08,€112.000000,4837.000000 kg,414.430000 L,11694 km
ARN,MHG,2019-04-06,€9.000000,378.170000 kg,37.030000 L,1332 km
MHG,ARN,2019-04-12,€9.000000,378.170000 kg,37.030000 L,1332 km
ARN,HEM,2019-04-13,€5.000000,124.990000 kg,18.040000 L,452 km
HEM,ARN,2019-04-18,€5.000000,124.990000 kg,18.040000 L,452 km
ARN,MAN,2019-04-18,€11.000000,456.000000 kg,43.790000 L,1463 km
MAN,OSL,2019-04-19,€8.000000,319.000000 kg,31.890000 L,1159 km
OSL,ARN,2019-04-27,€5.000000,108.000000 kg,15.940000 L,433 km
ARN,LBA,2019-04-27,€10.000000,394.740000 kg,38.370000 L,1399 km
LBA,MMX,2019-04-29,€7.000000,303.840000 kg,31.010000 L,1031 km
MMX,ARN,2019-05-04,€5.000000,173.000000 kg,21.260000 L,583 km
ARN,MXP,2019-05-04,€11.000000,467.000000 kg,44.050000 L,1724 km
MXP,ARN,2019-05-10,€11.000000,467.000000 kg,44.050000 L,1724 km
ARN,BCN,2019-05-10,€12.000000,510.000000 kg,46.580000 L,2364 km
BCN,ARN,2019-05-17,€12.000000,510.000000 kg,46.580000 L,2364 km
ARN,SXF,2019-05-17,€7.000000,261.670000 kg,27.620000 L,891 km
SXF,ARN,2019-05-31,€7.000000,261.670000 kg,27.620000 L,891 km
ARN,BOD,2019-05-31,€14.000000,570.680000 kg,52.690000 L,2117 km
BOD,ORY,2019-06-01,€5.000000,130.000000 kg,16.450000 L,541 km
ORY,ARN,2019-06-05,€11.000000,450.450000 kg,42.880000 L,1625 km
ARN,AMS,2019-06-07,€9.000000,356.000000 kg,35.440000 L,1202 km
AMS,ARN,2019-06-13,€9.000000,356.000000 kg,35.440000 L,1202 km
ARN,HRG,2019-06-13,€23.000000,983.670000 kg,87.170000 L,3863 km
HRG,ESS,2019-06-21,€21.000000,912.630000 kg,81.240000 L,3562 km
ESS,FRA,2019-06-22,€5.000000,48.850000 kg,12.360000 L,239 km
FRA,ARN,2019-07-20,€8.000000,342.000000 kg,33.670000 L,1273 km
ARN,BCN,2019-07-20,€12.000000,510.000000 kg,46.580000 L,2364 km
BCN,ARN,2019-07-26,€12.000000,510.000000 kg,46.580000 L,2364 km
ARN,LIS,2019-07-26,€17.000000,711.000000 kg,63.790000 L,3047 km
LIS,ARN,2019-08-07,€17.000000,711.000000 kg,63.790000 L,3047 km
ARN,SOU,2019-08-07,€11.000000,443.990000 kg,42.360000 L,1599 km
SOU,ARN,2019-08-11,€11.000000,443.990000 kg,42.360000 L,1599 km
ARN,HEM,2019-08-11,€5.000000,124.990000 kg,18.040000 L,452 km
HEM,ARN,2019-08-14,€5.000000,124.990000 kg,18.040000 L,452 km
ARN,GDN,2019-08-14,€5.000000,184.210000 kg,21.850000 L,636 km
GDN,LHR,2019-08-16,€9.000000,386.170000 kg,37.680000 L,1365 km
LHR,ARN,2019-08-25,€10.000000,403.000000 kg,38.730000 L,1511 km
ARN,SXF,2019-08-25,€7.000000,261.670000 kg,27.620000 L,891 km
SXF,IBZ,2019-08-26,€12.000000,501.760000 kg,47.040000 L,1833 km
IBZ,ARN,2019-08-31,€16.000000,694.780000 kg,63.050000 L,2641 km
ARN,CGN,2019-08-31,€9.000000,355.270000 kg,35.170000 L,1239 km
CGN,ARN,2019-09-21,€9.000000,355.270000 kg,35.170000 L,1239 km
ARN,MAN,2019-09-21,€11.000000,456.000000 kg,43.790000 L,1463 km
MAN,ARN,2019-10-03,€11.000000,456.000000 kg,43.790000 L,1463 km
ARN,CDG,2019-10-03,€10.000000,416.000000 kg,39.490000 L,1589 km
CDG,ARN,2019-10-11,€10.000000,416.000000 kg,39.490000 L,1589 km
ARN,CAI,2019-10-11,€21.000000,896.450000 kg,79.890000 L,3494 km
CAI,AMS,2019-10-19,€21.000000,904.000000 kg,80.750000 L,3335 km
AMS,ARN,2019-11-08,€9.000000,356.000000 kg,35.440000 L,1202 km
ARN,TRD,2019-11-09,€5.000000,187.000000 kg,22.270000 L,610 km
TRD,ARN,2019-11-15,€5.000000,187.000000 kg,22.270000 L,610 km
ARN,IST,2019-11-15,€13.000000,540.000000 kg,49.620000 L,2258 km
IST,RTM,2019-11-22,€14.000000,599.440000 kg,55.090000 L,2238 km
RTM,MXP,2019-11-23,€6.000000,239.220000 kg,25.830000 L,820 km
MXP,ARN,2019-11-29,€11.000000,467.000000 kg,44.050000 L,1724 km
