DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LTQ,IBZ,2019-01-01,€9.000000,381.730000 kg,37.320000 L,1347 km
IBZ,LTQ,2019-02-08,€9.000000,381.730000 kg,37.320000 L,1347 km
LTQ,AVN,2019-02-08,€6.000000,241.360000 kg,26.000000 L,827 km
AVN,LTQ,2019-02-15,€6.000000,241.360000 kg,26.000000 L,827 km
LTQ,TXL,2019-02-15,€7.000000,261.060000 kg,27.570000 L,889 km
TXL,LTQ,2019-02-21,€7.000000,261.060000 kg,27.570000 L,889 km
LTQ,CIA,2019-02-21,€9.000000,374.240000 kg,36.710000 L,1316 km
CIA,LCY,2019-02-23,€10.000000,412.640000 kg,39.820000 L,1472 km
LCY,LTQ,2019-03-09,€5.000000,41.910000 kg,10.610000 L,205 km
BCN,LCY,2019-03-16,€9.000000,374.000000 kg,37.210000 L,1194 km
LCY,LTQ,2019-03-21,€5.000000,41.910000 kg,10.610000 L,205 km
LTQ,FLR,2019-03-21,€8.000000,318.270000 kg,32.180000 L,1090 km
FLR,ORY,2019-03-23,€7.000000,270.990000 kg,28.370000 L,920 km
ORY,LTQ,2019-04-12,€5.000000,53.160000 kg,13.100000 L,257 km
LTQ,OBF,2019-04-12,€6.000000,233.270000 kg,25.350000 L,801 km
OBF,POZ,2019-04-13,€5.000000,194.870000 kg,22.570000 L,673 km
POZ,LTQ,2019-04-19,€8.000000,326.660000 kg,32.860000 L,1124 km
LTQ,GRQ,2019-04-19,€5.000000,144.510000 kg,19.210000 L,498 km
GRQ,AMS,2019-04-20,€5.000000,41.130000 kg,10.410000 L,201 km
AMS,SXF,2019-04-21,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,LTQ,2019-04-30,€7.000000,265.020000 kg,27.890000 L,901 km
LTQ,SHA,2019-04-30,€69.000000,2974.190000 kg,255.870000 L,9232 km
SHA,HND,2019-05-01,€14.000000,571.000000 kg,53.410000 L,1825 km
URO,LTQ,2019-06-08,€5.000000,36.700000 kg,9.290000 L,179 km
