DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CWB,TXL,2019-05-18,€83.000000,3590.570000 kg,308.090000 L,10627 km
TXL,GRZ,2019-05-24,€5.000000,161.000000 kg,18.480000 L,687 km
GRZ,AMS,2019-05-25,€7.000000,300.570000 kg,30.740000 L,1018 km
AMS,LYN,2019-05-31,€6.000000,227.540000 kg,24.890000 L,783 km
LYN,LIS,2019-06-01,€10.000000,405.100000 kg,39.210000 L,1441 km
LIS,CWB,2019-08-16,€61.000000,2615.930000 kg,225.540000 L,8325 km
CWB,AEP,2019-08-16,€10.000000,393.910000 kg,38.300000 L,1396 km
AEP,CWB,2019-08-31,€10.000000,393.910000 kg,38.300000 L,1396 km
CWB,SDU,2019-08-31,€5.000000,155.000000 kg,17.460000 L,724 km
SDU,CWB,2019-10-12,€5.000000,155.000000 kg,17.460000 L,724 km
CWB,BRU,2019-10-12,€76.000000,3298.460000 kg,283.330000 L,10042 km
BRU,CLJ,2019-10-18,€10.000000,425.560000 kg,40.870000 L,1524 km
CLJ,OBF,2019-10-19,€7.000000,294.050000 kg,30.220000 L,993 km
OBF,GVA,2019-10-25,€5.000000,141.560000 kg,19.030000 L,491 km
GVA,CWB,2019-10-26,€74.000000,3190.060000 kg,274.150000 L,9779 km
