DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TYS,LGA,2019-01-20,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-01-24,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,LGA,2019-01-24,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-02-01,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,LGA,2019-02-01,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-02-09,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,LGA,2019-02-09,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-02-23,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,LGA,2019-02-23,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-03-08,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,LGA,2019-03-08,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-03-15,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,DCA,2019-03-15,€6.000000,250.000000 kg,27.840000 L,750 km
DCA,TYS,2019-03-23,€6.000000,250.000000 kg,27.840000 L,750 km
TYS,LGA,2019-03-23,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-04-24,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,LGA,2019-04-24,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-05-17,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,LGA,2019-05-17,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-06-15,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,LGA,2019-06-15,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-06-21,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,LGA,2019-06-21,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-06-30,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,LGA,2019-06-30,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-07-06,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,LGA,2019-07-06,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-07-12,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,ALB,2019-07-12,€8.000000,345.710000 kg,34.400000 L,1201 km
ALB,TYS,2019-07-19,€8.000000,345.710000 kg,34.400000 L,1201 km
TYS,LGA,2019-07-19,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-08-17,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,JFK,2019-08-17,€8.000000,314.890000 kg,31.900000 L,1076 km
JFK,TYS,2019-08-23,€8.000000,314.890000 kg,31.900000 L,1076 km
TYS,LGA,2019-08-23,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-09-21,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,HND,2019-09-21,€87.000000,3742.650000 kg,320.980000 L,10932 km
HND,LGA,2019-10-04,€86.000000,3737.590000 kg,320.550000 L,10922 km
LGA,TYS,2019-11-01,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,LGA,2019-11-01,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-11-09,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,LGA,2019-11-09,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-11-16,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,LGA,2019-11-16,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-11-29,€9.000000,365.000000 kg,36.960000 L,1090 km
TYS,LGA,2019-11-29,€9.000000,365.000000 kg,36.960000 L,1090 km
LGA,TYS,2019-12-27,€9.000000,365.000000 kg,36.960000 L,1090 km
