DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CGN,ORY,2019-01-19,€5.000000,131.340000 kg,18.420000 L,467 km
ORY,CGN,2019-02-01,€5.000000,131.340000 kg,18.420000 L,467 km
CGN,ZRH,2019-02-01,€5.000000,121.170000 kg,17.810000 L,443 km
ZRH,CGN,2019-02-15,€5.000000,121.170000 kg,17.810000 L,443 km
CGN,PRG,2019-02-15,€5.000000,59.000000 kg,14.930000 L,559 km
PRG,TXL,2019-02-16,€5.000000,38.000000 kg,9.620000 L,330 km
TXL,CGN,2019-03-01,€5.000000,124.000000 kg,16.200000 L,513 km
CGN,DCA,2019-03-01,€44.000000,1898.430000 kg,164.750000 L,6458 km
DCA,LGA,2019-03-02,€5.000000,91.000000 kg,14.680000 L,393 km
LGA,CGN,2019-03-09,€41.000000,1774.820000 kg,154.260000 L,6113 km
CGN,RTM,2019-03-15,€5.000000,57.560000 kg,13.510000 L,273 km
RTM,CGN,2019-03-22,€5.000000,57.560000 kg,13.510000 L,273 km
CGN,GRQ,2019-03-22,€5.000000,66.200000 kg,14.310000 L,305 km
GRQ,CGN,2019-04-13,€5.000000,66.200000 kg,14.310000 L,305 km
CGN,BRN,2019-04-13,€5.000000,140.960000 kg,18.990000 L,490 km
BRN,CGN,2019-05-04,€5.000000,140.960000 kg,18.990000 L,490 km
CGN,AMS,2019-05-04,€5.000000,61.000000 kg,15.440000 L,280 km
AMS,TXL,2019-05-05,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,CGN,2019-06-14,€5.000000,124.000000 kg,16.200000 L,513 km
CGN,TXL,2019-06-14,€5.000000,124.000000 kg,16.200000 L,513 km
TXL,CGN,2019-06-29,€5.000000,124.000000 kg,16.200000 L,513 km
CGN,GRO,2019-06-29,€8.000000,319.570000 kg,32.280000 L,1095 km
GRO,CGN,2019-07-19,€8.000000,319.570000 kg,32.280000 L,1095 km
CGN,BCN,2019-07-19,€8.000000,341.420000 kg,34.050000 L,1183 km
BCN,CGN,2019-08-01,€8.000000,341.420000 kg,34.050000 L,1183 km
CGN,IBZ,2019-08-01,€8.000000,313.000000 kg,30.120000 L,1455 km
IBZ,CGN,2019-08-23,€8.000000,313.000000 kg,30.120000 L,1455 km
CGN,BCN,2019-08-23,€8.000000,341.420000 kg,34.050000 L,1183 km
BCN,CGN,2019-08-31,€8.000000,341.420000 kg,34.050000 L,1183 km
CGN,OTP,2019-08-31,€11.000000,451.590000 kg,42.970000 L,1629 km
OTP,CGN,2019-09-14,€11.000000,451.590000 kg,42.970000 L,1629 km
CGN,EIN,2019-09-14,€5.000000,38.630000 kg,9.770000 L,189 km
EIN,CGN,2019-09-19,€5.000000,38.630000 kg,9.770000 L,189 km
CGN,GRU,2019-09-19,€75.000000,3221.700000 kg,276.830000 L,9859 km
GRU,CWB,2019-09-21,€5.000000,71.000000 kg,11.130000 L,409 km
CWB,CGN,2019-10-02,€78.000000,3366.370000 kg,289.090000 L,10178 km
CGN,RTM,2019-10-25,€5.000000,57.560000 kg,13.510000 L,273 km
RTM,TXL,2019-10-27,€5.000000,190.410000 kg,22.270000 L,657 km
TXL,CGN,2019-11-02,€5.000000,124.000000 kg,16.200000 L,513 km
CGN,FRA,2019-11-02,€5.000000,38.080000 kg,9.640000 L,186 km
FRA,CGN,2019-11-09,€5.000000,38.080000 kg,9.640000 L,186 km
CGN,BIQ,2019-11-09,€8.000000,321.270000 kg,32.420000 L,1102 km
BIQ,CGN,2019-11-29,€8.000000,321.270000 kg,32.420000 L,1102 km
CGN,SFO,2019-11-29,€67.000000,2911.900000 kg,250.600000 L,9074 km
SFO,HHR,2019-11-30,€5.000000,173.730000 kg,21.150000 L,599 km
HHR,LGA,2019-12-07,€24.000000,1022.030000 kg,90.380000 L,4016 km
LGA,CGN,2019-12-21,€41.000000,1774.820000 kg,154.260000 L,6113 km
