DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
BRS,LJU,2019-02-01,€10.000000,405.570000 kg,39.250000 L,1443 km
LJU,MAN,2019-02-02,€10.000000,419.000000 kg,40.250000 L,1482 km
MAN,BRS,2019-02-08,€5.000000,62.000000 kg,15.690000 L,272 km
BRS,BEG,2019-02-08,€12.000000,521.590000 kg,48.640000 L,1913 km
BEG,BRS,2019-02-15,€12.000000,521.590000 kg,48.640000 L,1913 km
BRS,BHX,2019-02-15,€5.000000,37.950000 kg,9.600000 L,186 km
BHX,BRS,2019-02-22,€5.000000,37.950000 kg,9.600000 L,186 km
BRS,BRU,2019-02-22,€5.000000,174.000000 kg,21.770000 L,554 km
BRU,BRS,2019-03-01,€5.000000,174.000000 kg,21.770000 L,554 km
BRS,EDI,2019-03-01,€5.000000,162.300000 kg,20.390000 L,560 km
EDI,BRS,2019-03-02,€5.000000,162.300000 kg,20.390000 L,560 km
DEN,BOG,2019-03-24,€32.000000,1384.090000 kg,121.100000 L,5025 km
BOG,LHR,2019-03-29,€63.000000,2698.260000 kg,232.510000 L,8533 km
LHR,BRS,2019-03-30,€5.000000,42.240000 kg,10.690000 L,207 km
HND,SZX,2019-04-12,€18.000000,765.040000 kg,68.910000 L,2938 km
SXF,FRL,2019-04-20,€7.000000,289.800000 kg,29.880000 L,980 km
FRL,LHR,2019-04-21,€9.000000,366.280000 kg,36.060000 L,1284 km
LHR,BRS,2019-05-11,€5.000000,42.240000 kg,10.690000 L,207 km
BRS,LHR,2019-05-11,€5.000000,42.240000 kg,10.690000 L,207 km
LHR,BRS,2019-05-17,€5.000000,42.240000 kg,10.690000 L,207 km
BRS,MHG,2019-05-17,€6.000000,255.220000 kg,27.110000 L,870 km
MHG,GLA,2019-05-18,€8.000000,336.330000 kg,33.640000 L,1163 km
GLA,BRS,2019-05-23,€5.000000,162.580000 kg,20.410000 L,561 km
BRS,MEX,2019-05-23,€65.000000,2811.020000 kg,242.060000 L,8819 km
MEX,SFO,2019-05-24,€18.000000,780.000000 kg,69.870000 L,3077 km
SFO,DET,2019-05-25,€21.000000,878.690000 kg,78.400000 L,3419 km
DET,BCN,2019-05-30,€47.000000,2015.410000 kg,174.680000 L,6783 km
BCN,LYN,2019-06-01,€5.000000,172.150000 kg,21.050000 L,594 km
LYN,BRS,2019-06-07,€7.000000,262.590000 kg,27.700000 L,894 km
BRS,LHR,2019-06-07,€5.000000,42.240000 kg,10.690000 L,207 km
LHR,IOM,2019-06-08,€5.000000,128.660000 kg,18.260000 L,461 km
IOM,BRS,2019-06-13,€5.000000,98.790000 kg,16.470000 L,390 km
ORY,BRS,2019-06-20,€5.000000,150.740000 kg,19.620000 L,519 km
BRS,OPO,2019-06-21,€9.000000,363.640000 kg,35.850000 L,1273 km
OPO,BRS,2019-06-26,€9.000000,363.640000 kg,35.850000 L,1273 km
BRS,YEO,2019-06-26,€5.000000,18.610000 kg,4.710000 L,91 km
YEO,BRS,2019-07-05,€5.000000,18.610000 kg,4.710000 L,91 km
BRS,GLO,2019-07-05,€5.000000,24.260000 kg,6.140000 L,118 km
GLO,BRS,2019-07-11,€5.000000,24.260000 kg,6.140000 L,118 km
BRS,HAM,2019-07-11,€7.000000,278.560000 kg,28.980000 L,944 km
HAM,SXF,2019-07-12,€5.000000,69.490000 kg,14.610000 L,317 km
SXF,BCN,2019-07-13,€11.000000,435.820000 kg,41.700000 L,1566 km
BCN,BRS,2019-07-20,€9.000000,353.030000 kg,34.990000 L,1230 km
BRS,MAN,2019-07-20,€5.000000,62.000000 kg,15.690000 L,272 km
MAN,BRS,2019-07-26,€5.000000,62.000000 kg,15.690000 L,272 km
BRS,LUG,2019-07-26,€8.000000,319.190000 kg,32.250000 L,1093 km
LUG,BRS,2019-07-31,€8.000000,319.190000 kg,32.250000 L,1093 km
BRS,AMS,2019-07-31,€5.000000,206.000000 kg,25.310000 L,571 km
AMS,DRS,2019-08-02,€5.000000,197.660000 kg,22.750000 L,682 km
DRS,BRS,2019-08-17,€8.000000,344.470000 kg,34.300000 L,1196 km
BRS,LHR,2019-08-17,€5.000000,42.240000 kg,10.690000 L,207 km
LHR,BRS,2019-08-28,€5.000000,42.240000 kg,10.690000 L,207 km
