DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LTN,NQY,2019-02-07,€5.000000,109.670000 kg,17.120000 L,416 km
NQY,BRS,2019-02-08,€5.000000,57.000000 kg,14.430000 L,246 km
BRS,BHX,2019-02-09,€5.000000,37.950000 kg,9.600000 L,186 km
BHX,LBA,2019-02-10,€5.000000,42.400000 kg,10.730000 L,207 km
LBA,MAN,2019-02-11,€5.000000,24.570000 kg,6.220000 L,120 km
MAN,CBG,2019-02-12,€5.000000,53.420000 kg,13.130000 L,258 km
CBG,LTN,2019-02-13,€5.000000,20.980000 kg,5.310000 L,102 km
LTN,LCY,2019-02-14,€5.000000,20.210000 kg,5.110000 L,99 km
LCY,LYX,2019-02-15,€5.000000,28.010000 kg,7.090000 L,137 km
LYX,LTN,2019-03-01,€5.000000,37.990000 kg,9.610000 L,186 km
LTN,OSL,2019-03-01,€9.000000,348.880000 kg,34.660000 L,1214 km
OSL,LCY,2019-03-02,€9.000000,353.140000 kg,35.000000 L,1231 km
LCY,LTN,2019-03-21,€5.000000,20.210000 kg,5.110000 L,99 km
SXF,LTN,2019-05-18,€7.000000,295.430000 kg,30.330000 L,998 km
LTN,HND,2019-05-18,€72.000000,3123.490000 kg,268.510000 L,9611 km
HND,LTN,2019-06-15,€72.000000,3123.490000 kg,268.510000 L,9611 km
LTN,LCY,2019-06-15,€5.000000,20.210000 kg,5.110000 L,99 km
LCY,LTN,2019-07-13,€5.000000,20.210000 kg,5.110000 L,99 km
LTN,BRI,2019-08-23,€12.000000,498.060000 kg,46.730000 L,1818 km
BRI,LTN,2019-09-07,€12.000000,498.060000 kg,46.730000 L,1818 km
LTN,CBG,2019-09-07,€5.000000,20.980000 kg,5.310000 L,102 km
CBG,LTN,2019-09-28,€5.000000,20.980000 kg,5.310000 L,102 km
LTN,LCY,2019-09-28,€5.000000,20.210000 kg,5.110000 L,99 km
LCY,LTN,2019-11-05,€5.000000,20.210000 kg,5.110000 L,99 km
LTN,BCN,2019-11-05,€8.000000,320.000000 kg,31.640000 L,1239 km
BCN,LTN,2019-11-08,€8.000000,320.000000 kg,31.640000 L,1239 km
LTN,LCY,2019-11-08,€5.000000,20.210000 kg,5.110000 L,99 km
LCY,LTN,2019-11-14,€5.000000,20.210000 kg,5.110000 L,99 km
LTN,TXL,2019-11-14,€7.000000,290.930000 kg,29.970000 L,983 km
TXL,LTN,2019-11-30,€7.000000,290.930000 kg,29.970000 L,983 km
