DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LHR,MXP,2019-02-01,€7.000000,266.000000 kg,27.340000 L,985 km
MXP,FLR,2019-02-02,€5.000000,73.980000 kg,14.990000 L,332 km
FLR,DXB,2019-02-07,€28.000000,1204.620000 kg,105.870000 L,4525 km
DXB,BRU,2019-02-08,€34.000000,1447.450000 kg,126.480000 L,5201 km
BRU,SFO,2019-02-27,€66.000000,2864.030000 kg,246.540000 L,8953 km
SFO,VIY,2019-02-27,€67.000000,2892.410000 kg,248.950000 L,9025 km
VIY,PMZ,2019-02-28,€67.000000,2883.980000 kg,248.240000 L,9004 km
PMZ,SFO,2019-03-22,€33.000000,1406.720000 kg,123.020000 L,5088 km
SFO,LAS,2019-03-22,€5.000000,184.000000 kg,20.750000 L,715 km
LAS,SFO,2019-03-28,€5.000000,184.000000 kg,20.750000 L,715 km
SFO,LHR,2019-03-28,€64.000000,2758.000000 kg,237.720000 L,8663 km
LHR,SFO,2019-04-11,€64.000000,2758.000000 kg,237.720000 L,8663 km
SFO,SIR,2019-04-11,€71.000000,3076.030000 kg,264.500000 L,9490 km
SIR,OBF,2019-04-12,€5.000000,107.710000 kg,17.010000 L,411 km
OBF,BAH,2019-04-18,€26.000000,1103.990000 kg,97.330000 L,4245 km
BAH,DXB,2019-04-19,€5.000000,170.000000 kg,21.770000 L,534 km
DXB,LHR,2019-04-20,€38.000000,1621.000000 kg,141.510000 L,5543 km
LHR,CZM,2019-04-24,€58.000000,2510.700000 kg,216.630000 L,8058 km
CZM,SFO,2019-05-08,€24.000000,1005.630000 kg,89.000000 L,3956 km
SFO,BFL,2019-05-08,€5.000000,109.000000 kg,16.200000 L,433 km
BFL,SFO,2019-05-19,€5.000000,109.000000 kg,16.200000 L,433 km
NCE,ORY,2019-05-25,€5.000000,177.000000 kg,20.000000 L,724 km
ORY,IBZ,2019-05-26,€8.000000,332.960000 kg,33.370000 L,1149 km
IBZ,MAD,2019-05-30,€5.000000,137.000000 kg,17.970000 L,507 km
MAD,IBZ,2019-06-02,€5.000000,137.000000 kg,17.970000 L,507 km
IBZ,YHU,2019-06-06,€41.000000,1768.730000 kg,153.740000 L,6096 km
YHU,SFO,2019-06-09,€24.000000,1042.130000 kg,92.090000 L,4072 km
SFO,IBZ,2019-06-09,€74.000000,3202.250000 kg,275.180000 L,9810 km
IBZ,TXL,2019-06-22,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,IBZ,2019-06-23,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,LGA,2019-07-03,€43.000000,1833.160000 kg,159.210000 L,6276 km
LGA,IBZ,2019-07-05,€43.000000,1833.160000 kg,159.210000 L,6276 km
IBZ,BCN,2019-07-11,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,JMK,2019-07-12,€13.000000,564.660000 kg,52.180000 L,2091 km
JMK,IBZ,2019-07-14,€14.000000,578.720000 kg,53.360000 L,2151 km
IBZ,ACH,2019-07-20,€9.000000,349.420000 kg,34.700000 L,1216 km
ACH,IBZ,2019-07-21,€9.000000,349.420000 kg,34.700000 L,1216 km
IBZ,WAW,2019-07-26,€14.000000,582.320000 kg,53.660000 L,2166 km
WAW,IBZ,2019-07-28,€14.000000,582.320000 kg,53.660000 L,2166 km
IBZ,CLJ,2019-08-01,€13.000000,558.550000 kg,51.670000 L,2065 km
CLJ,IBZ,2019-08-04,€13.000000,558.550000 kg,51.670000 L,2065 km
IBZ,NCE,2019-08-16,€6.000000,236.000000 kg,26.070000 L,769 km
NCE,IBZ,2019-08-18,€6.000000,236.000000 kg,26.070000 L,769 km
IBZ,BEY,2019-08-22,€19.000000,813.260000 kg,72.940000 L,3142 km
BEY,IBZ,2019-08-25,€19.000000,813.260000 kg,72.940000 L,3142 km
IBZ,SFO,2019-09-15,€74.000000,3202.250000 kg,275.180000 L,9810 km
SFO,IBZ,2019-09-15,€74.000000,3202.250000 kg,275.180000 L,9810 km
IBZ,BCN,2019-09-21,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,IBZ,2019-09-22,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,BEV,2019-09-27,€19.000000,825.480000 kg,73.960000 L,3194 km
BEV,IBZ,2019-09-29,€19.000000,825.480000 kg,73.960000 L,3194 km
IBZ,LAS,2019-10-11,€71.000000,3080.830000 kg,264.900000 L,9502 km
LAS,SFO,2019-10-12,€5.000000,184.000000 kg,20.750000 L,715 km
SFO,AMS,2019-10-19,€54.000000,2344.000000 kg,201.770000 L,8831 km
AMS,LGA,2019-10-26,€40.000000,1698.650000 kg,147.790000 L,5901 km
LGA,SFO,2019-11-09,€25.000000,1086.830000 kg,95.880000 L,4197 km
SFO,HND,2019-11-09,€48.000000,2083.000000 kg,179.740000 L,8332 km
HND,YTZ,2019-11-14,€81.000000,3487.810000 kg,299.380000 L,10422 km
YTZ,SFO,2019-11-22,€22.000000,945.320000 kg,83.970000 L,3701 km
SCL,COR,2019-12-01,€5.000000,156.000000 kg,17.720000 L,710 km
COR,SFO,2019-12-05,€74.000000,3204.380000 kg,275.360000 L,9816 km
SFO,LHR,2019-12-05,€64.000000,2758.000000 kg,237.720000 L,8663 km
LHR,SFO,2019-12-12,€64.000000,2758.000000 kg,237.720000 L,8663 km
SFO,CAI,2019-12-12,€100.000000,4311.070000 kg,369.160000 L,12070 km
CAI,AUH,2019-12-13,€17.000000,731.000000 kg,66.580000 L,2427 km
AUH,LHR,2019-12-14,€41.000000,1767.000000 kg,154.170000 L,5564 km
LHR,SFO,2019-12-31,€64.000000,2758.000000 kg,237.720000 L,8663 km
