DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
YXU,YHU,2019-01-11,€5.000000,193.330000 kg,22.460000 L,667 km
YHU,ATL,2019-01-12,€11.000000,457.030000 kg,43.410000 L,1651 km
ATL,ENC,2019-01-19,€53.000000,2299.670000 kg,198.760000 L,7523 km
ENC,YXU,2019-02-01,€46.000000,1966.030000 kg,170.490000 L,6646 km
YXU,LCY,2019-02-01,€40.000000,1710.840000 kg,148.830000 L,5935 km
LCY,YXU,2019-02-14,€40.000000,1710.840000 kg,148.830000 L,5935 km
YXU,PRG,2019-02-14,€48.000000,2054.590000 kg,178.000000 L,6893 km
PRG,YXU,2019-02-26,€48.000000,2054.590000 kg,178.000000 L,6893 km
YXU,SNN,2019-02-26,€35.000000,1488.760000 kg,129.980000 L,5316 km
SNN,YXU,2019-03-15,€35.000000,1488.760000 kg,129.980000 L,5316 km
YXU,TUF,2019-03-15,€42.000000,1798.900000 kg,156.300000 L,6180 km
LCY,VGO,2019-03-30,€9.000000,364.260000 kg,35.900000 L,1276 km
VGO,YXU,2019-04-12,€39.000000,1660.490000 kg,144.560000 L,5795 km
YXU,SHA,2019-04-12,€93.000000,4022.420000 kg,344.690000 L,11492 km
SHA,SZX,2019-04-13,€8.000000,344.000000 kg,33.920000 L,1257 km
SZX,KUL,2019-04-18,€14.000000,591.000000 kg,53.410000 L,2617 km
KUL,PEK,2019-04-19,€26.000000,1106.000000 kg,97.210000 L,4461 km
PEK,SSN,2019-04-20,€7.000000,294.600000 kg,30.260000 L,995 km
SSN,RKV,2019-04-25,€62.000000,2663.610000 kg,229.570000 L,8445 km
RKV,YXU,2019-05-10,€27.000000,1156.030000 kg,101.750000 L,4390 km
YXU,OPO,2019-05-10,€39.000000,1678.360000 kg,146.070000 L,5845 km
OPO,YXU,2019-05-31,€39.000000,1678.360000 kg,146.070000 L,5845 km
YXU,BUD,2019-05-31,€52.000000,2231.210000 kg,192.960000 L,7350 km
BUD,POZ,2019-06-01,€5.000000,182.650000 kg,21.750000 L,630 km
POZ,YXU,2019-07-13,€48.000000,2051.320000 kg,177.720000 L,6883 km
YXU,TXL,2019-07-13,€46.000000,1976.210000 kg,171.350000 L,6674 km
TXL,YXU,2019-09-07,€46.000000,1976.210000 kg,171.350000 L,6674 km
YXU,OBF,2019-09-07,€47.000000,2029.900000 kg,175.910000 L,6824 km
OBF,YXU,2019-10-12,€47.000000,2029.900000 kg,175.910000 L,6824 km
YXU,BHX,2019-10-12,€39.000000,1654.770000 kg,144.070000 L,5779 km
BHX,YXU,2019-10-26,€39.000000,1654.770000 kg,144.070000 L,5779 km
YXU,BCN,2019-10-26,€45.000000,1955.720000 kg,169.610000 L,6617 km
BCN,YXU,2019-11-16,€45.000000,1955.720000 kg,169.610000 L,6617 km
YXU,LCY,2019-11-16,€40.000000,1710.840000 kg,148.830000 L,5935 km
LCY,YXU,2019-11-23,€40.000000,1710.840000 kg,148.830000 L,5935 km
YXU,TXL,2019-11-23,€46.000000,1976.210000 kg,171.350000 L,6674 km
TXL,YXU,2019-12-06,€46.000000,1976.210000 kg,171.350000 L,6674 km
LIS,YXU,2019-12-20,€40.000000,1711.960000 kg,148.930000 L,5938 km
YXU,HAM,2019-12-20,€44.000000,1886.050000 kg,163.700000 L,6423 km
HAM,YXU,2019-12-31,€44.000000,1886.050000 kg,163.700000 L,6423 km
