DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
JNB,CZM,2019-01-11,€116.000000,5020.410000 kg,429.280000 L,13491 km
CZM,JNB,2019-02-15,€116.000000,5020.410000 kg,429.280000 L,13491 km
JNB,BRS,2019-02-15,€69.000000,2963.690000 kg,254.980000 L,9206 km
BRS,DXB,2019-02-21,€38.000000,1628.260000 kg,141.820000 L,5705 km
DXB,LIN,2019-02-22,€30.000000,1272.340000 kg,111.620000 L,4714 km
LIN,GCJ,2019-03-02,€60.000000,2596.470000 kg,223.890000 L,8275 km
GCJ,JNB,2019-03-07,€5.000000,19.480000 kg,4.930000 L,95 km
JNB,KUL,2019-03-07,€71.000000,3045.000000 kg,262.530000 L,8547 km
KUL,QPG,2019-03-09,€5.000000,87.460000 kg,15.790000 L,364 km
QPG,DPS,2019-03-10,€11.000000,476.580000 kg,45.000000 L,1731 km
DPS,IEV,2019-03-15,€81.000000,3499.630000 kg,300.380000 L,10445 km
IEV,BBU,2019-03-16,€6.000000,227.850000 kg,24.910000 L,784 km
BBU,DXB,2019-03-21,€21.000000,884.200000 kg,78.860000 L,3442 km
DXB,LAS,2019-03-22,€112.000000,4868.970000 kg,416.450000 L,13187 km
LAS,RTM,2019-03-23,€64.000000,2751.700000 kg,237.030000 L,8669 km
RTM,YTZ,2019-03-27,€41.000000,1746.080000 kg,151.820000 L,6033 km
YTZ,DCA,2019-03-28,€5.000000,179.000000 kg,21.510000 L,618 km
DCA,TNT,2019-03-29,€48.000000,2076.950000 kg,179.900000 L,6955 km
TNT,HOU,2019-03-31,€66.000000,2834.140000 kg,244.020000 L,8877 km
HOU,TIA,2019-04-05,€74.000000,3179.530000 kg,273.260000 L,9753 km
TIA,AMS,2019-04-06,€11.000000,474.180000 kg,44.800000 L,1721 km
AMS,SIR,2019-04-11,€6.000000,217.720000 kg,24.100000 L,752 km
SIR,ZRH,2019-04-13,€5.000000,43.520000 kg,11.010000 L,213 km
ZRH,DXB,2019-04-18,€33.000000,1433.000000 kg,125.560000 L,4815 km
DXB,DOH,2019-04-19,€5.000000,129.000000 kg,19.240000 L,431 km
DOH,BEY,2019-04-20,€11.000000,473.000000 kg,44.050000 L,1869 km
BEY,FLR,2019-04-21,€15.000000,641.890000 kg,58.630000 L,2418 km
FLR,DXB,2019-05-02,€28.000000,1204.620000 kg,105.870000 L,4525 km
DXB,TBS,2019-05-04,€16.000000,659.000000 kg,60.750000 L,2108 km
TBS,NAP,2019-05-05,€16.000000,681.550000 kg,61.940000 L,2585 km
NAP,LGA,2019-05-10,€50.000000,2140.900000 kg,185.320000 L,7121 km
LGA,ABQ,2019-05-11,€18.000000,773.980000 kg,69.660000 L,2976 km
ABQ,YHU,2019-05-19,€18.000000,779.820000 kg,70.150000 L,3001 km
YHU,BEG,2019-05-23,€49.000000,2091.800000 kg,181.160000 L,6996 km
BEG,LBG,2019-05-24,€10.000000,417.990000 kg,40.250000 L,1493 km
LBG,IBZ,2019-05-25,€8.000000,339.910000 kg,33.930000 L,1177 km
IBZ,NCE,2019-05-26,€6.000000,236.000000 kg,26.070000 L,769 km
