DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SYD,HND,2019-01-13,€106.000000,4602.000000 kg,394.170000 L,12102 km
HND,MCO,2019-02-16,€96.000000,4155.970000 kg,356.020000 L,11760 km
MCO,PNQ,2019-02-16,€124.000000,5381.220000 kg,459.870000 L,14213 km
PNQ,LHR,2019-02-24,€52.000000,2245.430000 kg,194.170000 L,7386 km
LHR,MCO,2019-03-29,€49.000000,2102.230000 kg,182.040000 L,7023 km
MCO,MEX,2019-03-29,€13.000000,551.000000 kg,50.880000 L,2108 km
MEX,HND,2019-03-30,€92.000000,3964.040000 kg,339.750000 L,11375 km
HND,HKG,2019-04-13,€21.000000,905.000000 kg,81.260000 L,2952 km
HKG,LGA,2019-04-19,€110.000000,4782.330000 kg,409.100000 L,13014 km
LGA,MCO,2019-05-03,€10.000000,429.000000 kg,40.750000 L,1579 km
MCO,SCL,2019-05-03,€49.000000,2109.940000 kg,182.690000 L,7042 km
SCL,GRU,2019-05-04,€15.000000,611.000000 kg,55.180000 L,2664 km
GRU,MCO,2019-05-10,€53.000000,2263.000000 kg,195.940000 L,6912 km
HND,BRS,2019-05-25,€74.000000,3174.410000 kg,272.830000 L,9740 km
BRS,LYN,2019-05-29,€7.000000,262.590000 kg,27.700000 L,894 km
ANR,LHR,2019-06-07,€5.000000,100.120000 kg,16.550000 L,394 km
LHR,MCO,2019-06-22,€49.000000,2102.230000 kg,182.040000 L,7023 km
MCO,YHU,2019-06-22,€13.000000,561.690000 kg,51.930000 L,2079 km
YHU,MCO,2019-07-05,€13.000000,561.690000 kg,51.930000 L,2079 km
MCO,DET,2019-07-05,€11.000000,446.640000 kg,42.570000 L,1609 km
MCO,CRL,2019-07-10,€52.000000,2244.850000 kg,194.120000 L,7384 km
CRL,MAD,2019-07-12,€9.000000,375.050000 kg,36.770000 L,1320 km
MAD,HND,2019-07-13,€85.000000,3691.860000 kg,316.680000 L,10830 km
HND,BCN,2019-07-18,€82.000000,3528.920000 kg,302.870000 L,10504 km
BCN,LEJ,2019-07-19,€10.000000,400.620000 kg,38.850000 L,1423 km
LEJ,BCN,2019-07-21,€10.000000,400.620000 kg,38.850000 L,1423 km
BCN,SFO,2019-08-03,€73.000000,3137.830000 kg,269.730000 L,9647 km
SFO,MCO,2019-08-17,€22.000000,927.000000 kg,82.020000 L,3978 km
MCO,LGA,2019-08-17,€10.000000,429.000000 kg,40.750000 L,1579 km
LGA,MCO,2019-08-22,€10.000000,429.000000 kg,40.750000 L,1579 km
MCO,DCA,2019-08-22,€8.000000,327.000000 kg,32.150000 L,1273 km
DCA,ATL,2019-08-23,€6.000000,241.000000 kg,25.310000 L,929 km
ATL,MCO,2019-08-27,€5.000000,170.000000 kg,19.240000 L,700 km
MCO,HND,2019-08-27,€96.000000,4155.970000 kg,356.020000 L,11760 km
HND,MCO,2019-10-05,€96.000000,4155.970000 kg,356.020000 L,11760 km
MCO,MEX,2019-10-05,€13.000000,551.000000 kg,50.880000 L,2108 km
MEX,MCO,2019-10-12,€13.000000,551.000000 kg,50.880000 L,2108 km
MCO,ITM,2019-10-12,€99.000000,4304.180000 kg,368.580000 L,12056 km
ITM,ORY,2019-10-17,€73.000000,3156.260000 kg,271.290000 L,9694 km
ORY,AMS,2019-10-19,€5.000000,138.740000 kg,18.860000 L,485 km
AMS,HND,2019-10-29,€70.000000,3030.380000 kg,260.630000 L,9375 km
HND,MCO,2019-11-23,€96.000000,4155.970000 kg,356.020000 L,11760 km
MCO,LGA,2019-11-23,€10.000000,429.000000 kg,40.750000 L,1579 km
LGA,MCO,2019-11-26,€10.000000,429.000000 kg,40.750000 L,1579 km
MCO,HND,2019-11-26,€96.000000,4155.970000 kg,356.020000 L,11760 km
HND,LHR,2019-11-27,€73.000000,3139.550000 kg,269.870000 L,9651 km
LHR,MCO,2019-12-13,€49.000000,2102.230000 kg,182.040000 L,7023 km
MCO,HND,2019-12-13,€96.000000,4155.970000 kg,356.020000 L,11760 km
HND,MCO,2019-12-31,€96.000000,4155.970000 kg,356.020000 L,11760 km
