DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CDG,ZRH,2019-01-12,€5.000000,161.000000 kg,20.750000 L,525 km
ZRH,CDG,2019-01-18,€5.000000,161.000000 kg,20.750000 L,525 km
CDG,OTP,2019-01-18,€12.000000,505.000000 kg,47.080000 L,1901 km
OTP,BRU,2019-01-19,€13.000000,543.000000 kg,50.880000 L,1804 km
BRU,CDG,2019-01-26,€5.000000,53.000000 kg,13.410000 L,303 km
CDG,ORY,2019-02-23,€5.000000,17.450000 kg,4.410000 L,85 km
ORY,TXL,2019-02-24,€5.000000,202.000000 kg,21.010000 L,927 km
TXL,CDG,2019-03-01,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,IAS,2019-03-01,€13.000000,521.980000 kg,48.670000 L,1914 km
IAS,CDG,2019-03-09,€13.000000,521.980000 kg,48.670000 L,1914 km
CDG,CIA,2019-03-16,€8.000000,333.480000 kg,33.410000 L,1151 km
CIA,CDG,2019-03-22,€8.000000,333.480000 kg,33.410000 L,1151 km
CDG,HND,2019-03-22,€59.000000,2543.000000 kg,218.730000 L,9753 km
LHR,CDG,2019-04-21,€5.000000,87.000000 kg,13.920000 L,396 km
CDG,TXL,2019-04-21,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,CDG,2019-05-04,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,BOD,2019-05-04,€5.000000,141.000000 kg,17.210000 L,575 km
BOD,CDG,2019-05-18,€5.000000,141.000000 kg,17.210000 L,575 km
CDG,ORE,2019-05-18,€5.000000,37.020000 kg,9.370000 L,181 km
ORE,CDG,2019-05-24,€5.000000,37.020000 kg,9.370000 L,181 km
CDG,ORY,2019-05-24,€5.000000,17.450000 kg,4.410000 L,85 km
ORY,CDG,2019-06-01,€5.000000,17.450000 kg,4.410000 L,85 km
CDG,BCN,2019-06-16,€6.000000,219.000000 kg,23.030000 L,908 km
BCN,CDG,2019-06-21,€6.000000,219.000000 kg,23.030000 L,908 km
CDG,ORY,2019-06-21,€5.000000,17.450000 kg,4.410000 L,85 km
ORY,CDG,2019-06-29,€5.000000,17.450000 kg,4.410000 L,85 km
CDG,AMS,2019-06-29,€5.000000,111.000000 kg,15.940000 L,448 km
AMS,CDG,2019-07-13,€5.000000,111.000000 kg,15.940000 L,448 km
CDG,PRG,2019-07-13,€6.000000,226.000000 kg,23.790000 L,901 km
PRG,CDG,2019-07-20,€6.000000,226.000000 kg,23.790000 L,901 km
CDG,BEY,2019-07-20,€22.000000,935.000000 kg,83.540000 L,3235 km
BEY,VKO,2019-08-03,€16.000000,655.380000 kg,59.760000 L,2475 km
VKO,CDG,2019-08-24,€16.000000,659.970000 kg,60.140000 L,2494 km
CDG,GVA,2019-08-24,€5.000000,105.000000 kg,14.930000 L,457 km
GVA,CDG,2019-08-31,€5.000000,105.000000 kg,14.930000 L,457 km
CDG,TXL,2019-09-06,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,TLN,2019-09-07,€9.000000,354.250000 kg,35.090000 L,1235 km
TLN,CDG,2019-09-21,€6.000000,219.110000 kg,24.220000 L,756 km
CDG,LHR,2019-09-21,€5.000000,87.000000 kg,13.920000 L,396 km
LHR,CDG,2019-10-05,€5.000000,87.000000 kg,13.920000 L,396 km
CDG,ORY,2019-10-05,€5.000000,17.450000 kg,4.410000 L,85 km
ORY,CDG,2019-10-25,€5.000000,17.450000 kg,4.410000 L,85 km
CDG,SCL,2019-10-25,€82.000000,3529.000000 kg,302.530000 L,11713 km
SCL,OTP,2019-11-08,€111.000000,4825.440000 kg,412.760000 L,13100 km
OTP,GVA,2019-11-09,€10.000000,418.000000 kg,39.740000 L,1616 km
GVA,CDG,2019-11-22,€5.000000,105.000000 kg,14.930000 L,457 km
CDG,ARW,2019-11-22,€10.000000,415.880000 kg,40.080000 L,1485 km
ARW,CDG,2019-11-30,€10.000000,415.880000 kg,40.080000 L,1485 km
CDG,ORY,2019-11-30,€5.000000,17.450000 kg,4.410000 L,85 km
ORY,CDG,2019-12-07,€5.000000,17.450000 kg,4.410000 L,85 km
CDG,TXL,2019-12-07,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,CDG,2019-12-27,€6.000000,233.000000 kg,24.550000 L,900 km
