DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,BRS,2019-01-01,€8.000000,334.010000 kg,33.450000 L,1153 km
BRS,TXL,2019-01-11,€8.000000,334.010000 kg,33.450000 L,1153 km
TXL,GRU,2019-02-02,€79.000000,3430.110000 kg,294.490000 L,10306 km
GRU,LGA,2019-02-08,€55.000000,2385.050000 kg,205.990000 L,7740 km
LGA,BOG,2019-02-22,€24.000000,1039.390000 kg,91.850000 L,4065 km
BOG,PDX,2019-03-01,€45.000000,1939.480000 kg,168.230000 L,6572 km
PDX,MEX,2019-03-15,€22.000000,939.070000 kg,83.440000 L,3674 km
MEX,CZM,2019-03-16,€10.000000,406.000000 kg,39.740000 L,1323 km
CZM,CDG,2019-03-29,€61.000000,2615.760000 kg,225.520000 L,8324 km
CDG,BHX,2019-03-30,€5.000000,199.000000 kg,25.310000 L,536 km
BHX,TXL,2019-04-05,€8.000000,312.780000 kg,31.730000 L,1067 km
TXL,MAN,2019-04-05,€8.000000,319.570000 kg,32.280000 L,1095 km
MAN,BRU,2019-04-06,€6.000000,228.000000 kg,27.840000 L,584 km
BRU,TXL,2019-04-13,€6.000000,243.000000 kg,27.840000 L,682 km
TXL,OPO,2019-04-13,€14.000000,574.690000 kg,53.020000 L,2134 km
OPO,TXL,2019-04-19,€14.000000,574.690000 kg,53.020000 L,2134 km
TXL,TBS,2019-04-19,€17.000000,705.980000 kg,63.980000 L,2689 km
TBS,BCN,2019-04-30,€22.000000,914.110000 kg,81.360000 L,3569 km
BCN,TXL,2019-05-03,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,NCL,2019-05-03,€8.000000,313.650000 kg,31.800000 L,1071 km
NCL,TXL,2019-05-10,€8.000000,313.650000 kg,31.800000 L,1071 km
TXL,SFO,2019-05-10,€68.000000,2950.230000 kg,253.840000 L,9172 km
SFO,BOS,2019-05-16,€25.000000,1068.000000 kg,93.920000 L,4390 km
BOS,LGA,2019-05-17,€5.000000,78.000000 kg,14.680000 L,346 km
LGA,LHR,2019-05-18,€37.000000,1587.960000 kg,138.400000 L,5593 km
LHR,AMS,2019-05-25,€5.000000,105.000000 kg,15.940000 L,417 km
