DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
ORY,LIN,2019-01-11,€5.000000,190.000000 kg,21.770000 L,686 km
LIN,ORY,2019-01-19,€5.000000,190.000000 kg,21.770000 L,686 km
ORY,LBG,2019-01-19,€5.000000,15.960000 kg,4.040000 L,78 km
LBG,ORY,2019-02-01,€5.000000,15.960000 kg,4.040000 L,78 km
ORY,LCY,2019-02-01,€5.000000,98.000000 kg,15.690000 L,399 km
LCY,ORY,2019-04-06,€5.000000,98.000000 kg,15.690000 L,399 km
ORY,LCY,2019-04-06,€5.000000,98.000000 kg,15.690000 L,399 km
LCY,ORY,2019-04-20,€5.000000,98.000000 kg,15.690000 L,399 km
ORY,GNB,2019-04-20,€5.000000,150.560000 kg,19.610000 L,519 km
GNB,ORY,2019-04-26,€5.000000,150.560000 kg,19.610000 L,519 km
ORY,AMS,2019-04-26,€5.000000,138.740000 kg,18.860000 L,485 km
AMS,ORY,2019-05-17,€5.000000,138.740000 kg,18.860000 L,485 km
ORY,VIY,2019-05-17,€5.000000,13.450000 kg,3.400000 L,65 km
VIY,ORY,2019-05-25,€5.000000,13.450000 kg,3.400000 L,65 km
ORY,BCN,2019-05-25,€8.000000,322.000000 kg,34.170000 L,876 km
BCN,ORY,2019-06-08,€8.000000,322.000000 kg,34.170000 L,876 km
ORY,MPL,2019-06-08,€5.000000,163.000000 kg,19.240000 L,633 km
MPL,ORY,2019-12-12,€5.000000,163.000000 kg,19.240000 L,633 km
ORY,LBG,2019-12-12,€5.000000,15.960000 kg,4.040000 L,78 km
LBG,ORY,2019-12-20,€5.000000,15.960000 kg,4.040000 L,78 km
