DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
TXL,IST,2019-03-08,€10.000000,428.000000 kg,40.250000 L,1790 km
IST,VIY,2019-03-22,€15.000000,610.150000 kg,55.980000 L,2283 km
VIY,TXL,2019-03-31,€7.000000,276.840000 kg,28.840000 L,939 km
TXL,LHR,2019-03-31,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-04-25,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,RKV,2019-04-25,€15.000000,645.060000 kg,58.900000 L,2431 km
RKV,TXL,2019-05-02,€15.000000,645.060000 kg,58.900000 L,2431 km
TXL,OVD,2019-05-02,€12.000000,495.920000 kg,46.560000 L,1809 km
OVD,TXL,2019-05-30,€12.000000,495.920000 kg,46.560000 L,1809 km
TXL,BCN,2019-05-30,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,TXL,2019-06-14,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,RTM,2019-06-14,€5.000000,190.410000 kg,22.270000 L,657 km
RTM,SXF,2019-06-16,€5.000000,194.380000 kg,22.530000 L,671 km
SXF,TXL,2019-06-22,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,CIA,2019-06-22,€9.000000,357.980000 kg,35.390000 L,1250 km
CIA,TXL,2019-06-26,€9.000000,357.980000 kg,35.390000 L,1250 km
TXL,CDG,2019-06-26,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,TXL,2019-07-05,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,MXP,2019-07-05,€5.000000,206.000000 kg,21.770000 L,888 km
MXP,TXL,2019-07-17,€5.000000,206.000000 kg,21.770000 L,888 km
TXL,BCN,2019-07-17,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,TXL,2019-07-20,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,BCN,2019-07-20,€8.000000,334.000000 kg,31.890000 L,1560 km
BCN,TXL,2019-07-26,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,LUG,2019-07-26,€6.000000,246.630000 kg,26.420000 L,843 km
LUG,TXL,2019-07-31,€6.000000,246.630000 kg,26.420000 L,843 km
TXL,AMS,2019-07-31,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-09-14,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,LHR,2019-09-14,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,TXL,2019-09-19,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,RTM,2019-09-19,€5.000000,190.410000 kg,22.270000 L,657 km
RTM,TXL,2019-09-30,€5.000000,190.410000 kg,22.270000 L,657 km
TXL,PRG,2019-09-30,€5.000000,38.000000 kg,9.620000 L,330 km
PRG,TXL,2019-10-10,€5.000000,38.000000 kg,9.620000 L,330 km
TXL,ESH,2019-10-10,€7.000000,297.310000 kg,30.480000 L,1005 km
ESH,MAN,2019-10-11,€5.000000,86.230000 kg,15.720000 L,361 km
MAN,TXL,2019-10-16,€8.000000,319.570000 kg,32.280000 L,1095 km
TXL,AMS,2019-10-16,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,TXL,2019-10-26,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,VIC,2019-10-26,€6.000000,245.430000 kg,26.320000 L,839 km
VIC,TXL,2019-11-08,€6.000000,245.430000 kg,26.320000 L,839 km
TXL,CPH,2019-11-08,€5.000000,94.000000 kg,14.680000 L,406 km
CPH,TXL,2019-11-22,€5.000000,94.000000 kg,14.680000 L,406 km
TXL,MEX,2019-11-22,€74.000000,3188.670000 kg,274.030000 L,9776 km
MEX,LGA,2019-11-23,€21.000000,879.500000 kg,78.470000 L,3422 km
LGA,TXL,2019-12-13,€44.000000,1885.170000 kg,163.630000 L,6421 km
