DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,GVA,2019-02-02,€7.000000,273.550000 kg,28.570000 L,928 km
GVA,SXF,2019-02-15,€7.000000,273.550000 kg,28.570000 L,928 km
SXF,CLO,2019-02-15,€74.000000,3186.740000 kg,273.870000 L,9771 km
CLO,GUA,2019-02-16,€13.000000,550.850000 kg,51.030000 L,2033 km
ZRH,SXF,2019-03-14,€5.000000,206.860000 kg,23.370000 L,714 km
SXF,BUD,2019-03-14,€5.000000,216.140000 kg,23.990000 L,747 km
BUD,LCY,2019-03-15,€10.000000,420.500000 kg,40.460000 L,1504 km
LCY,SXF,2019-03-23,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,CAS,2019-03-23,€17.000000,718.420000 kg,65.020000 L,2741 km
CAS,SXF,2019-04-07,€17.000000,718.420000 kg,65.020000 L,2741 km
SXF,TXL,2019-04-07,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-04-22,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-04-22,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-04-25,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,CND,2019-04-25,€10.000000,419.090000 kg,40.340000 L,1498 km
CND,SXF,2019-04-30,€10.000000,419.090000 kg,40.340000 L,1498 km
SXF,MRS,2019-04-30,€9.000000,353.310000 kg,35.020000 L,1232 km
MRS,SXF,2019-05-05,€9.000000,353.310000 kg,35.020000 L,1232 km
SXF,TXL,2019-05-05,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-05-12,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,ORY,2019-05-12,€7.000000,277.190000 kg,28.870000 L,940 km
ORY,SXF,2019-05-31,€7.000000,277.190000 kg,28.870000 L,940 km
SXF,TXL,2019-06-16,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-07-12,€5.000000,13.420000 kg,3.390000 L,65 km
MEB,SYD,2019-07-14,€6.000000,218.980000 kg,24.200000 L,756 km
SXF,TXL,2019-08-09,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-08-17,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-08-17,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-08-24,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,SPU,2019-08-24,€8.000000,313.210000 kg,31.770000 L,1069 km
SPU,SXF,2019-09-06,€8.000000,313.210000 kg,31.770000 L,1069 km
SXF,TXL,2019-09-06,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,LBG,2019-09-07,€7.000000,268.020000 kg,28.130000 L,911 km
LBG,SXF,2019-09-18,€7.000000,271.260000 kg,28.390000 L,921 km
SXF,AEP,2019-09-18,€99.000000,4263.210000 kg,365.100000 L,11974 km
BOG,PRG,2019-09-28,€72.000000,3106.100000 kg,267.040000 L,9566 km
PRG,SXF,2019-10-12,€5.000000,72.650000 kg,14.900000 L,328 km
SXF,TUN,2019-10-12,€12.000000,488.000000 kg,45.820000 L,1793 km
TUN,TXL,2019-10-19,€12.000000,497.540000 kg,46.690000 L,1815 km
TXL,SXF,2019-10-24,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,DXB,2019-10-24,€29.000000,1257.370000 kg,110.350000 L,4672 km
DXB,TXL,2019-11-01,€30.000000,1279.000000 kg,112.150000 L,4682 km
TXL,SXF,2019-12-07,€5.000000,13.420000 kg,3.390000 L,65 km
