DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
BRU,GLA,2019-01-01,€6.000000,248.940000 kg,26.610000 L,851 km
GLA,BRU,2019-02-01,€6.000000,248.940000 kg,26.610000 L,851 km
BRU,NTE,2019-02-08,€5.000000,190.880000 kg,22.300000 L,659 km
NTE,RTM,2019-02-09,€5.000000,213.830000 kg,23.830000 L,739 km
RTM,BRU,2019-02-14,€5.000000,33.990000 kg,8.600000 L,166 km
BRU,LIS,2019-02-14,€11.000000,457.000000 kg,43.030000 L,1767 km
LIS,MHG,2019-02-15,€12.000000,515.140000 kg,48.120000 L,1887 km
MHG,CIA,2019-02-16,€7.000000,281.200000 kg,29.190000 L,953 km
CIA,BRU,2019-02-22,€9.000000,351.230000 kg,34.850000 L,1223 km
BRU,AMS,2019-02-22,€5.000000,49.000000 kg,12.400000 L,206 km
AMS,LIN,2019-02-23,€6.000000,246.000000 kg,26.070000 L,880 km
LIN,BRU,2019-02-28,€7.000000,282.000000 kg,31.390000 L,752 km
BRU,KUL,2019-02-28,€79.000000,3429.130000 kg,294.410000 L,10304 km
KUL,SYD,2019-03-09,€53.000000,2265.000000 kg,196.450000 L,6629 km
SYD,OOL,2019-03-10,€5.000000,211.060000 kg,23.650000 L,729 km
BRS,LCY,2019-03-16,€5.000000,49.700000 kg,12.580000 L,243 km
LCY,BRU,2019-03-21,€5.000000,88.010000 kg,15.830000 L,365 km
BRU,MAD,2019-03-21,€8.000000,340.000000 kg,33.160000 L,1363 km
MAD,BCN,2019-03-22,€5.000000,126.000000 kg,16.200000 L,531 km
BCN,VIY,2019-03-23,€6.000000,258.730000 kg,27.390000 L,882 km
VIY,LYN,2019-03-24,€5.000000,122.830000 kg,17.910000 L,447 km
LYN,BRU,2019-03-28,€5.000000,181.530000 kg,21.680000 L,626 km
BRU,TNT,2019-03-28,€6.000000,225.790000 kg,24.750000 L,777 km
TNT,YHU,2019-03-30,€43.000000,1850.420000 kg,160.680000 L,6324 km
YHU,CGN,2019-04-05,€39.000000,1661.150000 kg,144.610000 L,5797 km
CGN,MHG,2019-04-06,€5.000000,47.110000 kg,11.920000 L,230 km
MHG,BRU,2019-04-12,€5.000000,92.430000 kg,16.090000 L,375 km
BRU,DEN,2019-04-12,€57.000000,2442.530000 kg,210.860000 L,7885 km
DEN,LGA,2019-04-13,€15.000000,621.000000 kg,56.200000 L,2647 km
LGA,BUR,2019-04-18,€24.000000,1017.390000 kg,89.980000 L,4003 km
BUR,PSP,2019-04-19,€5.000000,46.000000 kg,11.640000 L,225 km
PSP,SFO,2019-04-20,€5.000000,214.000000 kg,24.050000 L,728 km
SFO,ENS,2019-04-27,€66.000000,2858.580000 kg,246.080000 L,8939 km
ENS,BRU,2019-05-10,€5.000000,58.200000 kg,13.570000 L,276 km
BRU,ROS,2019-05-10,€91.000000,3948.120000 kg,338.400000 L,11343 km
ROS,SFN,2019-05-11,€5.000000,35.630000 kg,9.020000 L,174 km
SFN,DCA,2019-05-16,€58.000000,2520.490000 kg,217.460000 L,8083 km
DCA,HHR,2019-05-17,€23.000000,959.610000 kg,85.160000 L,3761 km
HHR,YTZ,2019-05-19,€21.000000,912.620000 kg,81.240000 L,3562 km
YTZ,IBZ,2019-05-22,€45.000000,1932.980000 kg,167.680000 L,6554 km
IBZ,DUB,2019-05-24,€12.000000,486.660000 kg,45.810000 L,1771 km
DUB,YQG,2019-05-26,€37.000000,1600.080000 kg,139.430000 L,5626 km
YQG,DET,2019-05-27,€5.000000,13.270000 kg,3.350000 L,65 km
DET,TAR,2019-06-01,€57.000000,2436.320000 kg,210.330000 L,7869 km
TAR,BRU,2019-06-07,€11.000000,437.000000 kg,41.790000 L,1570 km
BRU,SDV,2019-06-07,€20.000000,848.000000 kg,75.840000 L,3289 km
SDV,DTM,2019-06-09,€19.000000,814.170000 kg,73.020000 L,3146 km
DTM,IBZ,2019-06-10,€10.000000,428.500000 kg,41.100000 L,1536 km
IBZ,BRU,2019-06-15,€10.000000,397.800000 kg,38.620000 L,1412 km
BRU,SXB,2019-06-15,€5.000000,123.000000 kg,19.740000 L,396 km
SXB,IBZ,2019-06-17,€9.000000,354.790000 kg,35.130000 L,1238 km
IBZ,BRU,2019-06-20,€10.000000,397.800000 kg,38.620000 L,1412 km
BRU,MHG,2019-06-20,€5.000000,92.430000 kg,16.090000 L,375 km
MHG,BRU,2019-06-26,€5.000000,92.430000 kg,16.090000 L,375 km
BRU,YEO,2019-06-26,€5.000000,159.100000 kg,20.180000 L,548 km
YEO,BRU,2019-06-29,€5.000000,159.100000 kg,20.180000 L,548 km
BRU,AMS,2019-06-29,€5.000000,49.000000 kg,12.400000 L,206 km
AMS,ZAD,2019-07-01,€9.000000,358.410000 kg,35.430000 L,1252 km
ZAD,BRU,2019-07-04,€8.000000,336.170000 kg,33.630000 L,1162 km
BRU,BEG,2019-07-04,€10.000000,428.000000 kg,41.510000 L,1405 km
BEG,EIN,2019-07-05,€10.000000,392.070000 kg,38.150000 L,1388 km
EIN,TRN,2019-07-07,€6.000000,227.170000 kg,24.860000 L,782 km
TRN,BRU,2019-07-11,€7.000000,293.000000 kg,32.910000 L,724 km
BRU,BCN,2019-07-11,€8.000000,326.000000 kg,32.650000 L,1135 km
BCN,MAD,2019-07-12,€5.000000,126.000000 kg,16.200000 L,531 km
MAD,LCY,2019-07-13,€11.000000,437.000000 kg,42.780000 L,1305 km
LCY,CRL,2019-07-14,€5.000000,94.030000 kg,16.190000 L,379 km
CRL,IBZ,2019-07-15,€9.000000,384.540000 kg,37.540000 L,1358 km
IBZ,BRU,2019-07-18,€10.000000,397.800000 kg,38.620000 L,1412 km
BRU,BCN,2019-07-18,€8.000000,326.000000 kg,32.650000 L,1135 km
BCN,ANR,2019-07-19,€8.000000,336.820000 kg,33.680000 L,1165 km
ANR,BRU,2019-07-23,€5.000000,16.570000 kg,4.190000 L,81 km
BRU,IBZ,2019-07-23,€10.000000,397.800000 kg,38.620000 L,1412 km
IBZ,BRU,2019-07-26,€10.000000,397.800000 kg,38.620000 L,1412 km
BRU,ANR,2019-07-26,€5.000000,16.570000 kg,4.190000 L,81 km
ANR,BRU,2019-07-30,€5.000000,16.570000 kg,4.190000 L,81 km
BRU,IBZ,2019-07-30,€10.000000,397.800000 kg,38.620000 L,1412 km
IBZ,ATL,2019-08-01,€53.000000,2281.060000 kg,197.180000 L,7476 km
ATL,TNT,2019-08-03,€56.000000,2422.880000 kg,209.190000 L,7835 km
TNT,LEI,2019-08-07,€11.000000,438.310000 kg,41.900000 L,1576 km
LEI,ANR,2019-08-09,€12.000000,478.500000 kg,45.150000 L,1738 km
ANR,BRU,2019-08-14,€5.000000,16.570000 kg,4.190000 L,81 km
BRU,MLA,2019-08-14,€11.000000,439.000000 kg,41.010000 L,1902 km
MLA,BHD,2019-08-16,€17.000000,698.500000 kg,63.360000 L,2657 km
BHD,ZAD,2019-08-18,€13.000000,536.060000 kg,49.810000 L,1971 km
ZAD,IBZ,2019-08-20,€9.000000,383.160000 kg,37.430000 L,1352 km
IBZ,BUD,2019-08-21,€12.000000,488.930000 kg,46.000000 L,1781 km
BUD,BCN,2019-08-23,€11.000000,437.180000 kg,41.810000 L,1571 km
BCN,AMS,2019-08-24,€9.000000,381.000000 kg,37.460000 L,1291 km
AMS,LIS,2019-08-25,€12.000000,515.000000 kg,48.100000 L,1894 km
LIS,BRU,2019-09-03,€11.000000,457.000000 kg,43.030000 L,1767 km
BRU,IBZ,2019-09-03,€10.000000,397.800000 kg,38.620000 L,1412 km
IBZ,BRU,2019-09-06,€10.000000,397.800000 kg,38.620000 L,1412 km
BRU,HND,2019-09-06,€71.000000,3085.850000 kg,265.330000 L,9515 km
HND,IBZ,2019-09-17,€85.000000,3659.280000 kg,313.910000 L,10765 km
IBZ,BRU,2019-09-21,€10.000000,397.800000 kg,38.620000 L,1412 km
GDL,MEX,2019-10-05,€5.000000,142.000000 kg,18.480000 L,507 km
MEX,ELP,2019-10-06,€11.000000,446.270000 kg,42.540000 L,1608 km
ELP,LIM,2019-10-12,€39.000000,1676.750000 kg,145.940000 L,5840 km
LIM,EOH,2019-10-13,€13.000000,563.540000 kg,52.090000 L,2086 km
EOH,AMS,2019-10-16,€66.000000,2829.750000 kg,243.640000 L,8866 km
AMS,BRU,2019-10-19,€5.000000,49.000000 kg,12.400000 L,206 km
BRU,AMS,2019-10-19,€5.000000,49.000000 kg,12.400000 L,206 km
AMS,BRU,2019-10-31,€5.000000,49.000000 kg,12.400000 L,206 km
BRU,DEN,2019-10-31,€57.000000,2442.530000 kg,210.860000 L,7885 km
SFO,ANR,2019-11-16,€66.000000,2854.300000 kg,245.720000 L,8928 km
