DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LGW,LBA,2019-01-19,€5.000000,89.220000 kg,15.900000 L,368 km
LBA,LGW,2019-01-26,€5.000000,89.220000 kg,15.900000 L,368 km
LGW,LHR,2019-01-26,€5.000000,18.500000 kg,4.680000 L,90 km
LHR,LGW,2019-02-15,€5.000000,18.500000 kg,4.680000 L,90 km
LGW,MAN,2019-02-15,€5.000000,66.000000 kg,13.410000 L,333 km
MAN,LHR,2019-02-16,€5.000000,49.000000 kg,12.400000 L,291 km
LHR,LGW,2019-02-23,€5.000000,18.500000 kg,4.680000 L,90 km
LGW,LHR,2019-02-23,€5.000000,18.500000 kg,4.680000 L,90 km
LHR,LGW,2019-03-09,€5.000000,18.500000 kg,4.680000 L,90 km
LGW,IEV,2019-03-09,€14.000000,588.790000 kg,54.200000 L,2193 km
IEV,LGW,2019-03-14,€14.000000,588.790000 kg,54.200000 L,2193 km
LGW,CIA,2019-03-14,€10.000000,408.760000 kg,39.500000 L,1456 km
CIA,LHR,2019-03-15,€10.000000,418.270000 kg,40.270000 L,1495 km
LHR,SXF,2019-03-16,€7.000000,299.160000 kg,30.630000 L,1012 km
SXF,LGW,2019-04-04,€7.000000,296.620000 kg,30.420000 L,1002 km
LGW,LHR,2019-04-04,€5.000000,18.500000 kg,4.680000 L,90 km
LHR,VIE,2019-04-05,€8.000000,316.000000 kg,30.880000 L,1323 km
VIE,MHG,2019-04-06,€5.000000,185.830000 kg,21.960000 L,641 km
MHG,LGW,2019-04-19,€5.000000,200.570000 kg,22.950000 L,692 km
LGW,NVT,2019-04-19,€75.000000,3256.960000 kg,279.820000 L,9949 km
NVT,GRU,2019-04-20,€5.000000,104.000000 kg,13.920000 L,491 km
GRU,CND,2019-04-25,€85.000000,3662.130000 kg,314.160000 L,10771 km
CND,LGW,2019-05-02,€15.000000,620.410000 kg,56.840000 L,2327 km
LGW,LHR,2019-05-02,€5.000000,18.500000 kg,4.680000 L,90 km
LHR,LGW,2019-05-05,€5.000000,18.500000 kg,4.680000 L,90 km
LGW,BHX,2019-05-05,€5.000000,47.010000 kg,11.900000 L,230 km
BHX,LGW,2019-05-16,€5.000000,47.010000 kg,11.900000 L,230 km
LGW,MXP,2019-05-16,€7.000000,280.110000 kg,29.100000 L,949 km
MXP,LHR,2019-05-18,€7.000000,266.000000 kg,27.340000 L,985 km
LHR,LGW,2019-05-25,€5.000000,18.500000 kg,4.680000 L,90 km
LGW,VKO,2019-05-25,€16.000000,674.000000 kg,61.310000 L,2553 km
VKO,LGW,2019-05-31,€16.000000,674.000000 kg,61.310000 L,2553 km
NHT,IOM,2019-06-08,€5.000000,127.310000 kg,18.180000 L,458 km
IOM,LGW,2019-06-14,€5.000000,145.390000 kg,19.260000 L,501 km
LGW,MXP,2019-06-14,€7.000000,280.110000 kg,29.100000 L,949 km
MXP,BCN,2019-06-15,€6.000000,229.000000 kg,25.310000 L,769 km
