DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
HCS,SDV,2019-02-15,€45.000000,1945.100000 kg,168.710000 L,6588 km
SDV,BCN,2019-02-23,€19.000000,808.040000 kg,72.500000 L,3120 km
BCN,JNB,2019-03-02,€58.000000,2501.990000 kg,215.890000 L,8036 km
JNB,HCS,2019-03-08,€5.000000,19.480000 kg,4.930000 L,95 km
HCS,VIY,2019-03-08,€65.000000,2808.660000 kg,241.860000 L,8813 km
VIY,HCS,2019-04-28,€65.000000,2808.660000 kg,241.860000 L,8813 km
HCS,IBZ,2019-04-28,€56.000000,2424.930000 kg,209.360000 L,7841 km
IBZ,HCS,2019-05-25,€56.000000,2424.930000 kg,209.360000 L,7841 km
HCS,ARN,2019-05-25,€73.000000,3146.970000 kg,270.500000 L,9670 km
ARN,IBZ,2019-05-31,€16.000000,694.780000 kg,63.050000 L,2641 km
IBZ,GVA,2019-06-14,€7.000000,282.740000 kg,29.310000 L,958 km
GVA,JMK,2019-06-16,€13.000000,521.920000 kg,48.670000 L,1914 km
JMK,TXL,2019-06-27,€13.000000,537.440000 kg,49.920000 L,1977 km
TXL,IBZ,2019-06-29,€9.000000,386.000000 kg,36.200000 L,1823 km
IBZ,GEL,2019-07-06,€71.000000,3077.180000 kg,264.590000 L,9493 km
GEL,LHR,2019-07-20,€80.000000,3459.820000 kg,297.010000 L,10366 km
LHR,IBZ,2019-07-27,€10.000000,409.710000 kg,39.580000 L,1460 km
IBZ,HCS,2019-08-17,€56.000000,2424.930000 kg,209.360000 L,7841 km
HCS,IBZ,2019-08-17,€56.000000,2424.930000 kg,209.360000 L,7841 km
IBZ,MMX,2019-08-31,€14.000000,569.220000 kg,52.560000 L,2110 km
MMX,IBZ,2019-09-01,€14.000000,569.220000 kg,52.560000 L,2110 km
IBZ,MXP,2019-09-07,€7.000000,279.000000 kg,28.600000 L,1012 km
MXP,CIA,2019-09-12,€5.000000,162.540000 kg,20.410000 L,560 km
CIA,TXL,2019-09-14,€9.000000,357.980000 kg,35.390000 L,1250 km
TXL,HCS,2019-10-04,€66.000000,2865.310000 kg,246.650000 L,8956 km
HCS,OTP,2019-10-04,€57.000000,2463.090000 kg,212.600000 L,7937 km
OTP,BCN,2019-10-18,€11.000000,444.000000 kg,41.010000 L,2031 km
BCN,AMS,2019-10-19,€9.000000,381.000000 kg,37.460000 L,1291 km
AMS,LHR,2019-11-01,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,VIY,2019-11-02,€5.000000,104.630000 kg,16.820000 L,404 km
VIY,SKP,2019-11-08,€11.000000,476.360000 kg,44.980000 L,1730 km
SKP,HAM,2019-11-09,€11.000000,444.470000 kg,42.400000 L,1601 km
MEL,SYD,2019-11-16,€112.000000,4837.000000 kg,414.430000 L,11694 km
SYD,HCS,2019-12-06,€106.000000,4602.000000 kg,394.170000 L,12102 km
HCS,LHR,2019-12-06,€68.000000,2947.580000 kg,253.620000 L,9165 km
