DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
YMX,TNT,2019-01-26,€43.000000,1844.900000 kg,160.210000 L,6308 km
TNT,YMX,2019-02-02,€43.000000,1844.900000 kg,160.210000 L,6308 km
YMX,LYN,2019-02-02,€40.000000,1705.550000 kg,148.380000 L,5920 km
LYN,LCY,2019-02-08,€6.000000,228.660000 kg,24.980000 L,786 km
LCY,ZRH,2019-02-09,€7.000000,272.000000 kg,29.360000 L,808 km
ZRH,TXL,2019-02-16,€5.000000,177.000000 kg,20.000000 L,710 km
TXL,IEV,2019-02-22,€9.000000,360.520000 kg,35.600000 L,1261 km
IEV,ORY,2019-02-23,€13.000000,560.600000 kg,51.840000 L,2074 km
ORY,LGA,2019-03-01,€39.000000,1694.110000 kg,147.410000 L,5888 km
LGA,YMX,2019-03-08,€5.000000,172.540000 kg,21.070000 L,595 km
YMX,DCA,2019-03-08,€6.000000,247.940000 kg,26.520000 L,847 km
DCA,YMX,2019-03-22,€6.000000,247.940000 kg,26.520000 L,847 km
HND,YMX,2019-05-10,€81.000000,3491.770000 kg,299.720000 L,10430 km
YMX,LGA,2019-05-10,€5.000000,172.540000 kg,21.070000 L,595 km
LGA,YHU,2019-05-11,€5.000000,179.030000 kg,21.510000 L,618 km
YHU,YMX,2019-05-26,€5.000000,18.030000 kg,4.560000 L,88 km
YMX,YQG,2019-05-26,€6.000000,251.450000 kg,26.810000 L,859 km
YQG,YMX,2019-05-31,€6.000000,251.450000 kg,26.810000 L,859 km
YMX,LBA,2019-05-31,€33.000000,1411.530000 kg,123.430000 L,5101 km
LBA,MAN,2019-06-05,€5.000000,24.570000 kg,6.220000 L,120 km
MAN,BRS,2019-06-07,€5.000000,62.000000 kg,15.690000 L,272 km
BRS,AMS,2019-06-08,€5.000000,206.000000 kg,25.310000 L,571 km
AMS,CFU,2019-06-12,€12.000000,509.190000 kg,47.640000 L,1863 km
CFU,LCY,2019-06-14,€13.000000,556.780000 kg,51.520000 L,2058 km
LCY,KAO,2019-06-20,€15.000000,624.370000 kg,57.170000 L,2344 km
KAO,SKU,2019-06-26,€19.000000,798.520000 kg,71.710000 L,3080 km
SKU,NTE,2019-06-30,€15.000000,626.900000 kg,57.380000 L,2354 km
NTE,BUD,2019-07-12,€11.000000,448.810000 kg,42.750000 L,1618 km
BUD,FRA,2019-07-13,€7.000000,263.000000 kg,27.840000 L,882 km
FRA,BRU,2019-07-20,€5.000000,85.000000 kg,15.440000 L,354 km
ORY,CGN,2019-08-02,€5.000000,131.340000 kg,18.420000 L,467 km
CGN,TXL,2019-08-03,€5.000000,124.000000 kg,16.200000 L,513 km
TXL,KNF,2019-08-08,€7.000000,292.760000 kg,30.110000 L,989 km
KNF,HEM,2019-08-11,€12.000000,518.490000 kg,48.390000 L,1900 km
HEM,AOO,2019-08-15,€48.000000,2063.720000 kg,178.770000 L,6918 km
AOO,YMX,2019-08-23,€5.000000,214.570000 kg,23.880000 L,741 km
YMX,YHU,2019-08-23,€5.000000,18.030000 kg,4.560000 L,88 km
YHU,YMX,2019-08-29,€5.000000,18.030000 kg,4.560000 L,88 km
YMX,DMA,2019-08-29,€21.000000,900.560000 kg,80.230000 L,3511 km
DMA,YMX,2019-09-12,€21.000000,900.560000 kg,80.230000 L,3511 km
YMX,SWF,2019-09-12,€5.000000,148.980000 kg,19.500000 L,513 km
SWF,YMX,2019-09-27,€5.000000,148.980000 kg,19.500000 L,513 km
YMX,YVR,2019-09-27,€22.000000,946.660000 kg,84.080000 L,3706 km
YVR,SFO,2019-09-28,€9.000000,362.000000 kg,35.440000 L,1336 km
SFO,YMX,2019-10-03,€25.000000,1054.300000 kg,93.120000 L,4106 km
YMX,BRU,2019-10-03,€37.000000,1596.010000 kg,139.090000 L,5615 km
BRU,YMX,2019-10-25,€37.000000,1596.010000 kg,139.090000 L,5615 km
YMX,EDI,2019-10-25,€31.000000,1347.350000 kg,117.980000 L,4923 km
EDI,MAN,2019-10-26,€5.000000,89.000000 kg,16.960000 L,346 km
MAN,ESH,2019-11-01,€5.000000,86.230000 kg,15.720000 L,361 km
ESH,KGD,2019-11-08,€10.000000,421.630000 kg,40.550000 L,1508 km
KGD,TLL,2019-11-09,€5.000000,185.030000 kg,21.910000 L,638 km
TLL,BLQ,2019-11-15,€13.000000,529.250000 kg,49.260000 L,1944 km
BLQ,BEG,2019-11-22,€6.000000,226.020000 kg,24.770000 L,778 km
SIR,GLA,2019-12-05,€10.000000,392.980000 kg,38.230000 L,1392 km
GLA,LPL,2019-12-06,€5.000000,80.420000 kg,15.370000 L,347 km
LPL,YMX,2019-12-28,€33.000000,1391.990000 kg,121.770000 L,5047 km
