DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
OSL,GLA,2019-01-01,€8.000000,312.900000 kg,31.740000 L,1068 km
GLA,OSL,2019-01-05,€8.000000,312.900000 kg,31.740000 L,1068 km
OSL,TXL,2019-01-05,€5.000000,215.000000 kg,22.530000 L,908 km
TXL,OSL,2019-01-26,€5.000000,215.000000 kg,22.530000 L,908 km
OSL,LEJ,2019-01-26,€7.000000,303.750000 kg,31.000000 L,1031 km
LEJ,OSL,2019-01-31,€7.000000,303.750000 kg,31.000000 L,1031 km
OSL,TXL,2019-01-31,€5.000000,215.000000 kg,22.530000 L,908 km
TXL,TBS,2019-02-02,€17.000000,705.980000 kg,63.980000 L,2689 km
TBS,BRI,2019-02-09,€15.000000,631.580000 kg,57.770000 L,2374 km
BRI,OSL,2019-02-14,€14.000000,591.910000 kg,54.460000 L,2206 km
OSL,MAD,2019-02-14,€16.000000,653.260000 kg,59.580000 L,2466 km
MAD,LCY,2019-02-15,€11.000000,437.000000 kg,42.780000 L,1305 km
LCY,DUB,2019-02-16,€5.000000,196.000000 kg,25.060000 L,526 km
DUB,OSL,2019-02-28,€10.000000,400.000000 kg,38.980000 L,1341 km
OSL,TXL,2019-02-28,€5.000000,215.000000 kg,22.530000 L,908 km
TXL,OSL,2019-03-09,€5.000000,215.000000 kg,22.530000 L,908 km
OSL,IST,2019-03-09,€14.000000,602.000000 kg,54.680000 L,2506 km
IST,OSL,2019-03-28,€14.000000,602.000000 kg,54.680000 L,2506 km
OSL,TXL,2019-03-28,€5.000000,215.000000 kg,22.530000 L,908 km
TXL,OSL,2019-04-11,€5.000000,215.000000 kg,22.530000 L,908 km
OSL,TXL,2019-04-11,€5.000000,215.000000 kg,22.530000 L,908 km
TXL,LCY,2019-04-12,€7.000000,284.090000 kg,29.420000 L,962 km
LCY,OSL,2019-04-20,€9.000000,353.140000 kg,35.000000 L,1231 km
OSL,SXF,2019-04-20,€7.000000,270.100000 kg,28.300000 L,918 km
SXF,OSL,2019-04-26,€7.000000,270.100000 kg,28.300000 L,918 km
OSL,BRU,2019-04-26,€11.000000,440.000000 kg,44.050000 L,1160 km
BRU,OSL,2019-05-03,€11.000000,440.000000 kg,44.050000 L,1160 km
OSL,AMS,2019-05-03,€7.000000,303.000000 kg,31.130000 L,1008 km
AMS,OSL,2019-05-11,€7.000000,303.000000 kg,31.130000 L,1008 km
OSL,LGA,2019-05-11,€40.000000,1721.880000 kg,149.770000 L,5966 km
LGA,SFO,2019-05-17,€25.000000,1086.830000 kg,95.880000 L,4197 km
SFO,YHU,2019-05-19,€24.000000,1042.130000 kg,92.090000 L,4072 km
YHU,GLA,2019-05-31,€31.000000,1333.050000 kg,116.770000 L,4883 km
GLA,EDI,2019-06-01,€5.000000,21.750000 kg,5.500000 L,106 km
EDI,OSL,2019-06-06,€7.000000,300.450000 kg,30.730000 L,1018 km
OSL,TXL,2019-06-06,€5.000000,215.000000 kg,22.530000 L,908 km
TXL,MST,2019-06-07,€5.000000,173.630000 kg,21.150000 L,599 km
MST,OSL,2019-06-14,€8.000000,328.870000 kg,33.040000 L,1133 km
OSL,RTM,2019-06-14,€8.000000,309.290000 kg,31.450000 L,1053 km
RTM,OSL,2019-06-15,€8.000000,309.290000 kg,31.450000 L,1053 km
OSL,VIY,2019-06-29,€10.000000,404.970000 kg,39.200000 L,1441 km
VIY,OSL,2019-07-13,€10.000000,404.970000 kg,39.200000 L,1441 km
OSL,CGH,2019-07-13,€84.000000,3645.060000 kg,312.710000 L,10737 km
CGH,OSL,2019-07-31,€84.000000,3645.060000 kg,312.710000 L,10737 km
OSL,AMS,2019-07-31,€7.000000,303.000000 kg,31.130000 L,1008 km
TXL,OSL,2019-08-17,€5.000000,215.000000 kg,22.530000 L,908 km
OSL,LYN,2019-08-18,€11.000000,471.100000 kg,44.550000 L,1708 km
LYN,OSL,2019-08-23,€11.000000,471.100000 kg,44.550000 L,1708 km
OSL,DUB,2019-08-23,€10.000000,400.000000 kg,38.980000 L,1341 km
DUB,LCY,2019-08-24,€5.000000,196.000000 kg,25.060000 L,526 km
LCY,OSL,2019-09-12,€9.000000,353.140000 kg,35.000000 L,1231 km
OSL,TXL,2019-09-12,€5.000000,215.000000 kg,22.530000 L,908 km
TXL,OSL,2019-09-21,€5.000000,215.000000 kg,22.530000 L,908 km
OSL,BOD,2019-09-21,€13.000000,525.600000 kg,48.960000 L,1929 km
BOD,TXL,2019-09-22,€10.000000,391.890000 kg,38.140000 L,1388 km
TXL,OSL,2019-09-28,€5.000000,215.000000 kg,22.530000 L,908 km
OSL,TRD,2019-09-28,€5.000000,97.000000 kg,14.930000 L,412 km
TRD,OSL,2019-10-05,€5.000000,97.000000 kg,14.930000 L,412 km
OSL,ESH,2019-10-05,€9.000000,372.400000 kg,36.560000 L,1309 km
ESH,OSL,2019-10-11,€9.000000,372.400000 kg,36.560000 L,1309 km
OSL,MAN,2019-10-11,€8.000000,319.000000 kg,31.890000 L,1159 km
MAN,LBA,2019-10-12,€5.000000,24.570000 kg,6.220000 L,120 km
LBA,OSL,2019-10-17,€8.000000,318.220000 kg,32.170000 L,1089 km
OSL,TXL,2019-10-17,€5.000000,215.000000 kg,22.530000 L,908 km
TXL,OBF,2019-10-19,€5.000000,164.930000 kg,20.570000 L,569 km
OBF,OSL,2019-10-23,€10.000000,394.080000 kg,38.320000 L,1397 km
OSL,TOS,2019-10-23,€7.000000,296.000000 kg,29.620000 L,1165 km
TOS,OSL,2019-10-25,€7.000000,296.000000 kg,29.620000 L,1165 km
OSL,FRA,2019-11-02,€8.000000,342.000000 kg,33.920000 L,1191 km
FRA,OSL,2019-11-07,€8.000000,342.000000 kg,33.920000 L,1191 km
OSL,TXL,2019-11-07,€5.000000,215.000000 kg,22.530000 L,908 km
TXL,HEM,2019-11-08,€8.000000,337.440000 kg,33.730000 L,1167 km
HEM,OSL,2019-11-16,€6.000000,239.660000 kg,25.860000 L,821 km
OSL,BGO,2019-11-16,€5.000000,82.000000 kg,14.170000 L,373 km
BGO,OSL,2019-12-12,€5.000000,82.000000 kg,14.170000 L,373 km
OSL,TXL,2019-12-12,€5.000000,215.000000 kg,22.530000 L,908 km
TXL,ZRH,2019-12-13,€5.000000,177.000000 kg,20.000000 L,710 km
ZRH,OSL,2019-12-21,€10.000000,399.000000 kg,38.480000 L,1474 km
OSL,LCY,2019-12-21,€9.000000,353.140000 kg,35.000000 L,1231 km
LCY,OSL,2019-12-25,€9.000000,353.140000 kg,35.000000 L,1231 km
OSL,CPH,2019-12-25,€5.000000,144.000000 kg,17.970000 L,552 km
CPH,OSL,2019-12-31,€5.000000,144.000000 kg,17.970000 L,552 km
