DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CGH,LCY,2019-01-19,€72.000000,3110.120000 kg,267.380000 L,9577 km
LCY,CGH,2019-02-10,€72.000000,3110.120000 kg,267.380000 L,9577 km
CGH,BNE,2019-02-10,€122.000000,5284.230000 kg,451.650000 L,14019 km
BNE,MEB,2019-02-15,€10.000000,400.090000 kg,38.800000 L,1421 km
MEB,CGH,2019-03-29,€112.000000,4852.510000 kg,415.050000 L,13154 km
CGH,MAN,2019-03-29,€72.000000,3129.940000 kg,269.060000 L,9627 km
MAN,CVT,2019-04-05,€5.000000,34.980000 kg,8.850000 L,171 km
CVT,BRS,2019-04-06,€5.000000,38.440000 kg,9.730000 L,188 km
BRS,INN,2019-04-08,€8.000000,337.110000 kg,33.700000 L,1166 km
INN,NQY,2019-04-20,€9.000000,369.990000 kg,36.360000 L,1299 km
NQY,MAN,2019-04-21,€5.000000,115.590000 kg,17.480000 L,430 km
MAN,ITM,2019-04-29,€71.000000,3064.580000 kg,263.530000 L,9461 km
CGH,BBU,2019-05-17,€83.000000,3589.280000 kg,307.980000 L,10625 km
BBU,GVA,2019-05-24,€11.000000,448.990000 kg,42.760000 L,1619 km
GVA,LCY,2019-05-25,€7.000000,266.000000 kg,29.110000 L,782 km
LCY,CGH,2019-06-15,€72.000000,3110.120000 kg,267.380000 L,9577 km
ITM,GLO,2019-07-05,€72.000000,3116.080000 kg,267.890000 L,9592 km
GLO,CRL,2019-07-11,€5.000000,156.310000 kg,19.990000 L,539 km
CRL,YEO,2019-07-12,€5.000000,160.070000 kg,20.240000 L,552 km
YEO,LCY,2019-07-19,€5.000000,50.200000 kg,12.700000 L,246 km
LCY,TXL,2019-07-20,€7.000000,284.090000 kg,29.420000 L,962 km
TXL,ITM,2019-07-31,€66.000000,2829.600000 kg,243.630000 L,8866 km
ITM,KGD,2019-08-02,€61.000000,2627.350000 kg,226.500000 L,8353 km
KGD,CGH,2019-08-24,€86.000000,3700.320000 kg,317.400000 L,10847 km
SDU,CGH,2019-09-13,€5.000000,81.000000 kg,12.400000 L,415 km
CGH,LPL,2019-09-13,€72.000000,3119.320000 kg,268.160000 L,9600 km
LPL,AMS,2019-09-14,€5.000000,206.000000 kg,25.310000 L,571 km
AMS,LCY,2019-09-21,€5.000000,103.000000 kg,17.210000 L,383 km
LCY,CGH,2019-10-25,€72.000000,3110.120000 kg,267.380000 L,9577 km
CGH,LCY,2019-10-25,€72.000000,3110.120000 kg,267.380000 L,9577 km
LCY,ITM,2019-10-30,€72.000000,3095.460000 kg,266.140000 L,9540 km
ITM,PRG,2019-11-01,€67.000000,2884.720000 kg,248.300000 L,9006 km
PRG,LIS,2019-11-09,€14.000000,585.000000 kg,53.670000 L,2277 km
LIS,BRS,2019-11-16,€10.000000,429.610000 kg,41.190000 L,1540 km
BRS,LBA,2019-11-22,€5.000000,69.000000 kg,17.460000 L,335 km
LBA,ITM,2019-11-27,€70.000000,3036.770000 kg,261.170000 L,9391 km
