DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
DTW,DET,2019-02-14,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-03-08,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,DET,2019-03-08,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-04-05,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,LGA,2019-04-05,€6.000000,250.000000 kg,26.580000 L,855 km
LGA,ATL,2019-04-06,€8.000000,321.000000 kg,31.640000 L,1273 km
ATL,DTW,2019-05-10,€6.000000,260.000000 kg,26.580000 L,1006 km
DTW,DET,2019-05-10,€5.000000,17.360000 kg,4.390000 L,85 km
DET,SFO,2019-05-11,€21.000000,878.690000 kg,78.400000 L,3419 km
SFO,DTW,2019-05-19,€18.000000,751.000000 kg,66.830000 L,3386 km
DET,YQG,2019-05-26,€5.000000,13.270000 kg,3.350000 L,65 km
YQG,DET,2019-05-27,€5.000000,13.270000 kg,3.350000 L,65 km
DET,YQG,2019-05-28,€5.000000,13.270000 kg,3.350000 L,65 km
YQG,DTW,2019-06-29,€5.000000,16.730000 kg,4.230000 L,82 km
DTW,LGA,2019-06-29,€6.000000,250.000000 kg,26.580000 L,855 km
LGA,DTW,2019-07-06,€6.000000,250.000000 kg,26.580000 L,855 km
DTW,DET,2019-07-06,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-07-14,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,DEN,2019-07-14,€12.000000,484.000000 kg,45.310000 L,1851 km
DEN,DTW,2019-07-19,€12.000000,484.000000 kg,45.310000 L,1851 km
DTW,LGA,2019-07-19,€6.000000,250.000000 kg,26.580000 L,855 km
LGA,DTW,2019-08-02,€6.000000,250.000000 kg,26.580000 L,855 km
DTW,YQG,2019-08-02,€5.000000,16.730000 kg,4.230000 L,82 km
YQG,DTW,2019-08-10,€5.000000,16.730000 kg,4.230000 L,82 km
DTW,DET,2019-08-10,€5.000000,17.360000 kg,4.390000 L,85 km
DET,DTW,2019-09-06,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,LGA,2019-09-06,€6.000000,250.000000 kg,26.580000 L,855 km
LGA,DET,2019-09-07,€6.000000,242.760000 kg,26.110000 L,831 km
DET,DTW,2019-09-20,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,SFO,2019-09-20,€18.000000,751.000000 kg,66.830000 L,3386 km
SFO,DET,2019-09-21,€21.000000,878.690000 kg,78.400000 L,3419 km
DET,DTW,2019-10-05,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,DEN,2019-10-05,€12.000000,484.000000 kg,45.310000 L,1851 km
DEN,DTW,2019-10-17,€12.000000,484.000000 kg,45.310000 L,1851 km
DTW,BOS,2019-10-17,€7.000000,264.000000 kg,26.830000 L,1064 km
BOS,DET,2019-10-18,€8.000000,304.870000 kg,31.090000 L,1035 km
DET,DTW,2019-11-02,€5.000000,17.360000 kg,4.390000 L,85 km
DTW,ABQ,2019-11-02,€14.000000,593.840000 kg,54.620000 L,2214 km
ABQ,DTW,2019-11-16,€14.000000,593.840000 kg,54.620000 L,2214 km
DTW,LGA,2019-11-16,€6.000000,250.000000 kg,26.580000 L,855 km
LGA,DTW,2019-11-22,€6.000000,250.000000 kg,26.580000 L,855 km
DTW,YIP,2019-11-22,€5.000000,11.090000 kg,2.800000 L,54 km
YIP,DTW,2019-12-07,€5.000000,11.090000 kg,2.800000 L,54 km
DTW,TNT,2019-12-07,€50.000000,2146.850000 kg,185.820000 L,7136 km
TNT,DTW,2019-12-27,€50.000000,2146.850000 kg,185.820000 L,7136 km
