DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LHR,ESS,2019-01-12,€5.000000,164.380000 kg,20.530000 L,567 km
ESS,LHR,2019-01-26,€5.000000,164.380000 kg,20.530000 L,567 km
LHR,TXL,2019-01-26,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,LHR,2019-02-01,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,WAW,2019-02-01,€10.000000,431.000000 kg,41.260000 L,1518 km
AMS,LHR,2019-02-15,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,ORY,2019-02-15,€5.000000,110.180000 kg,17.150000 L,417 km
ORY,LHR,2019-03-07,€5.000000,110.180000 kg,17.150000 L,417 km
LHR,ENC,2019-03-07,€6.000000,247.130000 kg,26.460000 L,845 km
ENC,LHR,2019-03-09,€6.000000,247.130000 kg,26.460000 L,845 km
LHR,RTM,2019-03-15,€5.000000,99.050000 kg,16.490000 L,391 km
RTM,LHR,2019-03-29,€5.000000,99.050000 kg,16.490000 L,391 km
LHR,TXL,2019-03-29,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,LHR,2019-04-21,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,AMS,2019-04-21,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,LHR,2019-05-07,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,ENC,2019-05-07,€6.000000,247.130000 kg,26.460000 L,845 km
ENC,LHR,2019-05-17,€6.000000,247.130000 kg,26.460000 L,845 km
LHR,BCN,2019-05-17,€7.000000,297.000000 kg,29.620000 L,1197 km
BCN,RTM,2019-05-18,€9.000000,357.490000 kg,35.350000 L,1248 km
RTM,LHR,2019-06-01,€5.000000,99.050000 kg,16.490000 L,391 km
LHR,AAH,2019-06-01,€5.000000,150.600000 kg,19.610000 L,519 km
AAH,LHR,2019-06-08,€5.000000,150.600000 kg,19.610000 L,519 km
LHR,LIS,2019-06-08,€9.000000,389.000000 kg,36.960000 L,1614 km
LIS,LHR,2019-06-14,€9.000000,389.000000 kg,36.960000 L,1614 km
LHR,TXL,2019-06-14,€7.000000,263.000000 kg,27.080000 L,995 km
TXL,LHR,2019-06-22,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,VIE,2019-06-22,€8.000000,316.000000 kg,30.880000 L,1323 km
VIE,LHR,2019-06-29,€8.000000,316.000000 kg,30.880000 L,1323 km
LHR,AMS,2019-06-29,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,LHR,2019-07-12,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,HND,2019-07-12,€73.000000,3139.550000 kg,269.870000 L,9651 km
HND,AMS,2019-07-20,€70.000000,3030.380000 kg,260.630000 L,9375 km
AMS,LHR,2019-07-27,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,NUE,2019-07-27,€7.000000,262.970000 kg,27.730000 L,895 km
NUE,LHR,2019-08-02,€7.000000,262.970000 kg,27.730000 L,895 km
LHR,HHN,2019-08-02,€5.000000,179.240000 kg,21.520000 L,618 km
HHN,LHR,2019-08-09,€5.000000,179.240000 kg,21.520000 L,618 km
LHR,HOQ,2019-08-09,€7.000000,273.030000 kg,28.530000 L,927 km
HOQ,NAP,2019-08-10,€8.000000,324.660000 kg,32.690000 L,1116 km
NAP,LHR,2019-09-07,€11.000000,464.310000 kg,44.000000 L,1681 km
LHR,OBF,2019-09-07,€7.000000,287.530000 kg,29.700000 L,973 km
OBF,LHR,2019-09-21,€7.000000,287.530000 kg,29.700000 L,973 km
LHR,FLR,2019-09-21,€9.000000,362.610000 kg,35.770000 L,1269 km
FLR,LHR,2019-09-26,€9.000000,362.610000 kg,35.770000 L,1269 km
LHR,MEL,2019-09-26,€41.000000,1767.000000 kg,154.170000 L,5564 km
AMS,LHR,2019-10-05,€5.000000,105.000000 kg,15.940000 L,417 km
LHR,CGN,2019-10-25,€5.000000,161.000000 kg,19.490000 L,583 km
CGN,LHR,2019-10-31,€5.000000,161.000000 kg,19.490000 L,583 km
LHR,POZ,2019-10-31,€9.000000,354.870000 kg,35.140000 L,1238 km
POZ,TXL,2019-11-01,€5.000000,62.010000 kg,13.920000 L,290 km
TXL,GLA,2019-11-02,€9.000000,356.890000 kg,35.300000 L,1246 km
GLA,LHR,2019-11-15,€5.000000,155.000000 kg,18.480000 L,604 km
LHR,AMS,2019-11-15,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,BUD,2019-11-16,€8.000000,335.000000 kg,33.160000 L,1217 km
BUD,LHR,2019-11-22,€9.000000,377.000000 kg,35.940000 L,1535 km
LHR,SKU,2019-11-22,€15.000000,647.540000 kg,59.100000 L,2442 km
SKU,LHR,2019-11-29,€15.000000,647.540000 kg,59.100000 L,2442 km
