DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
LGW,NOB,2019-01-02,€66.000000,2841.850000 kg,244.670000 L,8897 km
NOB,CZM,2019-01-11,€9.000000,358.350000 kg,35.420000 L,1252 km
CZM,LGW,2019-02-01,€58.000000,2520.740000 kg,217.480000 L,8083 km
LGW,MXP,2019-02-01,€7.000000,280.110000 kg,29.100000 L,949 km
MXP,RMI,2019-02-02,€5.000000,104.480000 kg,16.810000 L,404 km
RMI,LGW,2019-02-08,€9.000000,368.310000 kg,36.230000 L,1292 km
LGW,AUH,2019-02-08,€36.000000,1563.400000 kg,136.320000 L,5524 km
AUH,SYD,2019-02-16,€5.000000,10.200000 kg,2.580000 L,50 km
SYD,DPS,2019-02-17,€106.000000,4602.000000 kg,394.170000 L,12102 km
DPS,HKG,2019-02-21,€23.000000,975.000000 kg,86.830000 L,3500 km
HKG,HND,2019-02-22,€21.000000,905.000000 kg,81.260000 L,2952 km
HND,ARN,2019-03-01,€60.000000,2577.020000 kg,222.240000 L,8226 km
ARN,VIY,2019-03-02,€11.000000,451.150000 kg,42.940000 L,1628 km
VIY,LGW,2019-03-06,€5.000000,87.460000 kg,15.790000 L,364 km
LGW,VIY,2019-03-06,€5.000000,87.460000 kg,15.790000 L,364 km
VIY,LGW,2019-03-14,€5.000000,87.460000 kg,15.790000 L,364 km
LGW,LHR,2019-03-14,€5.000000,18.500000 kg,4.680000 L,90 km
LHR,AMS,2019-03-16,€5.000000,105.000000 kg,15.940000 L,417 km
AMS,LGW,2019-03-22,€5.000000,97.000000 kg,14.930000 L,412 km
LGW,NTR,2019-03-22,€62.000000,2691.010000 kg,231.900000 L,8515 km
NTR,LAS,2019-03-23,€12.000000,510.740000 kg,47.760000 L,1869 km
LAS,LHR,2019-03-26,€59.000000,2534.000000 kg,218.480000 L,8443 km
LHR,LGW,2019-04-25,€5.000000,18.500000 kg,4.680000 L,90 km
LGW,CND,2019-04-25,€15.000000,620.410000 kg,56.840000 L,2327 km
CND,SDV,2019-04-26,€10.000000,417.960000 kg,40.250000 L,1493 km
SDV,LHR,2019-04-27,€22.000000,927.900000 kg,82.510000 L,3627 km
LHR,LGW,2019-05-08,€5.000000,18.500000 kg,4.680000 L,90 km
LGW,BFL,2019-05-08,€65.000000,2784.830000 kg,239.840000 L,8752 km
BFL,DEN,2019-05-09,€11.000000,459.000000 kg,44.300000 L,1405 km
DEN,CIA,2019-05-16,€67.000000,2886.490000 kg,248.450000 L,9010 km
CIA,LGW,2019-05-20,€10.000000,408.760000 kg,39.500000 L,1456 km
LGW,IBZ,2019-05-20,€9.000000,383.000000 kg,36.960000 L,1418 km
IBZ,YTZ,2019-05-22,€45.000000,1932.980000 kg,167.680000 L,6554 km
YTZ,YHU,2019-05-23,€5.000000,148.660000 kg,19.480000 L,512 km
YHU,SWF,2019-05-24,€5.000000,155.310000 kg,19.920000 L,535 km
SWF,DET,2019-05-25,€6.000000,232.840000 kg,25.310000 L,800 km
DET,BUR,2019-05-26,€20.000000,837.360000 kg,74.950000 L,3244 km
BUR,LAS,2019-05-27,€5.000000,105.880000 kg,16.900000 L,407 km
LAS,SCL,2019-05-30,€67.000000,2912.090000 kg,250.620000 L,9075 km
SCL,TXL,2019-06-07,€106.000000,4573.510000 kg,391.410000 L,12596 km
TXL,LGW,2019-06-10,€7.000000,292.490000 kg,30.090000 L,988 km
LGW,IBZ,2019-06-10,€9.000000,383.000000 kg,36.960000 L,1418 km
IBZ,LGW,2019-06-13,€9.000000,383.000000 kg,36.960000 L,1418 km
LGW,HRG,2019-06-13,€24.000000,1005.690000 kg,89.010000 L,3956 km
HRG,IST,2019-06-14,€11.000000,465.260000 kg,44.080000 L,1685 km
IST,ZRH,2019-06-28,€10.000000,418.000000 kg,39.240000 L,1811 km
ZRH,LGW,2019-07-02,€6.000000,234.460000 kg,25.440000 L,805 km
