DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CDG,MAN,2019-02-09,€5.000000,172.000000 kg,20.250000 L,637 km
MAN,CDG,2019-02-23,€5.000000,172.000000 kg,20.250000 L,637 km
CDG,LBA,2019-02-23,€5.000000,192.030000 kg,22.380000 L,663 km
LBA,LIS,2019-02-24,€12.000000,499.610000 kg,46.860000 L,1824 km
LIS,CDG,2019-03-03,€9.000000,362.000000 kg,34.680000 L,1518 km
CDG,IBZ,2019-03-03,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,CDG,2019-03-10,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,TXL,2019-03-10,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,CDG,2019-03-15,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,CLO,2019-03-15,€67.000000,2877.100000 kg,247.650000 L,8986 km
CLO,LGA,2019-03-16,€26.000000,1095.620000 kg,96.620000 L,4221 km
LGA,ANR,2019-03-23,€40.000000,1707.610000 kg,148.560000 L,5926 km
ANR,CDG,2019-03-29,€5.000000,72.250000 kg,14.860000 L,327 km
CDG,LCY,2019-03-29,€5.000000,94.010000 kg,16.190000 L,379 km
LCY,CDG,2019-04-07,€5.000000,94.010000 kg,16.190000 L,379 km
CDG,IBZ,2019-04-07,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,CDG,2019-04-10,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,LIN,2019-04-10,€5.000000,185.000000 kg,21.010000 L,694 km
LIN,CDG,2019-04-18,€5.000000,185.000000 kg,21.010000 L,694 km
MEB,SYD,2019-04-21,€6.000000,218.980000 kg,24.200000 L,756 km
LIS,ORY,2019-05-03,€9.000000,370.000000 kg,35.440000 L,1487 km
ORY,CDG,2019-05-10,€5.000000,17.450000 kg,4.410000 L,85 km
CDG,ORY,2019-05-10,€5.000000,17.450000 kg,4.410000 L,85 km
ORY,IBZ,2019-05-12,€8.000000,332.960000 kg,33.370000 L,1149 km
IBZ,CDG,2019-05-17,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,MLH,2019-05-17,€5.000000,115.620000 kg,17.480000 L,430 km
MLH,CDG,2019-05-31,€5.000000,115.620000 kg,17.480000 L,430 km
CDG,NCL,2019-05-31,€7.000000,266.000000 kg,29.110000 L,779 km
NCL,RLG,2019-06-02,€7.000000,283.880000 kg,29.400000 L,961 km
RLG,CDG,2019-06-09,€7.000000,269.700000 kg,28.270000 L,916 km
CDG,IBZ,2019-06-09,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,CDG,2019-06-23,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,LIS,2019-06-23,€9.000000,362.000000 kg,34.680000 L,1518 km
LIS,CDG,2019-06-29,€9.000000,362.000000 kg,34.680000 L,1518 km
CDG,ORY,2019-06-29,€5.000000,17.450000 kg,4.410000 L,85 km
ORY,AMS,2019-06-30,€5.000000,138.740000 kg,18.860000 L,485 km
AMS,CDG,2019-07-12,€5.000000,111.000000 kg,15.940000 L,448 km
CDG,IBZ,2019-07-12,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,CDG,2019-07-20,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,BCN,2019-07-20,€6.000000,219.000000 kg,23.030000 L,908 km
BCN,IBZ,2019-07-21,€5.000000,47.000000 kg,11.890000 L,324 km
IBZ,CDG,2019-08-10,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,LCY,2019-08-10,€5.000000,94.010000 kg,16.190000 L,379 km
LCY,CDG,2019-09-28,€5.000000,94.010000 kg,16.190000 L,379 km
CDG,HRT,2019-09-28,€5.000000,193.620000 kg,22.480000 L,668 km
HRT,CDG,2019-10-09,€5.000000,193.620000 kg,22.480000 L,668 km
CDG,IBZ,2019-10-09,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,CDG,2019-10-12,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,VIY,2019-10-12,€5.000000,17.960000 kg,4.540000 L,88 km
VIY,CDG,2019-11-09,€5.000000,17.960000 kg,4.540000 L,88 km
CDG,DCA,2019-11-09,€42.000000,1817.470000 kg,157.880000 L,6232 km
DCA,LIS,2019-11-15,€39.000000,1659.920000 kg,144.510000 L,5793 km
LIS,CDG,2019-11-24,€9.000000,362.000000 kg,34.680000 L,1518 km
CDG,TXL,2019-11-24,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,CDG,2019-11-29,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,LCY,2019-11-29,€5.000000,94.010000 kg,16.190000 L,379 km
LCY,CDG,2019-12-08,€5.000000,94.010000 kg,16.190000 L,379 km
CDG,IBZ,2019-12-08,€8.000000,341.440000 kg,34.050000 L,1183 km
IBZ,CDG,2019-12-20,€8.000000,341.440000 kg,34.050000 L,1183 km
CDG,PMI,2019-12-20,€8.000000,321.670000 kg,32.450000 L,1103 km
PMI,CDG,2019-12-28,€8.000000,321.670000 kg,32.450000 L,1103 km
