DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
BNA,TXL,2019-01-18,€54.000000,2314.530000 kg,200.020000 L,7561 km
TXL,LHR,2019-01-25,€7.000000,263.000000 kg,27.080000 L,995 km
LHR,CDG,2019-01-31,€5.000000,87.000000 kg,13.920000 L,396 km
CDG,TXL,2019-02-01,€6.000000,233.000000 kg,24.550000 L,900 km
TXL,BNA,2019-03-16,€54.000000,2314.530000 kg,200.020000 L,7561 km
BNA,GRU,2019-03-16,€57.000000,2453.170000 kg,211.760000 L,7912 km
GRU,BNA,2019-03-30,€57.000000,2453.170000 kg,211.760000 L,7912 km
BNA,LHR,2019-03-30,€47.000000,2010.580000 kg,174.270000 L,6770 km
LHR,BNA,2019-05-18,€47.000000,2010.580000 kg,174.270000 L,6770 km
BNA,OTP,2019-05-18,€65.000000,2822.090000 kg,243.000000 L,8847 km
OTP,TXL,2019-05-22,€9.000000,382.000000 kg,37.340000 L,1348 km
TXL,LGA,2019-05-24,€44.000000,1885.170000 kg,163.630000 L,6421 km
LGA,DET,2019-05-25,€6.000000,242.760000 kg,26.110000 L,831 km
DET,BNA,2019-05-31,€6.000000,237.930000 kg,25.720000 L,816 km
BNA,LHR,2019-05-31,€47.000000,2010.580000 kg,174.270000 L,6770 km
LHR,BNA,2019-06-21,€47.000000,2010.580000 kg,174.270000 L,6770 km
BNA,AMS,2019-06-21,€49.000000,2117.920000 kg,183.370000 L,7063 km
AMS,TXL,2019-06-22,€5.000000,183.000000 kg,21.770000 L,628 km
TXL,BNA,2019-07-27,€54.000000,2314.530000 kg,200.020000 L,7561 km
BNA,ATL,2019-07-27,€5.000000,97.000000 kg,15.690000 L,393 km
ATL,BNA,2019-08-03,€5.000000,97.000000 kg,15.690000 L,393 km
BNA,DET,2019-08-03,€6.000000,237.930000 kg,25.720000 L,816 km
DET,BNA,2019-09-14,€6.000000,237.930000 kg,25.720000 L,816 km
BNA,TXL,2019-09-14,€54.000000,2314.530000 kg,200.020000 L,7561 km
TXL,BNA,2019-10-27,€54.000000,2314.530000 kg,200.020000 L,7561 km
BNA,BFI,2019-10-27,€20.000000,833.920000 kg,74.660000 L,3230 km
BFI,BNA,2019-10-30,€20.000000,833.920000 kg,74.660000 L,3230 km
BNA,SFO,2019-10-30,€20.000000,830.180000 kg,74.350000 L,3214 km
SFO,DCA,2019-11-01,€24.000000,1010.480000 kg,89.410000 L,3976 km
DCA,BNA,2019-11-30,€9.000000,352.000000 kg,36.700000 L,951 km
BNA,DET,2019-11-30,€6.000000,237.930000 kg,25.720000 L,816 km
DET,BNA,2019-12-21,€6.000000,237.930000 kg,25.720000 L,816 km
