DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,LPL,2019-01-25,€8.000000,333.200000 kg,33.380000 L,1150 km
LPL,SXF,2019-02-15,€8.000000,333.200000 kg,33.380000 L,1150 km
TXL,SXF,2019-02-21,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-02-21,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-03-16,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TAR,2019-03-16,€10.000000,398.780000 kg,38.700000 L,1416 km
TAR,SXF,2019-03-21,€10.000000,398.780000 kg,38.700000 L,1416 km
SXF,TXL,2019-03-21,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-03-30,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,LHR,2019-03-30,€7.000000,299.160000 kg,30.630000 L,1012 km
LHR,SXF,2019-04-13,€7.000000,299.160000 kg,30.630000 L,1012 km
SXF,CDG,2019-04-13,€7.000000,268.370000 kg,28.160000 L,912 km
CDG,SXF,2019-04-25,€7.000000,268.370000 kg,28.160000 L,912 km
SXF,TXL,2019-04-25,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-05-03,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,HLP,2019-05-03,€86.000000,3701.820000 kg,317.520000 L,10850 km
HLP,SXF,2019-05-18,€86.000000,3701.820000 kg,317.520000 L,10850 km
SXF,HND,2019-05-18,€67.000000,2878.300000 kg,247.750000 L,8989 km
HND,NGO,2019-05-19,€5.000000,67.710000 kg,14.440000 L,310 km
NGO,TXL,2019-05-23,€66.000000,2839.790000 kg,244.490000 L,8892 km
TXL,AMS,2019-05-25,€5.000000,183.000000 kg,21.770000 L,628 km
AMS,SXF,2019-06-13,€5.000000,186.040000 kg,21.980000 L,642 km
SXF,TXL,2019-06-13,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,CDG,2019-06-15,€6.000000,233.000000 kg,24.550000 L,900 km
CDG,SXF,2019-06-29,€7.000000,268.370000 kg,28.160000 L,912 km
SXF,HEM,2019-06-29,€8.000000,336.870000 kg,33.680000 L,1165 km
HEM,SXF,2019-07-25,€8.000000,336.870000 kg,33.680000 L,1165 km
SXF,TXL,2019-07-25,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-07-28,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-07-28,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-08-02,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,ARN,2019-08-02,€7.000000,261.670000 kg,27.620000 L,891 km
ARN,SXF,2019-08-10,€7.000000,261.670000 kg,27.620000 L,891 km
SXF,OBF,2019-08-10,€5.000000,164.220000 kg,20.520000 L,566 km
OBF,SXF,2019-08-17,€5.000000,164.220000 kg,20.520000 L,566 km
SXF,DUB,2019-08-17,€9.000000,388.500000 kg,37.860000 L,1374 km
DUB,SXF,2019-08-22,€9.000000,388.500000 kg,37.860000 L,1374 km
SXF,RNB,2019-08-22,€5.000000,138.300000 kg,18.830000 L,484 km
RNB,SXF,2019-08-29,€5.000000,138.300000 kg,18.830000 L,484 km
SXF,TXL,2019-08-29,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-09-14,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-09-14,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-09-26,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-09-26,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,LIS,2019-09-27,€15.000000,627.560000 kg,57.430000 L,2357 km
LIS,CDG,2019-09-28,€9.000000,362.000000 kg,34.680000 L,1518 km
CDG,SXF,2019-10-18,€7.000000,268.370000 kg,28.160000 L,912 km
SXF,MXP,2019-10-18,€7.000000,261.190000 kg,27.580000 L,889 km
MXP,SXF,2019-10-24,€7.000000,261.190000 kg,27.580000 L,889 km
SXF,TXL,2019-10-24,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-11-02,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,LPL,2019-11-02,€8.000000,333.200000 kg,33.380000 L,1150 km
LPL,SXF,2019-11-15,€8.000000,333.200000 kg,33.380000 L,1150 km
SXF,CPH,2019-11-15,€5.000000,103.130000 kg,16.730000 L,401 km
CPH,SXF,2019-11-28,€5.000000,103.130000 kg,16.730000 L,401 km
SXF,TXL,2019-11-28,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,ARN,2019-11-30,€6.000000,233.000000 kg,24.810000 L,888 km
ARN,SXF,2019-12-07,€7.000000,261.670000 kg,27.620000 L,891 km
SXF,CDG,2019-12-07,€7.000000,268.370000 kg,28.160000 L,912 km
CDG,SXF,2019-12-20,€7.000000,268.370000 kg,28.160000 L,912 km
SXF,SOF,2019-12-20,€9.000000,386.710000 kg,37.720000 L,1367 km
SOF,TXL,2019-12-21,€11.000000,462.000000 kg,44.810000 L,1379 km
TXL,SXF,2019-12-26,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,TXL,2019-12-26,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-12-31,€5.000000,13.420000 kg,3.390000 L,65 km
