DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
CAG,TXL,2019-01-18,€11.000000,436.260000 kg,41.730000 L,1567 km
TXL,CAG,2019-02-08,€11.000000,436.260000 kg,41.730000 L,1567 km
CAG,VIC,2019-02-08,€6.000000,227.020000 kg,24.850000 L,781 km
VIC,CAG,2019-03-16,€6.000000,227.020000 kg,24.850000 L,781 km
CAG,AVB,2019-03-16,€6.000000,252.510000 kg,26.890000 L,862 km
AVB,CAG,2019-04-04,€6.000000,252.510000 kg,26.890000 L,862 km
CAG,FLR,2019-04-04,€5.000000,170.120000 kg,20.910000 L,587 km
FLR,CAG,2019-04-11,€5.000000,170.120000 kg,20.910000 L,587 km
CAG,MXP,2019-04-11,€6.000000,220.500000 kg,24.320000 L,761 km
MXP,LHR,2019-04-12,€7.000000,266.000000 kg,27.340000 L,985 km
LHR,CAG,2019-04-20,€11.000000,443.630000 kg,42.330000 L,1597 km
CAG,TXL,2019-04-20,€11.000000,436.260000 kg,41.730000 L,1567 km
TXL,CAG,2019-04-25,€11.000000,436.260000 kg,41.730000 L,1567 km
CAG,RMI,2019-04-25,€5.000000,190.260000 kg,22.260000 L,657 km
RMI,CAG,2019-05-31,€5.000000,190.260000 kg,22.260000 L,657 km
CAG,VIC,2019-05-31,€6.000000,227.020000 kg,24.850000 L,781 km
VIC,CAG,2019-06-07,€6.000000,227.020000 kg,24.850000 L,781 km
CAG,MXP,2019-06-07,€6.000000,220.500000 kg,24.320000 L,761 km
MXP,CAG,2019-06-26,€6.000000,220.500000 kg,24.320000 L,761 km
CAG,ARN,2019-06-26,€15.000000,638.880000 kg,58.380000 L,2405 km
ARN,CAG,2019-08-04,€15.000000,638.880000 kg,58.380000 L,2405 km
CAG,NAP,2019-08-04,€5.000000,154.040000 kg,19.840000 L,531 km
NAP,CAG,2019-08-09,€5.000000,154.040000 kg,19.840000 L,531 km
CAG,PSR,2019-08-09,€5.000000,177.610000 kg,21.410000 L,613 km
PSR,CAG,2019-09-06,€5.000000,177.610000 kg,21.410000 L,613 km
CAG,PEG,2019-09-06,€5.000000,164.480000 kg,20.540000 L,567 km
PEG,CAG,2019-09-21,€5.000000,164.480000 kg,20.540000 L,567 km
CAG,LYN,2019-09-21,€6.000000,247.360000 kg,26.480000 L,846 km
LYN,CAG,2019-11-09,€6.000000,247.360000 kg,26.480000 L,846 km
CAG,NAP,2019-11-09,€5.000000,154.040000 kg,19.840000 L,531 km
NAP,CAG,2019-11-22,€5.000000,154.040000 kg,19.840000 L,531 km
CAG,SFO,2019-11-22,€78.000000,3374.390000 kg,289.770000 L,10195 km
SFO,CAG,2019-12-20,€78.000000,3374.390000 kg,289.770000 L,10195 km
CAG,LHR,2019-12-20,€11.000000,443.630000 kg,42.330000 L,1597 km
LHR,CAG,2019-12-25,€11.000000,443.630000 kg,42.330000 L,1597 km
