DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
JFK,LGA,2019-01-01,€5.000000,13.550000 kg,3.430000 L,66 km
LGA,JFK,2019-01-04,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,BUR,2019-01-04,€24.000000,1020.290000 kg,90.230000 L,4011 km
BUR,JFK,2019-01-20,€24.000000,1020.290000 kg,90.230000 L,4011 km
JFK,LGA,2019-01-20,€5.000000,13.550000 kg,3.430000 L,66 km
LGA,JFK,2019-01-26,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,NAP,2019-01-26,€50.000000,2141.690000 kg,185.380000 L,7123 km
NAP,LGA,2019-01-31,€50.000000,2140.900000 kg,185.320000 L,7121 km
LGA,JFK,2019-02-07,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,HHR,2019-02-07,€24.000000,1024.890000 kg,90.620000 L,4024 km
HHR,SFO,2019-02-08,€5.000000,173.730000 kg,21.150000 L,599 km
SFO,JFK,2019-02-17,€30.000000,1271.000000 kg,112.150000 L,4200 km
JFK,LGA,2019-02-17,€5.000000,13.550000 kg,3.430000 L,66 km
LGA,JFK,2019-02-23,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,MLH,2019-02-23,€43.000000,1831.460000 kg,159.070000 L,6271 km
MLH,MBO,2019-03-01,€83.000000,3595.690000 kg,308.530000 L,10638 km
MBO,MEL,2019-03-08,€49.000000,2123.940000 kg,183.880000 L,7078 km
MEL,SYD,2019-03-09,€112.000000,4837.000000 kg,414.430000 L,11694 km
SYD,MEL,2019-03-15,€106.000000,4602.000000 kg,394.170000 L,12102 km
MEL,SYD,2019-03-16,€112.000000,4837.000000 kg,414.430000 L,11694 km
LGA,MBJ,2019-03-26,€16.000000,675.160000 kg,61.410000 L,2558 km
MBJ,JFK,2019-04-13,€13.000000,558.000000 kg,50.630000 L,2541 km
JFK,LGA,2019-04-13,€5.000000,13.550000 kg,3.430000 L,66 km
LGA,JFK,2019-04-26,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,NGO,2019-04-26,€88.000000,3813.840000 kg,327.020000 L,11074 km
NGO,HND,2019-05-02,€5.000000,67.710000 kg,14.440000 L,310 km
HND,JFK,2019-05-25,€87.000000,3745.790000 kg,321.250000 L,10938 km
JFK,LGA,2019-05-25,€5.000000,13.550000 kg,3.430000 L,66 km
LGA,JFK,2019-06-07,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,ARN,2019-06-07,€35.000000,1483.000000 kg,128.860000 L,6338 km
ARN,YTZ,2019-06-08,€43.000000,1864.350000 kg,161.860000 L,6363 km
YTZ,JFK,2019-06-16,€5.000000,179.910000 kg,21.570000 L,621 km
JFK,LGA,2019-06-16,€5.000000,13.550000 kg,3.430000 L,66 km
LGA,JFK,2019-06-23,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,LGA,2019-06-23,€5.000000,13.550000 kg,3.430000 L,66 km
LGA,JFK,2019-06-30,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,LGA,2019-06-30,€5.000000,13.550000 kg,3.430000 L,66 km
LGA,JFK,2019-07-03,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,LGA,2019-07-03,€5.000000,13.550000 kg,3.430000 L,66 km
LGA,JFK,2019-07-21,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,LGA,2019-07-21,€5.000000,13.550000 kg,3.430000 L,66 km
LGA,JFK,2019-07-27,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,LGA,2019-07-27,€5.000000,13.550000 kg,3.430000 L,66 km
LGA,JFK,2019-07-31,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,AMS,2019-07-31,€38.000000,1646.000000 kg,143.290000 L,5894 km
AMS,JFK,2019-08-16,€38.000000,1646.000000 kg,143.290000 L,5894 km
LGA,JFK,2019-08-24,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,CDG,2019-08-24,€37.000000,1598.000000 kg,138.980000 L,5879 km
CDG,LGA,2019-08-25,€39.000000,1693.720000 kg,147.380000 L,5887 km
LGA,JFK,2019-08-31,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,LHR,2019-08-31,€40.000000,1704.000000 kg,148.600000 L,5586 km
LHR,LGA,2019-09-12,€37.000000,1587.960000 kg,138.400000 L,5593 km
LGA,JFK,2019-09-15,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,SFO,2019-09-15,€30.000000,1271.000000 kg,112.150000 L,4200 km
SFO,JFK,2019-09-22,€30.000000,1271.000000 kg,112.150000 L,4200 km
JFK,LGA,2019-09-22,€5.000000,13.550000 kg,3.430000 L,66 km
LGA,JFK,2019-10-13,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,LGA,2019-10-13,€5.000000,13.550000 kg,3.430000 L,66 km
LGA,JFK,2019-10-17,€5.000000,13.550000 kg,3.430000 L,66 km
JFK,AMS,2019-10-17,€38.000000,1646.000000 kg,143.290000 L,5894 km
AMS,LIS,2019-10-18,€12.000000,515.000000 kg,48.100000 L,1894 km
LIS,JFK,2019-11-02,€36.000000,1540.910000 kg,134.410000 L,5462 km
JFK,LPL,2019-11-02,€35.000000,1512.000000 kg,131.960000 L,5381 km
LPL,LGA,2019-11-10,€35.000000,1510.460000 kg,131.830000 L,5377 km
LGA,JFK,2019-11-16,€5.000000,13.550000 kg,3.430000 L,66 km
