DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
BCN,LCY,2019-01-24,€9.000000,374.000000 kg,37.210000 L,1194 km
LCY,PMI,2019-01-25,€10.000000,431.000000 kg,41.770000 L,1394 km
PMI,BCN,2019-02-02,€5.000000,43.000000 kg,10.880000 L,250 km
BCN,LIN,2019-02-02,€6.000000,248.000000 kg,27.080000 L,792 km
LIN,BCN,2019-02-22,€6.000000,248.000000 kg,27.080000 L,792 km
BCN,ZRH,2019-03-02,€5.000000,211.000000 kg,22.270000 L,905 km
ZRH,BCN,2019-03-16,€5.000000,211.000000 kg,22.270000 L,905 km
BCN,LCY,2019-03-16,€9.000000,374.000000 kg,37.210000 L,1194 km
LCY,BCN,2019-03-26,€9.000000,374.000000 kg,37.210000 L,1194 km
BCN,TNT,2019-03-26,€7.000000,280.320000 kg,29.120000 L,950 km
TNT,LIN,2019-04-06,€5.000000,42.680000 kg,10.800000 L,209 km
LIN,BCN,2019-04-19,€6.000000,248.000000 kg,27.080000 L,792 km
BCN,TXL,2019-04-19,€8.000000,334.000000 kg,31.890000 L,1560 km
TXL,AGP,2019-04-20,€11.000000,473.000000 kg,43.290000 L,2293 km
AGP,BCN,2019-04-25,€5.000000,201.000000 kg,21.770000 L,813 km
BCN,DPS,2019-04-25,€106.000000,4592.950000 kg,393.050000 L,12635 km
DPS,QPG,2019-04-27,€11.000000,476.580000 kg,45.000000 L,1731 km
QPG,HKT,2019-05-03,€7.000000,302.550000 kg,30.900000 L,1026 km
HKT,KUL,2019-05-04,€6.000000,218.000000 kg,24.050000 L,755 km
KUL,BCN,2019-05-17,€83.000000,3596.790000 kg,308.620000 L,10640 km
BCN,BGY,2019-05-18,€6.000000,243.380000 kg,26.160000 L,833 km
BGY,IBZ,2019-05-20,€8.000000,313.710000 kg,31.810000 L,1071 km
IBZ,BCN,2019-05-25,€5.000000,47.000000 kg,11.890000 L,324 km
BCN,MAD,2019-05-25,€5.000000,126.000000 kg,16.200000 L,531 km
MAD,BCN,2019-05-28,€5.000000,126.000000 kg,16.200000 L,531 km
