DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,LBG,2019-01-10,€7.000000,271.260000 kg,28.390000 L,921 km
LBG,SXF,2019-02-01,€7.000000,271.260000 kg,28.390000 L,921 km
SXF,EDI,2019-02-01,€8.000000,347.560000 kg,34.550000 L,1208 km
EDI,ANR,2019-02-02,€6.000000,229.590000 kg,25.050000 L,789 km
ANR,SXF,2019-02-16,€5.000000,199.290000 kg,22.860000 L,688 km
LIS,BHD,2019-03-01,€12.000000,501.340000 kg,47.000000 L,1831 km
BHD,TUF,2019-03-02,€7.000000,287.360000 kg,29.680000 L,972 km
TUF,SXF,2019-03-08,€8.000000,326.520000 kg,32.850000 L,1123 km
SXF,MLH,2019-03-08,€5.000000,213.570000 kg,23.820000 L,738 km
MLH,WAW,2019-03-09,€8.000000,330.790000 kg,33.190000 L,1140 km
WAW,SXF,2019-03-14,€5.000000,161.840000 kg,20.360000 L,558 km
SXF,BUD,2019-03-14,€5.000000,216.140000 kg,23.990000 L,747 km
BUD,MHP,2019-03-15,€7.000000,297.420000 kg,30.490000 L,1005 km
MHP,SXF,2019-03-22,€7.000000,302.830000 kg,30.930000 L,1027 km
SXF,POZ,2019-03-22,€5.000000,58.060000 kg,13.560000 L,275 km
POZ,BRU,2019-03-23,€7.000000,270.150000 kg,28.300000 L,918 km
BRU,SKU,2019-03-24,€14.000000,569.120000 kg,52.550000 L,2110 km
SKU,SXF,2019-03-29,€12.000000,490.610000 kg,46.130000 L,1787 km
SXF,GLA,2019-03-29,€9.000000,360.790000 kg,35.620000 L,1262 km
GLA,MLA,2019-03-30,€17.000000,706.350000 kg,64.010000 L,2690 km
MLA,SXF,2019-04-05,€12.000000,519.180000 kg,48.450000 L,1903 km
SXF,GDN,2019-04-05,€5.000000,122.980000 kg,17.920000 L,448 km
GDN,TXL,2019-04-06,€5.000000,59.000000 kg,14.930000 L,446 km
TXL,SXF,2019-04-12,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,HAM,2019-04-12,€5.000000,69.490000 kg,14.610000 L,317 km
HAM,GVA,2019-04-13,€7.000000,288.000000 kg,30.370000 L,916 km
GVA,SXF,2019-04-17,€7.000000,273.550000 kg,28.570000 L,928 km
SXF,MAD,2019-04-17,€13.000000,521.750000 kg,48.650000 L,1913 km
MAD,SXF,2019-04-20,€13.000000,521.750000 kg,48.650000 L,1913 km
SXF,AMS,2019-04-20,€5.000000,186.040000 kg,21.980000 L,642 km
AMS,ANR,2019-04-21,€5.000000,36.320000 kg,9.190000 L,178 km
ANR,SXF,2019-04-25,€5.000000,199.290000 kg,22.860000 L,688 km
SXF,DCA,2019-04-25,€47.000000,2013.820000 kg,174.540000 L,6779 km
DCA,YHU,2019-04-26,€6.000000,251.090000 kg,26.780000 L,857 km
YHU,LGA,2019-04-27,€5.000000,179.030000 kg,21.510000 L,618 km
LGA,TBS,2019-05-03,€67.000000,2889.110000 kg,248.670000 L,9017 km
TBS,HEM,2019-05-10,€16.000000,663.320000 kg,60.420000 L,2508 km
HEM,CIA,2019-05-11,€15.000000,609.870000 kg,55.960000 L,2282 km
CIA,SXF,2019-05-18,€9.000000,356.520000 kg,35.270000 L,1245 km
SXF,CMR,2019-05-18,€5.000000,204.740000 kg,23.230000 L,707 km
CMR,SXF,2019-05-24,€5.000000,204.740000 kg,23.230000 L,707 km
