DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
OTZ,BCN,2019-01-01,€58.000000,2478.410000 kg,213.890000 L,7976 km
BCN,CZM,2019-01-10,€62.000000,2685.370000 kg,231.420000 L,8500 km
CZM,BUR,2019-01-11,€21.000000,895.380000 kg,79.800000 L,3489 km
BUR,SFO,2019-01-12,€5.000000,182.000000 kg,22.270000 L,575 km
SFO,OTZ,2019-02-02,€25.000000,1075.980000 kg,94.960000 L,4167 km
OTZ,MJV,2019-02-02,€61.000000,2610.150000 kg,225.050000 L,8310 km
MJV,OTZ,2019-02-22,€61.000000,2610.150000 kg,225.050000 L,8310 km
OTZ,BCN,2019-02-22,€58.000000,2478.410000 kg,213.890000 L,7976 km
BCN,YTZ,2019-03-02,€44.000000,1899.600000 kg,164.850000 L,6461 km
YTZ,OTZ,2019-03-15,€35.000000,1519.570000 kg,132.600000 L,5402 km
OTZ,LGA,2019-03-15,€40.000000,1701.550000 kg,148.040000 L,5909 km
LGA,OTZ,2019-03-23,€40.000000,1701.550000 kg,148.040000 L,5909 km
OTZ,GOA,2019-03-23,€55.000000,2360.790000 kg,203.930000 L,7678 km
GOA,TNT,2019-03-27,€5.000000,66.760000 kg,14.360000 L,307 km
TNT,OTZ,2019-04-05,€53.000000,2292.280000 kg,198.130000 L,7504 km
OTZ,DXB,2019-04-05,€70.000000,3021.410000 kg,259.870000 L,9352 km
DXB,PSP,2019-04-12,€116.000000,5002.130000 kg,427.730000 L,13454 km
PSP,OTZ,2019-04-20,€30.000000,1293.470000 kg,113.410000 L,4772 km
OTZ,TFS,2019-04-20,€68.000000,2938.600000 kg,252.860000 L,9142 km
TFS,ABQ,2019-04-27,€61.000000,2617.020000 kg,225.630000 L,8327 km
ABQ,OTZ,2019-05-17,€33.000000,1394.110000 kg,121.950000 L,5053 km
OTZ,IBZ,2019-05-17,€60.000000,2581.920000 kg,222.660000 L,8238 km
IBZ,BRS,2019-05-25,€10.000000,414.300000 kg,39.950000 L,1478 km
BRS,IBZ,2019-06-03,€10.000000,414.300000 kg,39.950000 L,1478 km
IBZ,SKU,2019-06-08,€13.000000,556.060000 kg,51.460000 L,2055 km
SKU,SPG,2019-06-21,€71.000000,3077.430000 kg,264.620000 L,9494 km
SPG,TNT,2019-06-23,€59.000000,2547.190000 kg,219.720000 L,8150 km
TNT,OTZ,2019-06-27,€53.000000,2292.280000 kg,198.130000 L,7504 km
OTZ,YND,2019-06-27,€35.000000,1513.840000 kg,132.110000 L,5386 km
YND,YHU,2019-06-28,€5.000000,31.570000 kg,7.990000 L,154 km
YHU,YTZ,2019-06-30,€5.000000,148.660000 kg,19.480000 L,512 km
YTZ,OTZ,2019-07-06,€35.000000,1519.570000 kg,132.600000 L,5402 km
OTZ,ANR,2019-07-06,€48.000000,2057.640000 kg,178.260000 L,6901 km
ANR,IBZ,2019-07-13,€10.000000,405.310000 kg,39.230000 L,1442 km
IBZ,MAD,2019-07-27,€5.000000,137.000000 kg,17.970000 L,507 km
MAD,BUD,2019-08-08,€13.000000,545.000000 kg,50.370000 L,2021 km
BUD,IBZ,2019-08-10,€12.000000,488.930000 kg,46.000000 L,1781 km
IBZ,TNG,2019-08-14,€6.000000,221.700000 kg,24.420000 L,764 km
TNG,OTZ,2019-08-31,€62.000000,2681.550000 kg,231.090000 L,8491 km
OTZ,IBZ,2019-08-31,€60.000000,2581.920000 kg,222.660000 L,8238 km
IBZ,OTZ,2019-09-18,€60.000000,2581.920000 kg,222.660000 L,8238 km
OTZ,IBZ,2019-09-18,€60.000000,2581.920000 kg,222.660000 L,8238 km
IBZ,TXL,2019-09-20,€9.000000,386.000000 kg,36.200000 L,1823 km
TXL,QPG,2019-09-21,€76.000000,3273.230000 kg,281.190000 L,9990 km
QPG,OTZ,2019-10-12,€77.000000,3317.890000 kg,284.980000 L,10081 km
OTZ,LGA,2019-10-12,€40.000000,1701.550000 kg,148.040000 L,5909 km
LGA,OTZ,2019-10-18,€40.000000,1701.550000 kg,148.040000 L,5909 km
OTZ,SFO,2019-10-18,€25.000000,1075.980000 kg,94.960000 L,4167 km
SFO,OTZ,2019-11-16,€25.000000,1075.980000 kg,94.960000 L,4167 km
OTZ,SOF,2019-11-16,€57.000000,2440.330000 kg,210.670000 L,7880 km
SOF,IST,2019-11-29,€5.000000,132.000000 kg,16.700000 L,536 km
VIY,SKU,2019-12-14,€14.000000,577.270000 kg,53.240000 L,2144 km
SKU,OTZ,2019-12-28,€60.000000,2606.020000 kg,224.700000 L,8299 km
