DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
SXF,CZM,2019-01-05,€66.000000,2862.140000 kg,246.380000 L,8948 km
CZM,SXF,2019-01-25,€66.000000,2862.140000 kg,246.380000 L,8948 km
MLH,SXF,2019-02-16,€5.000000,213.570000 kg,23.820000 L,738 km
SXF,NAP,2019-02-16,€9.000000,381.170000 kg,37.270000 L,1344 km
NAP,LCY,2019-02-17,€11.000000,458.340000 kg,43.520000 L,1657 km
LCY,SXF,2019-02-22,€7.000000,288.480000 kg,29.770000 L,976 km
SXF,CIA,2019-02-22,€9.000000,356.520000 kg,35.270000 L,1245 km
CIA,LIN,2019-02-23,€5.000000,150.870000 kg,19.630000 L,520 km
LIN,SXF,2019-03-02,€7.000000,262.280000 kg,27.670000 L,893 km
SXF,BHX,2019-03-02,€8.000000,316.430000 kg,32.030000 L,1082 km
BHX,SXF,2019-03-09,€8.000000,316.430000 kg,32.030000 L,1082 km
SXF,EDI,2019-03-09,€8.000000,347.560000 kg,34.550000 L,1208 km
EDI,SXF,2019-03-16,€8.000000,347.560000 kg,34.550000 L,1208 km
SXF,BEG,2019-03-16,€8.000000,307.240000 kg,31.280000 L,1045 km
BEG,SXF,2019-03-22,€8.000000,307.240000 kg,31.280000 L,1045 km
SXF,BEV,2019-03-22,€18.000000,774.300000 kg,69.690000 L,2978 km
BEV,IST,2019-03-23,€9.000000,367.860000 kg,36.190000 L,1290 km
IST,SIR,2019-04-02,€12.000000,505.400000 kg,47.330000 L,1847 km
SIR,SXF,2019-04-06,€6.000000,257.390000 kg,27.280000 L,877 km
SXF,MHG,2019-04-06,€5.000000,155.530000 kg,19.940000 L,536 km
MHG,SXF,2019-04-20,€5.000000,155.530000 kg,19.940000 L,536 km
SXF,TXL,2019-04-20,€5.000000,13.420000 kg,3.390000 L,65 km
TXL,SXF,2019-04-26,€5.000000,13.420000 kg,3.390000 L,65 km
SXF,ABQ,2019-04-26,€65.000000,2782.880000 kg,239.670000 L,8748 km
ABQ,LHR,2019-04-27,€58.000000,2517.430000 kg,217.200000 L,8075 km
TNT,LBG,2019-04-30,€6.000000,225.750000 kg,24.750000 L,777 km
LBG,CTA,2019-05-01,€11.000000,465.090000 kg,44.070000 L,1684 km
CTA,SXF,2019-05-09,€11.000000,475.880000 kg,44.940000 L,1728 km
SXF,SDV,2019-05-09,€18.000000,754.430000 kg,68.030000 L,2894 km
SDV,PMI,2019-05-10,€19.000000,789.170000 kg,70.930000 L,3040 km
PMI,FMO,2019-05-12,€8.000000,319.000000 kg,30.630000 L,1498 km
FMO,SXF,2019-05-17,€5.000000,126.500000 kg,18.130000 L,456 km
