DEPARTURE,ARRIVAL,DATE,OFFSET,CARBON OUTPUT,FUEL,DISTANCE
ELS,LCY,2019-02-08,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-03-02,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,DCA,2019-03-02,€116.000000,5014.070000 kg,428.750000 L,13478 km
DCA,BLK,2019-03-14,€38.000000,1625.730000 kg,141.610000 L,5698 km
BLK,ELS,2019-04-12,€78.000000,3357.930000 kg,288.370000 L,10162 km
ELS,LCY,2019-04-12,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-04-19,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,BRS,2019-04-19,€75.000000,3242.690000 kg,278.610000 L,9913 km
BRS,ELS,2019-05-04,€75.000000,3242.690000 kg,278.610000 L,9913 km
ELS,LCY,2019-05-04,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-07-05,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,OSR,2019-07-05,€70.000000,3012.850000 kg,259.150000 L,9330 km
OSR,ELS,2019-07-11,€70.000000,3012.850000 kg,259.150000 L,9330 km
ELS,LGA,2019-07-11,€114.000000,4923.280000 kg,421.050000 L,13296 km
LGA,SIG,2019-07-13,€16.000000,695.030000 kg,63.070000 L,2642 km
SIG,VIE,2019-07-18,€58.000000,2486.390000 kg,214.570000 L,7996 km
VIE,ELS,2019-08-03,€68.000000,2949.030000 kg,253.740000 L,9169 km
ELS,LCY,2019-08-03,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-08-25,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,LCY,2019-08-25,€74.000000,3216.920000 kg,276.430000 L,9847 km
LCY,ELS,2019-08-30,€74.000000,3216.920000 kg,276.430000 L,9847 km
ELS,AMS,2019-08-30,€74.000000,3203.740000 kg,275.310000 L,9814 km
AMS,ELS,2019-09-11,€74.000000,3203.740000 kg,275.310000 L,9814 km
ELS,DCA,2019-09-11,€116.000000,5014.070000 kg,428.750000 L,13478 km
DCA,ELS,2019-10-04,€116.000000,5014.070000 kg,428.750000 L,13478 km
ELS,AMS,2019-10-04,€74.000000,3203.740000 kg,275.310000 L,9814 km
AMS,ELS,2019-10-25,€74.000000,3203.740000 kg,275.310000 L,9814 km
